Year,Month,Irrigation_Water_Usage_MCM
2018,January,120
2018,February,115
2018,March,140
2018,April,180
2018,May,220
2018,June,160
2018,July,90
2018,August,85
2018,September,100
2018,October,150
2018,November,170
2018,December,130
2019,January,125
2019,February,118
2019,March,150
2019,April,190
2019,May,230
2019,June,170
2019,July,95
2019,August,88
2019,September,110
2019,October,160
2019,November,180
2019,December,135
2020,January,130
2020,February,120
2020,March,155
2020,April,200
2020,May,240
2020,June,180
2020,July,85
2020,August,80
2020,September,105
2020,October,170
2020,November,185
2020,December,140
2021,January,122
2021,February,110
2021,March,145
2021,April,185
2021,May,225
2021,June,165
2021,July,92
2021,August,87
2021,September,108
2021,October,155
2021,November,175
2021,December,132
2022,January,135
2022,February,125
2022,March,165
2022,April,210
2022,May,260
2022,June,190
2022,July,78
2022,August,75
2022,September,95
2022,October,180
2022,November,200
2022,December,150
