Year,Month,Rainfall_mm
2018,January,5
2018,February,3
2018,March,7
2018,April,12
2018,May,25
2018,June,210
2018,July,820
2018,August,750
2018,September,420
2018,October,110
2018,November,18
2018,December,6
2019,January,4
2019,February,2
2019,March,10
2019,April,15
2019,May,30
2019,June,250
2019,July,900
2019,August,780
2019,September,500
2019,October,130
2019,November,20
2019,December,5
2020,January,6
2020,February,4
2020,March,8
2020,April,18
2020,May,40
2020,June,300
2020,July,950
2020,August,870
2020,September,520
2020,October,150
2020,November,25
2020,December,7
2021,January,3
2021,February,2
2021,March,6
2021,April,14
2021,May,35
2021,June,280
2021,July,880
2021,August,810
2021,September,470
2021,October,120
2021,November,22
2021,December,4
2022,January,5
2022,February,3
2022,March,9
2022,April,16
2022,May,45
2022,June,320
2022,July,990
2022,August,920
2022,September,600
2022,October,160
2022,November,30
2022,December,8
