,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - April, 2021",,
Market,"Arrivals April, 2021 (Metric Tonnes)","Arrivals March, 2021 (Metric Tonnes)","Arrivals April, 2020 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,-,-,50.0,-,-
Ahmednagar APMC,37.0,51.0,-,-27.4%,-
Akhadabalapur APMC,7.0,10.0,-,-30.0%,-
Akkalkot APMC,6.0,-,-,-,-
Akkalkuwa APMC,149.0,-,4.0,-,3625.0%
Akluj APMC,4.0,-,4.0,-,-
Akola APMC,1105.0,830.0,85.0,33.1%,1200.0%
Akot APMC,-,100.0,-,-,-
Amalner APMC,3875.0,6180.0,718.0,-37.3%,439.7%
Amarawati APMC,2073.0,1127.0,24.0,83.9%,8537.5%
Ambad (Vadigodri) APMC,82.0,77.0,-,6.5%,-
Anajngaon APMC,204.0,51.0,53.0,300.0%,284.9%
Ashti(Karanja) APMC,502.0,362.0,-,38.7%,-
Aurad Shahajani APMC,-,1.0,-,-,-
Ausa APMC,22.0,-,-,-,-
Babhulgaon APMC,150.0,-,-,-,-
Balapur APMC,76.0,70.0,3.0,8.6%,2433.3%
Baramati APMC,511.0,497.0,-,2.8%,-
Barshi APMC,17.0,15.0,29.0,13.3%,-41.4%
Beed APMC,145.0,97.0,5.0,49.5%,2800.0%
Bhandara APMC,32.0,27.0,-,18.5%,-
Bhiwapur APMC,5.0,-,29.0,-,-82.8%
Bhokar APMC,83.0,169.0,28.0,-50.9%,196.4%
Bhokardan APMC,111.0,133.0,45.0,-16.5%,146.7%
Bhokardan(Pimpalgaon Renu) APMC,20.0,13.0,-,53.9%,-
Bhusaval APMC,11.0,6.0,-,83.3%,-
Bori APMC,13.0,11.0,-,18.2%,-
Buldhana(Dhad) APMC,8.0,-,4.0,-,100.0%
Chalisgaon APMC,510.0,368.0,4.0,38.6%,12650.0%
Chandur Bazar APMC,243.0,106.0,-,129.2%,-
Chattrapati Sambhajinagar APMC,437.0,839.0,46.0,-47.9%,850.0%
Chikali APMC,172.0,429.0,-,-59.9%,-
Chopada APMC,49.0,690.0,453.0,-92.9%,-89.2%
Daryapur APMC,66.0,29.0,2.0,127.6%,3200.0%
Deoulgaon Raja APMC,124.0,90.0,1.0,37.8%,12300.0%
Devala APMC,32.0,550.0,-,-94.2%,-
