Market,"Arrivals April, 2021 (Metric Tonnes)","Arrivals March, 2021 (Metric Tonnes)","Arrivals April, 2020 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,142.25053781985272,219.074339724257,50.0,-,-
Ahmednagar APMC,37.0,51.0,40.296839830134154,-27.4%,-
Akhadabalapur APMC,7.0,10.0,34.61587168146445,-30.0%,-
Akkalkot APMC,6.0,39.43941465719466,34.6026899004934,-,-
Akkalkuwa APMC,149.0,199.45031361164652,4.0,-,3625.0%
Akluj APMC,4.0,36.36278684048126,4.0,-,-
Akola APMC,1105.0,830.0,85.0,33.1%,1200.0%
Akot APMC,68.5358569130126,100.0,46.302394982325595,-,-
Amalner APMC,3875.0,6180.0,718.0,-37.3%,439.7%
Amarawati APMC,2073.0,1127.0,24.0,83.9%,8537.5%
Ambad (Vadigodri) APMC,82.0,77.0,48.61526312239934,6.5%,-
Anajngaon APMC,204.0,51.0,53.0,300.0%,284.9%
Ashti(Karanja) APMC,502.0,362.0,126.49599013381244,38.7%,-
Aurad Shahajani APMC,-17.83094296485033,1.0,30.056355080025334,-,-
Ausa APMC,22.0,57.518311004972006,37.61087684858023,-,-
Babhulgaon APMC,150.0,202.14948178719075,61.67637243327492,-,-
Balapur APMC,76.0,70.0,3.0,8.6%,2433.3%
Baramati APMC,511.0,497.0,128.90201719254634,2.8%,-
Barshi APMC,17.0,15.0,29.0,13.3%,-41.4%
Beed APMC,145.0,97.0,5.0,49.5%,2800.0%
Bhandara APMC,32.0,27.0,39.251833496125094,18.5%,-
Bhiwapur APMC,5.0,38.17752855316626,29.0,-,-82.8%
Bhokar APMC,83.0,169.0,28.0,-50.9%,196.4%
Bhokardan APMC,111.0,133.0,45.0,-16.5%,146.7%
Bhokardan(Pimpalgaon Renu) APMC,20.0,13.0,36.99317213620015,53.9%,-
Bhusaval APMC,11.0,6.0,35.31919305308991,83.3%,-
Bori APMC,13.0,11.0,35.71088761256956,18.2%,-
Buldhana(Dhad) APMC,8.0,40.86175309623755,4.0,-,100.0%
Chalisgaon APMC,510.0,368.0,4.0,38.6%,12650.0%
Chandur Bazar APMC,243.0,106.0,78.01058204414053,129.2%,-
Chattrapati Sambhajinagar APMC,437.0,839.0,46.0,-47.9%,850.0%
Chikali APMC,172.0,429.0,66.96784714979762,-59.9%,-
Chopada APMC,49.0,690.0,453.0,-92.9%,-89.2%
Daryapur APMC,66.0,29.0,2.0,127.6%,3200.0%
Deoulgaon Raja APMC,124.0,90.0,1.0,37.8%,12300.0%
Devala APMC,32.0,550.0,42.24293577152483,-94.2%,-
Dhamngaon-Railway APMC,950.0,2110.0,217.82718183765732,-55.0%,-
Dharangaon APMC,38.0,783.0,753.0,-95.2%,-95.0%
Dharmabad APMC,3.0,36.04962159198641,34.038654847727116,-,-
Dharni APMC,721.1469976490688,845.473737800564,169.0,-,-
Dhule APMC,917.0,3418.0,138.0,-73.2%,564.5%
Digras APMC,-11.724199539142859,8.0,31.20506497210717,-,-
Dondaicha APMC,4730.0,6789.0,1923.0,-30.3%,146.0%
Dondaicha(Sindhkheda) APMC,97.0,142.26313763517828,51.71175316773727,-,-
Dound APMC,225.0,167.0,167.0,34.7%,34.7%
Dudhani APMC,6.0,4.0,34.40000746489116,50.0%,-
Gangakhed APMC,27.0,40.0,2.0,-32.5%,1250.0%
Gangapur APMC,139.0,313.0,60.31329623726317,-55.6%,-
Gevrai APMC,462.0,264.0,17.0,75.0%,2617.7%
Ghansawangi APMC,-91.25391656504118,-33.59096370148029,2.0,-,-
Himalyatnagar APMC,-71.79521203296666,-12.535521749335473,6.0,-,-
Hinganghat APMC,1360.0,796.0,15.0,70.8%,8966.7%
Hingoli APMC,56.0,104.0,44.049393331643394,-46.1%,-
Hingoli(Kanegoan Naka) APMC,45.0,141.0,33.0,-68.1%,36.4%
Indapur(Bhigwan) APMC,-91.25391656504118,-33.59096370148029,2.0,-,-
Jafrabad APMC,68.0,80.0,46.09072794880507,-15.0%,-
