,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - August, 2021",,
Market,"Prices August, 2021 (Rs./Quintal)","Prices July, 2021 (Rs./Quintal)","Prices August, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,1769.28,1737.25,1750.0,1.8%,1.1%
Ahmednagar APMC,1720.42,1747.91,1912.5,-1.6%,-10.0%
Ahmedpur APMC,1615.0,1625.0,1465.0,-0.6%,10.2%
Akhadabalapur APMC,1770.0,1766.67,1900.0,0.2%,-6.8%
Akluj APMC,-,-,1700.0,-,-
Akola APMC,1969.72,1611.0,1666.66,22.3%,18.2%
Akot APMC,-,-,1687.31,-,-
Amalner APMC,1801.59,1739.66,1757.74,3.6%,2.5%
Amarawati APMC,1855.76,1806.16,1857.7,2.8%,-0.1%
Ambad (Vadigodri) APMC,1755.53,1695.05,1846.17,3.6%,-4.9%
Anajngaon APMC,1671.43,1633.72,1546.0,2.3%,8.1%
Ashti(Karanja) APMC,-,1600.0,-,-,-
Aurad Shahajani APMC,1608.5,1637.71,1800.0,-1.8%,-10.6%
Ausa APMC,-,1618.67,-,-,-
Babhulgaon APMC,-,1610.0,-,-,-
Balapur APMC,1614.79,1553.41,1698.53,4.0%,-4.9%
Baramati APMC,1772.82,1766.21,1688.67,0.4%,5.0%
Barshi APMC,1786.36,1774.39,2500.0,0.7%,-28.6%
Barshi(Vairag) APMC,1600.0,1597.71,-,0.1%,-
Beed APMC,1790.07,1766.97,1648.05,1.3%,8.6%
Bhandara APMC,1530.62,1511.67,1485.0,1.2%,3.1%
Bhiwapur APMC,1625.0,1600.0,-,1.6%,-
Bhokar APMC,1589.56,1564.44,1570.88,1.6%,1.2%
Bhokardan APMC,1797.78,1774.49,1665.38,1.3%,8.0%
Bhokardan(Pimpalgaon Renu) APMC,1860.53,1850.0,1664.52,0.6%,11.8%
Bhusaval APMC,-,-,1737.5,-,-
Bori APMC,1571.57,1727.14,-,-9.0%,-
Chakur APMC,1477.67,1400.0,-,5.5%,-
Chalisgaon APMC,1631.2,1612.19,-,1.2%,-
Chandur Bazar APMC,1677.28,1634.88,1627.61,2.6%,3.0%
Chandur Railway APMC,-,1530.0,-,-,-
Chattrapati Sambhajinagar APMC,1810.67,1769.57,1679.62,2.3%,7.8%
Chikali APMC,1569.91,1604.69,1607.98,-2.2%,-2.4%
Chopada APMC,1718.0,1675.09,1668.76,2.6%,3.0%
Daryapur APMC,-,-,1501.0,-,-
Deoulgaon Raja APMC,1627.05,1597.92,1622.3,1.8%,0.3%
Devala APMC,1704.72,1722.67,1571.25,-1.0%,8.5%
Dhamngaon-Railway APMC,-,1612.5,-,-,-
Dharangaon APMC,1821.75,1713.56,-,6.3%,-
Dhule APMC,1818.68,1736.26,1626.97,4.8%,11.8%
Digras APMC,1700.0,-,1994.38,-,-14.8%
Dondaicha APMC,1833.88,1777.17,1651.0,3.2%,11.1%
Dondaicha(Sindhkheda) APMC,1650.0,1629.55,-,1.2%,-
Dound APMC,1723.79,1688.41,1675.31,2.1%,2.9%
Dudhani APMC,1680.0,1701.45,-,-1.3%,-
Gangakhed APMC,2100.0,2105.88,1846.92,-0.3%,13.7%
Gangapur APMC,1777.59,1735.21,1679.61,2.4%,5.8%
Gevrai APMC,1805.19,1708.33,1740.47,5.7%,3.7%
Ghansawangi APMC,1850.0,-,2200.0,-,-15.9%
Himalyatnagar APMC,1500.0,1484.31,1816.13,1.1%,-17.4%
Hinganghat APMC,1668.06,1627.07,1597.56,2.5%,4.4%
Hingoli APMC,1805.76,1966.17,1732.48,-8.2%,4.2%
Hingoli(Kanegoan Naka) APMC,1558.0,-,-,-,-
