,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - January, 2021",,
Market,"Arrivals January, 2021 (Metric Tonnes)","Arrivals December, 2020 (Metric Tonnes)","Arrivals January, 2020 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,-,-,100.0,-,-
Ahmednagar APMC,56.0,71.0,86.0,-21.1%,-34.9%
Ahmedpur APMC,8.0,27.0,3.0,-70.4%,166.7%
Akhadabalapur APMC,12.0,18.0,-,-33.3%,-
Akluj APMC,10.0,15.0,3.0,-33.3%,233.3%
Akola APMC,131.0,157.0,90.0,-16.6%,45.6%
Akot APMC,24.0,-,7.0,-,242.9%
Amalner APMC,322.0,205.0,26.0,57.1%,1138.5%
Amarawati APMC,164.0,291.0,62.0,-43.6%,164.5%
Ambad (Vadigodri) APMC,2.0,53.0,56.0,-96.2%,-96.4%
Anajngaon APMC,20.0,23.0,16.0,-13.0%,25.0%
Aurad Shahajani APMC,1.0,-,3.0,-,-66.7%
Balapur APMC,52.0,63.0,9.0,-17.5%,477.8%
Baramati APMC,310.0,122.0,148.0,154.1%,109.5%
Barshi APMC,6.0,3.0,5.0,100.0%,20.0%
Barshi(Vairag) APMC,-,1.0,-,-,-
Beed APMC,35.0,57.0,9.0,-38.6%,288.9%
Bhandara APMC,8.0,14.0,8.0,-42.9%,-
Bhivandi APMC,-,-,20.0,-,-
Bhiwapur APMC,-,1.0,-,-,-
Bhokar APMC,5.0,24.0,5.0,-79.2%,-
Bhokardan APMC,158.0,104.0,9.0,51.9%,1655.6%
Bhokardan(Pimpalgaon Renu) APMC,74.0,86.0,7.0,-13.9%,957.1%
Bori APMC,27.0,46.0,-,-41.3%,-
Buldhana(Dhad) APMC,5.0,13.0,14.0,-61.5%,-64.3%
Chakur APMC,-,1.0,-,-,-
Chalisgaon APMC,105.0,164.0,49.0,-36.0%,114.3%
Chandur Bazar APMC,71.0,228.0,5.0,-68.9%,1320.0%
