,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - January, 2021",,
Market,"Prices January, 2021 (Rs./Quintal)","Prices December, 2020 (Rs./Quintal)","Prices January, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,-,-,2175.4,-,-
Ahmednagar APMC,1747.38,1662.14,2298.12,5.1%,-24.0%
Ahmedpur APMC,1325.0,1335.19,2020.33,-0.8%,-34.4%
Akhadabalapur APMC,1816.67,1902.78,-,-4.5%,-
Akluj APMC,1600.0,1650.0,2482.0,-3.0%,-35.5%
Akola APMC,1675.71,1569.3,2540.69,6.8%,-34.0%
Akot APMC,1535.42,-,2271.43,-,-32.4%
Amalner APMC,1755.19,1618.57,2395.35,8.4%,-26.7%
Amarawati APMC,1723.17,1737.62,2367.79,-0.8%,-27.2%
Ambad (Vadigodri) APMC,1511.0,1507.62,2515.07,0.2%,-39.9%
Anajngaon APMC,1510.0,1447.83,2125.0,4.3%,-28.9%
Aurad Shahajani APMC,1350.0,-,1980.67,-,-31.8%
Balapur APMC,1515.38,1416.43,1983.33,7.0%,-23.6%
Baramati APMC,1832.56,1632.25,2244.71,12.3%,-18.4%
Barshi APMC,1650.0,2500.0,1920.0,-34.0%,-14.1%
Barshi(Vairag) APMC,-,1800.0,-,-,-
Beed APMC,1579.09,1549.82,2265.0,1.9%,-30.3%
Bhandara APMC,1393.12,1372.14,2010.0,1.5%,-30.7%
Bhivandi APMC,-,-,2020.0,-,-
Bhiwapur APMC,-,1425.0,-,-,-
Bhokar APMC,1412.0,1396.33,2077.0,1.1%,-32.0%
Bhokardan APMC,1610.76,1527.4,1988.89,5.5%,-19.0%
Bhokardan(Pimpalgaon Renu) APMC,1679.73,1500.0,2000.0,12.0%,-16.0%
Bori APMC,1638.52,1601.41,-,2.3%,-
Buldhana(Dhad) APMC,1560.0,1442.31,1989.29,8.2%,-21.6%
Chakur APMC,-,1326.0,-,-,-
Chalisgaon APMC,1508.38,1442.27,1889.61,4.6%,-20.2%
Chandur Bazar APMC,1566.72,1483.92,2050.0,5.6%,-23.6%
