Market,"Arrivals January, 2021 (Metric Tonnes)","Arrivals December, 2020 (Metric Tonnes)","Arrivals January, 2020 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,265.9122841758331,324.1206664380232,100.0,-,-
Ahmednagar APMC,56.0,71.0,86.0,-21.1%,-34.9%
Ahmedpur APMC,8.0,27.0,3.0,-70.4%,166.7%
Akhadabalapur APMC,12.0,18.0,-12.60742039147572,-33.3%,-
Akluj APMC,10.0,15.0,3.0,-33.3%,233.3%
Akola APMC,131.0,157.0,90.0,-16.6%,45.6%
Akot APMC,24.0,31.560768390768214,7.0,-,242.9%
Amalner APMC,322.0,205.0,26.0,57.1%,1138.5%
Amarawati APMC,164.0,291.0,62.0,-43.6%,164.5%
Ambad (Vadigodri) APMC,2.0,53.0,56.0,-96.2%,-96.4%
Anajngaon APMC,20.0,23.0,16.0,-13.0%,25.0%
Aurad Shahajani APMC,1.0,2.413343116624606,3.0,-,-66.7%
Balapur APMC,52.0,63.0,9.0,-17.5%,477.8%
Baramati APMC,310.0,122.0,148.0,154.1%,109.5%
Barshi APMC,6.0,3.0,5.0,100.0%,20.0%
Barshi(Vairag) APMC,27.624458465861053,1.0,122.75432674000928,-,-
Beed APMC,35.0,57.0,9.0,-38.6%,288.9%
Bhandara APMC,8.0,14.0,8.0,-42.9%,-
Bhivandi APMC,237.14811642317457,308.30050530831835,20.0,-,-
Bhiwapur APMC,27.624458465861053,1.0,122.75432674000928,-,-
Bhokar APMC,5.0,24.0,5.0,-79.2%,-
Bhokardan APMC,158.0,104.0,9.0,51.9%,1655.6%
Bhokardan(Pimpalgaon Renu) APMC,74.0,86.0,7.0,-13.9%,957.1%
Bori APMC,27.0,46.0,-29.279457093300763,-41.3%,-
Buldhana(Dhad) APMC,5.0,13.0,14.0,-61.5%,-64.3%
Chakur APMC,27.624458465861053,1.0,122.75432674000928,-,-
Chalisgaon APMC,105.0,164.0,49.0,-36.0%,114.3%
Chandur Bazar APMC,71.0,228.0,5.0,-68.9%,1320.0%
Chattrapati Sambhajinagar APMC,131.0,208.0,26.0,-37.0%,403.9%
Chikali APMC,165.0,240.0,47.0,-31.2%,251.1%
Chopada APMC,15.0,34.0,17.0,-55.9%,-11.8%
Daryapur APMC,230.31662658191817,304.5432170400135,1.0,-,-
Deoulgaon Raja APMC,37.0,45.0,8.0,-17.8%,362.5%
Devala APMC,25.0,32.0,1.0,-21.9%,2400.0%
Dhamngaon-Railway APMC,271.66511772636477,327.28469866396404,116.0,-,-
Dharangaon APMC,14.0,41.0,1.0,-65.8%,1300.0%
Dhule APMC,514.0,569.0,166.0,-9.7%,209.6%
Digras APMC,6.0,5.0,23.0,20.0%,-73.9%
Dindori APMC,231.03573077573472,304.9387210682562,3.0,-,-
Dondaicha APMC,579.0,848.0,167.0,-31.7%,246.7%
Dondaicha(Sindhkheda) APMC,9.0,13.209433881167339,2.0,-,350.0%
Dound APMC,100.0,106.0,188.0,-5.7%,-46.8%
Dudhani APMC,230.31662658191817,304.5432170400135,1.0,-,-
Gangakhed APMC,32.0,26.0,18.0,23.1%,77.8%
Gangapur APMC,85.0,29.0,55.0,193.1%,54.5%
Gevrai APMC,197.0,301.0,110.0,-34.5%,79.1%
Ghansawangi APMC,2.0,0.7023294625817038,14.0,-,-85.7%
Hadgaon APMC,281.37302434288705,332.6240030452394,143.0,-,-
Hinganghat APMC,100.0,165.0,140.0,-39.4%,-28.6%
Hingoli APMC,87.0,76.0,38.0,14.5%,128.9%
Indapur APMC,4.0,29.76205832608229,-82.07109481375203,-,-
Indapur(Bhigwan) APMC,30.0,55.774874334289436,-52.335388561709166,-,-
Indapur(Nimgaon Ketki) APMC,230.67617867882632,304.74096905413467,2.0,-,-
Jafrabad APMC,51.0,52.0,43.97540559182468,-1.9%,-
