Market,"Arrivals June, 2021 (Metric Tonnes)","Arrivals May, 2021 (Metric Tonnes)","Arrivals June, 2020 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Aarni APMC,21.109304824170003,21.0,33.0,-,-
Achalpur APMC,497.0,396.0,23.0,25.5%,2060.9%
Ahmednagar APMC,203.0,160.96841646411536,39.0,-,420.5%
Ahmedpur APMC,14.0,25.614499115244193,30.0,-,-53.3%
Akhadabalapur APMC,15.0,11.0,19.0,36.4%,-21.1%
Akkalkuwa APMC,22.261738872855187,29.0,23.33620105889982,-,-
Akluj APMC,10.832261643150595,12.0,24.0,-,-
Akola APMC,477.0,269.0,289.0,77.3%,65.0%
Akot APMC,39.0,64.0,71.0,-39.1%,-45.1%
Amalner APMC,601.0,1967.0,1354.0,-69.5%,-55.6%
Amarawati APMC,1258.0,1391.0,410.0,-9.6%,206.8%
Ambad (Vadigodri) APMC,183.0,78.0,35.0,134.6%,422.9%
Anajngaon APMC,59.0,109.0,40.0,-45.9%,47.5%
Ashti APMC,-5.541722445379243,2.0,3.698140390815743,-,-
Ashti(Karanja) APMC,162.0,198.0,13.0,-18.2%,1146.2%
Aurad Shahajani APMC,8.0,1.0,1.0,700.0%,700.0%
Ausa APMC,14.0,4.0,3.0,250.0%,366.7%
Babhulgaon APMC,65.0,119.0,70.66247396736033,-45.4%,-
Balapur APMC,43.0,31.0,30.0,38.7%,43.3%
Baramati APMC,589.0,337.0,233.0,74.8%,152.8%
Barshi APMC,30.0,70.81429885706831,119.0,-,-74.8%
Barshi Takli APMC,33.157735490512906,32.8674049593682,14.0,-,-
Barshi(Vairag) APMC,8.0,1.0,8.261924023552762,700.0%,-
Beed APMC,126.0,10.0,34.0,1160.0%,270.6%
Bhandara APMC,56.0,8.0,34.0,600.0%,64.7%
Bhiwapur APMC,8.0,2.0,16.0,300.0%,-50.0%
Bhokar APMC,51.0,86.0,23.0,-40.7%,121.7%
Bhokardan APMC,49.0,118.0,37.0,-58.5%,32.4%
Bhokardan(Pimpalgaon Renu) APMC,32.0,17.0,22.631323111228216,88.2%,-
Bhusaval APMC,25.086584151243713,24.939817222474662,8.0,-,-
Bori APMC,24.0,24.946214351274342,10.0,-,140.0%
Buldhana APMC,23.741392261365515,23.618552599659075,7.0,-,-
Buldhana(Dhad) APMC,-4.511964618777968,3.0,4.425475971115153,-,-
Chakur APMC,-6.571480271980517,1.0,2.970804810516333,-,-
Chalisgaon APMC,180.0,469.0,87.0,-61.6%,106.9%
Chandur Bazar APMC,290.0,179.0,139.0,62.0%,108.6%
Chandur Railway APMC,23.0,16.0,1.0,43.8%,2200.0%
Chattrapati Sambhajinagar APMC,231.0,265.0,95.0,-12.8%,143.2%
Chikali APMC,225.0,166.0,324.0,35.5%,-30.6%
Chopada APMC,46.0,88.0,74.0,-47.7%,-37.8%
Daryapur APMC,-2.1776157101533817,6.0,3.0,-,-
Deoulgaon Raja APMC,58.0,49.0,20.0,18.4%,190.0%
Devala APMC,18.0,9.0,15.0,100.0%,20.0%
Dhamngaon-Railway APMC,648.3544974464305,637.0,465.5562338809413,-,-
Dharangaon APMC,26.0,44.0,29.99484884465847,-40.9%,-
Dharmabad APMC,3.0,10.093624161738212,9.48833521720104,-,-
Dharni APMC,374.8364755195755,368.468619154528,268.0,-,-
Dhule APMC,551.0,665.0,681.0,-17.1%,-19.1%
Digras APMC,9.0,12.0,13.0,-25.0%,-30.8%
Dondaicha APMC,1108.0,1645.0,1668.0,-32.6%,-33.6%
Dondaicha(Sindhkheda) APMC,4.0,54.0,32.0,-92.6%,-87.5%
