Market,"Prices June, 2021 (Rs./Quintal)","Prices May, 2021 (Rs./Quintal)","Prices June, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Aarni APMC,1702.0575483704897,1750.0,1750.0,-,-
Achalpur APMC,1775.61,1773.06,1814.13,0.1%,-2.1%
Ahmednagar APMC,1753.41,1824.2497337281554,1880.28,-,-6.8%
Ahmedpur APMC,1603.57,1640.1878658906846,1689.33,-,-5.1%
Akhadabalapur APMC,1746.67,1804.55,1907.89,-3.2%,-8.4%
Akkalkuwa APMC,1842.8220001692018,1926.55,1954.4209330854785,-,-
Akluj APMC,1660.4970503530724,1700.0,1839.58,-,-
Akola APMC,1701.78,1801.28,1908.63,-5.5%,-10.8%
Akot APMC,1696.15,1706.25,1747.89,-0.6%,-3.0%
Amalner APMC,1746.62,1775.41,1840.71,-1.6%,-5.1%
Amarawati APMC,1810.12,1804.6,1895.49,0.3%,-4.5%
Ambad (Vadigodri) APMC,1753.67,1700.35,2017.26,3.1%,-13.1%
Anajngaon APMC,1610.17,1638.99,1710.0,-1.8%,-5.8%
Ashti APMC,1500.9529931581872,1500.0,1615.2553168426132,-,-
Ashti(Karanja) APMC,1553.21,1644.07,1750.0,-5.5%,-11.2%
Aurad Shahajani APMC,1700.5,1767.0,1490.0,-3.8%,14.1%
Ausa APMC,1658.57,1638.0,2442.0,1.3%,-32.1%
Babhulgaon APMC,1618.54,1646.6,1731.8213691224744,-1.7%,-
Balapur APMC,1904.65,1945.16,1900.0,-2.1%,0.2%
Baramati APMC,1767.5,1859.49,1820.59,-5.0%,-2.9%
Barshi APMC,2018.33,2255.767959096581,2421.85,-,-16.7%
Barshi Takli APMC,1695.7102439377936,1742.4281231554426,1785.71,-,-
Barshi(Vairag) APMC,1225.0,2500.0,2422.3435970439864,-51.0%,-
Beed APMC,1867.92,1840.0,1901.94,1.5%,-1.8%
Bhandara APMC,1527.5,1593.75,1458.82,-4.2%,4.7%
Bhiwapur APMC,1647.5,1625.0,1553.12,1.4%,6.1%
Bhokar APMC,1565.61,1606.01,1749.3,-2.5%,-10.5%
Bhokardan APMC,1714.29,1650.0,1739.19,3.9%,-1.4%
Bhokardan(Pimpalgaon Renu) APMC,1715.62,1650.0,1733.478194586067,4.0%,-
Bhusaval APMC,1828.9935949729977,1909.7613624500316,1962.5,-,-
Bori APMC,1520.42,1897.8002167030177,2275.0,-,-33.2%
Buldhana APMC,1404.9204858757519,1377.3503261741882,1400.0,-,-
Buldhana(Dhad) APMC,1661.2479208388881,1700.0,1774.282683502027,-,-
Chakur APMC,1501.7544677965907,1501.0,1616.0504536759101,-,-
Chalisgaon APMC,1623.87,1646.25,1794.25,-1.4%,-9.5%
Chandur Bazar APMC,1612.48,1750.92,1782.52,-7.9%,-9.5%
Chandur Railway APMC,1595.22,1616.88,1650.0,-1.3%,-3.3%
Chattrapati Sambhajinagar APMC,1752.9,1845.28,1774.68,-5.0%,-1.2%
Chikali APMC,1616.2,1715.57,1728.77,-5.8%,-6.5%
Chopada APMC,1692.85,1779.19,1717.95,-4.8%,-1.5%
Daryapur APMC,1612.5874473706208,1637.5,1600.0,-,-
Deoulgaon Raja APMC,1607.71,1715.31,1735.05,-6.3%,-7.3%
Devala APMC,1724.72,1704.44,1722.33,1.2%,0.1%
Dhamngaon-Railway APMC,1614.0009909050016,1641.05,1727.409367179165,-,-
Dharangaon APMC,1657.08,1681.68,1759.5991372403264,-1.5%,-
Dharmabad APMC,1460.0,1535.9408535461591,1645.0087922691644,-,-
Dharni APMC,1674.9777808263727,1716.3991391597344,1758.21,-,-
Dhule APMC,1719.0,1760.45,1815.55,-2.4%,-5.3%
Digras APMC,1785.0,1935.42,2105.92,-7.8%,-15.2%
Dondaicha APMC,1729.16,1738.43,1745.6,-0.5%,-0.9%
Dondaicha(Sindhkheda) APMC,1567.5,1691.5,1735.56,-7.3%,-9.7%
Dound APMC,1706.4,1776.1,1850.53,-3.9%,-7.8%
Dudhani APMC,2000.0,2054.8268925299335,2055.465576476109,-,-
Gangakhed APMC,2121.43,2091.67,1909.52,1.4%,11.1%
Gangapur APMC,1720.7,1741.65,1715.72,-1.2%,0.3%
Gevrai APMC,1730.53,1666.3,1810.41,3.9%,-4.4%
Ghansawangi APMC,1714.63,1850.0,2100.0,-7.3%,-18.4%
Ghoti APMC,2064.589766693689,2205.5452714921666,2275.0,-,-
Himalyatnagar APMC,1500.0,1556.43,1588.46,-3.6%,-5.6%
Hinganghat APMC,1574.24,1726.98,1701.44,-8.8%,-7.5%
Hingoli APMC,2082.35,2100.0,2050.0,-0.8%,1.6%
Hingoli(Kanegoan Naka) APMC,1657.14,1650.0,1734.1268883771763,0.4%,-
Indapur APMC,1851.0,1745.83,1809.0264132248872,6.0%,-
Indapur(Bhigwan) APMC,1799.24,1775.0,1833.0540398202843,1.4%,-
Jafrabad APMC,1630.0,1700.0,1700.0,-4.1%,-4.1%
Jalana APMC,1728.92,1746.99,1778.96,-1.0%,-2.8%
Jalgaon APMC,1753.95,1881.15,1721.12,-6.8%,1.9%
Jalgaon Jamod(Aasalgaon) APMC,1600.0,1600.0,1650.0,-,-3.0%
Jamkhed APMC,1881.25,1833.33,1965.62,2.6%,-4.3%
Jawala-Bajar APMC,1750.0,1750.0,1800.0,-,-2.8%
Jintur APMC,1715.57,1773.7476325538844,1824.33,-,-6.0%
Kada APMC,1927.59,1900.0,1932.1337141708436,1.4%,-
Kaij APMC,1609.94,1618.521410938227,1640.75,-,-1.9%
Kalamb (Dharashiv) APMC,1802.73,1841.0,2064.51,-2.1%,-12.7%
Kalamnuri APMC,1781.874360628859,1850.6045806416046,1900.0,-,-
Kalvan APMC,2000.0,1600.0,1752.6,25.0%,14.1%
Kandhar APMC,1420.805529317837,1400.0,1535.741633512906,-,-
