,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - March, 2021",,
Market,"Arrivals March, 2021 (Metric Tonnes)","Arrivals February, 2021 (Metric Tonnes)","Arrivals March, 2020 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Ahmednagar APMC,51.0,83.0,82.0,-38.5%,-37.8%
Akhadabalapur APMC,10.0,26.0,46.0,-61.5%,-78.3%
Akkalkuwa APMC,-,-,157.0,-,-
Akluj APMC,-,468.0,16.0,-,-
Akola APMC,830.0,307.0,660.0,170.4%,25.8%
Akot APMC,100.0,6.0,-,1566.7%,-
Amalner APMC,6180.0,1738.0,944.0,255.6%,554.7%
Amarawati APMC,1127.0,107.0,778.0,953.3%,44.9%
Ambad (Vadigodri) APMC,77.0,-,44.0,-,75.0%
Anajngaon APMC,51.0,18.0,12.0,183.3%,325.0%
Ashti(Karanja) APMC,362.0,30.0,89.0,1106.7%,306.7%
Aurad Shahajani APMC,1.0,-,4.0,-,-75.0%
Ausa APMC,-,-,5.0,-,-
Balapur APMC,70.0,25.0,12.0,180.0%,483.3%
Baramati APMC,497.0,445.0,124.0,11.7%,300.8%
Barshi APMC,15.0,2.0,30.0,650.0%,-50.0%
Barshi(Vairag) APMC,-,-,10.0,-,-
Beed APMC,97.0,47.0,38.0,106.4%,155.3%
Bhandara APMC,27.0,3.0,6.0,800.0%,350.0%
Bhivandi APMC,-,-,119.0,-,-
Bhokar APMC,169.0,11.0,34.0,1436.4%,397.1%
Bhokardan APMC,133.0,86.0,97.0,54.6%,37.1%
Bhokardan(Pimpalgaon Renu) APMC,13.0,66.0,19.0,-80.3%,-31.6%
Bhusaval APMC,6.0,-,3.0,-,100.0%
Bori APMC,11.0,24.0,-,-54.2%,-
Buldhana(Dhad) APMC,-,-,23.0,-,-
Chakur APMC,-,1.0,-,-,-
Chalisgaon APMC,368.0,126.0,50.0,192.1%,636.0%
Chandur Bazar APMC,106.0,60.0,35.0,76.7%,202.9%
Chattrapati Sambhajinagar APMC,839.0,231.0,367.0,263.2%,128.6%
Chikali APMC,429.0,381.0,344.0,12.6%,24.7%
Chopada APMC,690.0,369.0,717.0,87.0%,-3.8%
Daryapur APMC,29.0,-,-,-,-
Deoulgaon Raja APMC,90.0,44.0,105.0,104.5%,-14.3%
Devala APMC,550.0,41.0,29.0,1241.5%,1796.5%
Dhamngaon-Railway APMC,2110.0,-,240.0,-,779.2%
Dharangaon APMC,783.0,96.0,593.0,715.6%,32.0%
Dhule APMC,3418.0,2184.0,3607.0,56.5%,-5.2%
Digras APMC,8.0,1.0,-,700.0%,-
Dindori APMC,-,-,14.0,-,-
Dondaicha APMC,6789.0,2399.0,4923.0,183.0%,37.9%
Dondaicha(Sindhkheda) APMC,-,19.0,43.0,-,-
Dound APMC,167.0,85.0,139.0,96.5%,20.1%
Dudhani APMC,4.0,-,1.0,-,300.0%
Fulmbri APMC,-,-,60.0,-,-
Gangakhed APMC,40.0,43.0,14.0,-7.0%,185.7%
Gangapur APMC,313.0,207.0,146.0,51.2%,114.4%
Gevrai APMC,264.0,200.0,156.0,32.0%,69.2%
Ghansawangi APMC,-,1.0,8.0,-,-
Hinganghat APMC,796.0,116.0,451.0,586.2%,76.5%
Hingoli APMC,104.0,74.0,109.0,40.5%,-4.6%
Hingoli(Kanegoan Naka) APMC,141.0,63.0,240.0,123.8%,-41.2%
Indapur APMC,-,-,7.0,-,-
Indapur(Bhigwan) APMC,-,-,86.0,-,-
Jafrabad APMC,80.0,19.0,-,321.1%,-
Jalana APMC,2462.0,1134.0,927.0,117.1%,165.6%
Jalgaon APMC,37.0,2.0,18.0,1750.0%,105.6%
Jalgaon Jamod(Aasalgaon) APMC,28.0,122.0,-,-77.0%,-
Jalgaon(Masawat) APMC,106.0,67.0,26.0,58.2%,307.7%
Jamkhed APMC,36.0,17.0,12.0,111.8%,200.0%
Jamner APMC,-,16.0,-,-,-
Jawala-Bajar APMC,21.0,25.0,-,-16.0%,-
