,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - March, 2021",,
Market,"Prices March, 2021 (Rs./Quintal)","Prices February, 2021 (Rs./Quintal)","Prices March, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Ahmednagar APMC,1743.78,2294.05,1949.49,-24.0%,-10.6%
Akhadabalapur APMC,1740.0,1800.0,1805.43,-3.3%,-3.6%
Akkalkuwa APMC,-,-,1960.25,-,-
Akluj APMC,-,60.15,1802.94,-,-
Akola APMC,1912.59,1848.05,1965.9,3.5%,-2.7%
Akot APMC,1807.2,1500.0,-,20.5%,-
Amalner APMC,1755.08,1741.24,1806.51,0.8%,-2.9%
Amarawati APMC,1834.17,1734.11,1921.46,5.8%,-4.5%
Ambad (Vadigodri) APMC,1709.71,-,2036.36,-,-16.0%
Anajngaon APMC,1598.04,1561.11,2033.33,2.4%,-21.4%
Ashti(Karanja) APMC,1639.5,1680.0,1705.62,-2.4%,-3.9%
Aurad Shahajani APMC,1820.0,-,1821.25,-,-0.1%
Ausa APMC,-,-,2191.6,-,-
Balapur APMC,1765.71,1538.0,1900.0,14.8%,-7.1%
Baramati APMC,1797.42,1768.22,1856.72,1.6%,-3.2%
Barshi APMC,2246.67,1550.0,1978.33,45.0%,13.6%
Barshi(Vairag) APMC,-,-,1864.4,-,-
Beed APMC,1806.6,1654.64,1950.08,9.2%,-7.4%
Bhandara APMC,1629.07,2053.33,1740.0,-20.7%,-6.4%
Bhivandi APMC,-,-,2200.42,-,-
Bhokar APMC,1538.13,1452.73,1701.0,5.9%,-9.6%
Bhokardan APMC,1621.05,1600.0,1679.38,1.3%,-3.5%
Bhokardan(Pimpalgaon Renu) APMC,1650.0,1623.48,1700.0,1.6%,-2.9%
Bhusaval APMC,1675.0,-,1683.33,-,-0.5%
Bori APMC,1525.45,1613.12,-,-5.4%,-
Buldhana(Dhad) APMC,-,-,1778.26,-,-
Chakur APMC,-,1500.0,-,-,-
Chalisgaon APMC,1626.78,1560.24,2013.0,4.3%,-19.2%
Chandur Bazar APMC,1638.58,1533.38,1851.43,6.9%,-11.5%
Chattrapati Sambhajinagar APMC,1724.87,1663.6,1847.61,3.7%,-6.6%
Chikali APMC,1607.19,1553.27,1688.79,3.5%,-4.8%
Chopada APMC,1716.88,1724.25,1781.36,-0.4%,-3.6%
Daryapur APMC,1621.72,-,-,-,-
Deoulgaon Raja APMC,1614.64,1502.68,1712.1,7.5%,-5.7%
Devala APMC,1689.92,1626.59,1713.1,3.9%,-1.4%
Dhamngaon-Railway APMC,1598.82,-,1706.46,-,-6.3%
Dharangaon APMC,1644.98,1645.82,1758.07,-0.1%,-6.4%
Dhule APMC,1708.89,1671.34,1754.8,2.2%,-2.6%
Digras APMC,1665.0,1650.0,-,0.9%,-
Dindori APMC,-,-,1802.0,-,-
Dondaicha APMC,1657.46,1708.81,1794.7,-3.0%,-7.7%
Dondaicha(Sindhkheda) APMC,-,1569.05,1716.47,-,-
Dound APMC,1801.74,1700.35,1935.61,6.0%,-6.9%
Dudhani APMC,2070.0,-,1705.0,-,21.4%
Fulmbri APMC,-,-,1760.0,-,-
Gangakhed APMC,1978.75,1914.53,1879.29,3.4%,5.3%
Gangapur APMC,1688.52,1671.53,1788.81,1.0%,-5.6%
Gevrai APMC,1676.99,1542.0,1855.61,8.8%,-9.6%
Ghansawangi APMC,-,2050.0,2075.0,-,-
Hinganghat APMC,1675.22,1597.24,1740.72,4.9%,-3.8%
Hingoli APMC,1944.12,1849.23,1886.61,5.1%,3.0%
Hingoli(Kanegoan Naka) APMC,1585.82,1500.79,1832.29,5.7%,-13.4%
Indapur APMC,-,-,2200.0,-,-
Indapur(Bhigwan) APMC,-,-,1830.23,-,-
Jafrabad APMC,1660.0,1500.0,-,10.7%,-
Jalana APMC,1676.55,1649.02,1787.77,1.7%,-6.2%
Jalgaon APMC,1684.78,1562.5,1739.72,7.8%,-3.2%
Jalgaon Jamod(Aasalgaon) APMC,1800.0,1600.0,-,12.5%,-
Jalgaon(Masawat) APMC,1657.61,1621.39,1779.23,2.2%,-6.8%
Jamkhed APMC,1950.0,2060.29,1825.0,-5.3%,6.8%
Jamner APMC,-,1930.0,-,-,-
Jawala-Bajar APMC,1750.0,1750.0,-,-,-
Jintur APMC,1612.5,1800.0,1835.71,-10.4%,-12.2%
Kaij APMC,1799.59,-,2121.0,-,-15.2%
Kalamb (Dharashiv) APMC,1843.91,1565.69,1900.74,17.8%,-3.0%
Kalamnuri APMC,2100.0,-,2000.0,-,5.0%
Kalmeshwar APMC,1298.33,-,-,-,-
Kalvan APMC,1709.71,1595.38,1741.24,7.2%,-1.8%
Kandhar APMC,-,1390.0,-,-,-
Kannad APMC,1714.43,1566.14,2600.0,9.5%,-34.1%
Karanja APMC,1645.68,1630.64,1684.81,0.9%,-2.3%
Karjat(Raigad) APMC,1742.79,1625.0,1938.54,7.2%,-10.1%
Karmala APMC,1760.88,1611.11,1815.78,9.3%,-3.0%
Katol APMC,1660.87,1664.05,1741.34,-0.2%,-4.6%
Khamgaon APMC,1587.34,1610.07,1619.8,-1.4%,-2.0%
Kille Dharur APMC,1958.84,2202.62,1623.62,-11.1%,20.6%
Kopargaon APMC,1672.63,1692.37,1791.5,-1.2%,-6.6%
Kurdwadi APMC,2000.5,-,1800.0,-,11.1%
Kurdwadi(Modnimb) APMC,1910.0,1518.18,1825.42,25.8%,4.6%
Lakhandur APMC,1525.0,-,-,-,-
Lasalgaon APMC,1744.77,1676.44,1774.71,4.1%,-1.7%
Lasalgaon(Niphad) APMC,1729.75,1695.84,1838.99,2.0%,-5.9%
Lasalgaon(Vinchur) APMC,1728.92,1692.51,-,2.1%,-
Lasur Station APMC,1664.06,1628.52,1797.75,2.2%,-7.4%
Latur APMC,2001.69,1853.54,2124.46,8.0%,-5.8%
Latur(Murud) APMC,1869.23,1700.0,2205.5,9.9%,-15.2%
