,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - May, 2021",,
Market,"Prices May, 2021 (Rs./Quintal)","Prices April, 2021 (Rs./Quintal)","Prices May, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Aarni APMC,1750.0,-,1928.95,-,-9.3%
Achalpur APMC,1773.06,-,-,-,-
Ahmednagar APMC,-,1735.0,1992.93,-,-
Ahmedpur APMC,-,-,1732.31,-,-
Akhadabalapur APMC,1804.55,1742.86,1921.97,3.5%,-6.1%
Akkalkot APMC,-,2300.0,-,-,-
Akkalkuwa APMC,1926.55,1859.87,1835.2,3.6%,5.0%
Akluj APMC,1700.0,1875.0,1907.14,-9.3%,-10.9%
Akola APMC,1801.28,1937.19,2139.78,-7.0%,-15.8%
Akot APMC,1706.25,-,1774.29,-,-3.8%
Amalner APMC,1775.41,1838.19,1860.75,-3.4%,-4.6%
Amarawati APMC,1804.6,1791.85,1908.07,0.7%,-5.4%
Ambad (Vadigodri) APMC,1700.35,1740.9,2410.0,-2.3%,-29.4%
Anajngaon APMC,1638.99,1751.23,1909.31,-6.4%,-14.2%
Ashti APMC,1500.0,-,-,-,-
Ashti(Karanja) APMC,1644.07,1657.75,1802.36,-0.8%,-8.8%
Aurad Shahajani APMC,1767.0,-,-,-,-
Ausa APMC,1638.0,1953.05,2407.89,-16.1%,-32.0%
Babhulgaon APMC,1646.6,1658.2,-,-0.7%,-
Balapur APMC,1945.16,2073.68,1937.5,-6.2%,0.4%
Baramati APMC,1859.49,1798.47,1933.28,3.4%,-3.8%
Barshi APMC,-,2389.71,2535.87,-,-
Barshi Takli APMC,-,-,1736.17,-,-
Barshi(Vairag) APMC,2500.0,-,-,-,-
Beed APMC,1840.0,1892.74,1999.27,-2.8%,-8.0%
Bhandara APMC,1593.75,1618.44,1453.82,-1.5%,9.6%
Bhiwapur APMC,1625.0,1555.0,1552.33,4.5%,4.7%
Bhokar APMC,1606.01,1529.4,1725.4,5.0%,-6.9%
Bhokardan APMC,1650.0,1653.6,1783.51,-0.2%,-7.5%
Bhokardan(Pimpalgaon Renu) APMC,1650.0,1675.0,-,-1.5%,-
Bhusaval APMC,-,1855.45,-,-,-
