Market,"Arrivals May, 2021 (Metric Tonnes)","Arrivals April, 2021 (Metric Tonnes)","Arrivals May, 2020 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Aarni APMC,21.0,14.070188369747566,95.0,-,-77.9%
Achalpur APMC,396.0,703.0276003442764,300.0228425318052,-,-
Ahmednagar APMC,35.25944231017215,37.0,71.0,-,-
Ahmedpur APMC,275.04790249626876,532.4290133021381,26.0,-,-
Akhadabalapur APMC,11.0,7.0,66.0,57.1%,-83.3%
Akkalkot APMC,3.1370129632554864,6.0,-5.8359115971672555,-,-
Akkalkuwa APMC,29.0,149.0,25.0,-80.5%,16.0%
Akluj APMC,12.0,4.0,7.0,200.0%,71.4%
Akola APMC,269.0,1105.0,328.0,-75.7%,-18.0%
Akot APMC,64.0,87.7348382187604,140.0,-,-54.3%
Amalner APMC,1967.0,3875.0,820.0,-49.2%,139.9%
Amarawati APMC,1391.0,2073.0,677.0,-32.9%,105.5%
Ambad (Vadigodri) APMC,78.0,82.0,70.0,-4.9%,11.4%
Anajngaon APMC,109.0,204.0,145.0,-46.6%,-24.8%
Ashti APMC,2.0,2.0453992076680487,-7.549977266805705,-,-
Ashti(Karanja) APMC,198.0,502.0,53.0,-60.6%,273.6%
Aurad Shahajani APMC,1.0,0.26625656518934804,-8.330618941421468,-,-
Ausa APMC,4.0,22.0,9.0,-81.8%,-55.6%
Babhulgaon APMC,119.0,150.0,104.2416164386476,-20.7%,-
Balapur APMC,31.0,76.0,32.0,-59.2%,-3.1%
Baramati APMC,337.0,511.0,96.0,-34.0%,251.0%
Barshi APMC,20.26658130449496,17.0,46.0,-,-
Barshi Takli APMC,317.05394420457975,598.42208817397,94.0,-,-
Barshi(Vairag) APMC,1.0,0.26625656518934804,-8.330618941421468,-,-
Beed APMC,10.0,145.0,15.0,-93.1%,-33.3%
Bhandara APMC,8.0,32.0,34.0,-75.0%,-76.5%
Bhiwapur APMC,2.0,5.0,43.0,-60.0%,-95.3%
Bhokar APMC,86.0,83.0,25.0,3.6%,244.0%
Bhokardan APMC,118.0,111.0,97.0,6.3%,21.6%
Bhokardan(Pimpalgaon Renu) APMC,17.0,20.0,7.268748366706813,-15.0%,-
Bhusaval APMC,5.927251347961984,11.0,-3.693013940105481,-,-
Bodwad APMC,341.14564459611086,636.2710575857558,133.0,-,-
Bori APMC,7.043346701844582,13.0,-2.835854877280773,-,-
Buldhana(Dhad) APMC,3.0,8.0,17.0,-62.5%,-82.3%
Chakur APMC,1.0,0.26625656518934804,-8.330618941421468,-,-
Chalisgaon APMC,469.0,510.0,126.0,-8.0%,272.2%
Chandur Bazar APMC,179.0,243.0,292.0,-26.3%,-38.7%
Chandur Railway APMC,16.0,27.047497365320393,3.0,-,433.3%
Chattrapati Sambhajinagar APMC,265.0,437.0,36.0,-39.4%,636.1%
Chikali APMC,166.0,172.0,489.0,-3.5%,-66.0%
Chopada APMC,88.0,49.0,148.0,79.6%,-40.5%
Daryapur APMC,6.0,66.0,27.0,-90.9%,-77.8%
Deoulgaon Raja APMC,49.0,124.0,32.0,-60.5%,53.1%
Devala APMC,9.0,32.0,6.0,-71.9%,50.0%
Dhadgaon APMC,267.01733569909175,519.8126901648761,13.0,-,-
Dhamngaon-Railway APMC,637.0,950.0,200.0,-33.0%,218.5%
Dharangaon APMC,44.0,38.0,38.46923127738768,15.8%,-
Dharmabad APMC,1.4628699324315875,3.0,-7.121650191404322,-,-
Dharni APMC,568.4724585469698,993.4100510097876,501.0,-,-
Dhule APMC,665.0,917.0,652.0,-27.5%,2.0%
Digras APMC,12.0,13.693395902751874,25.0,-,-52.0%
Dondaicha APMC,1645.0,4730.0,1840.0,-65.2%,-10.6%
Dondaicha(Sindhkheda) APMC,54.0,97.0,24.0,-44.3%,125.0%
Dound APMC,114.0,225.0,58.0,-49.3%,96.5%
Dudhani APMC,3.1370129632554864,6.0,-5.8359115971672555,-,-
Gangakhed APMC,36.0,27.0,20.0,33.3%,80.0%
Gangapur APMC,79.0,139.0,73.0,-43.2%,8.2%
Gevrai APMC,46.0,462.0,164.0,-90.0%,-72.0%
Ghansawangi APMC,2.0,-0.07742319233975792,1.0,-,100.0%
Himalyatnagar APMC,28.0,46.998799228118315,18.0,-,55.6%
Hinganghat APMC,1252.0,1360.0,315.0,-7.9%,297.5%
Hingoli APMC,15.0,56.0,-7.624709093437076,-73.2%,-
Hingoli(Kanegoan Naka) APMC,18.0,45.0,69.0,-60.0%,-73.9%
Indapur APMC,24.0,41.09321721921929,10.0,-,140.0%
Indapur(Bhigwan) APMC,3.0,-1.3321514897938145,14.0,-,-78.6%
Jafrabad APMC,48.0,68.0,24.0,-29.4%,100.0%
Jalana APMC,2066.0,2744.0,479.0,-24.7%,331.3%
Jalgaon APMC,13.0,29.0,41.0,-55.2%,-68.3%
Jalgaon Jamod(Aasalgaon) APMC,32.0,44.0,1.0,-27.3%,3100.0%
Jalgaon(Masawat) APMC,8.71748973266848,16.0,-1.5501162830437076,-,-
Jamkhed APMC,3.0,42.0,5.0,-92.9%,-40.0%
Jawala-Bajar APMC,14.0,16.397902925412406,30.0,-,-53.3%
Jintur APMC,6.114143108800505,8.0,3.0,-,-
Kada APMC,9.0,14.499397705018957,-2.08548554449536,-,-
Kaij APMC,15.414061855964073,28.0,3.592838093904552,-,-
Kalamb (Dharashiv) APMC,32.0,99.0,14.0,-67.7%,128.6%
Kalmeshwar APMC,5.369203671020683,10.0,-4.121593471517837,-,-
Kalvan APMC,2.0,14.0,25.0,-85.7%,-92.0%
Kandhar APMC,1.0,0.26625656518934804,-8.330618941421468,-,-
Kannad APMC,121.0,112.0,9.0,8.0%,1244.4%
Karanja APMC,2391.0,5388.0,2090.0,-55.6%,14.4%
Karjat(Raigad) APMC,17.0,117.0,-25.422790724012177,-85.5%,-
Karmala APMC,7.0,31.0,-10.241115157399108,-77.4%,-
Katol APMC,793.0,560.0,130.0,41.6%,510.0%
Khamgaon APMC,237.0,1108.0,997.0,-78.6%,-76.2%
Kille Dharur APMC,15.0,23.0,5.0,-34.8%,200.0%
Kopargaon APMC,143.0,727.0,409.0,-80.3%,-65.0%
Kurdwadi APMC,0.9048222554902884,2.0,-7.550229722816677,-,-
Kurdwadi(Modnimb) APMC,9.812461836846781,12.0,11.0,-,-
Lakhandur APMC,3.1370129632554864,6.0,-5.8359115971672555,-,-
Lasalgaon APMC,417.0,463.0,284.0,-9.9%,46.8%
Lasalgaon(Niphad) APMC,159.0,440.0,130.0,-63.9%,22.3%
Lasalgaon(Vinchur) APMC,237.0,750.0,160.0,-68.4%,48.1%
Lasur Station APMC,448.0,579.0,143.0,-22.6%,213.3%
Latur APMC,1345.0,1820.0,1233.6036690379062,-26.1%,-
Latur(Murud) APMC,321.0,212.0,33.0,51.4%,872.7%
Loha APMC,271.95922295889295,527.576581326268,21.0,-,-
