Market,"Prices October, 2021 (Rs./Quintal)","Prices September, 2021 (Rs./Quintal)","Prices October, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,1753.16,1755.97,1538.8333402541289,-0.2%,-
Ahmednagar APMC,1787.81,1756.15,1663.33,1.8%,7.5%
Ahmedpur APMC,1706.1984847096783,1700.0,1485.5996607198467,-,-
Akhadabalapur APMC,1864.77,1870.0,1875.0,-0.3%,-0.6%
Akluj APMC,1855.1835258862022,1847.7661015887084,1650.0,-,-
Akola APMC,2122.78,2150.08,1515.06,-1.3%,40.1%
Akot APMC,1691.5153175461169,1687.88,1428.95,-,-
Amalner APMC,1925.45,1889.4,1648.0,1.9%,16.8%
Amarawati APMC,1916.71,1982.34,1730.39,-3.3%,10.8%
Ambad (Vadigodri) APMC,1817.33,1811.39,1679.15,0.3%,8.2%
Anajngaon APMC,1733.33,1739.13,1477.08,-0.3%,17.4%
Aurad Shahajani APMC,1659.56,1687.42,1454.990614499331,-1.6%,-
Ausa APMC,1683.09,1681.06263450359,1463.8580325956032,-,-
Balapur APMC,1715.59,1742.53,1661.9,-1.6%,3.2%
Baramati APMC,1848.71,1829.18,1591.48,1.1%,16.2%
Barshi APMC,1616.67,1641.67,1409.150320707531,-1.5%,-
Barshi(Vairag) APMC,1533.33,1531.62,1309.129392489218,0.1%,-
Beed APMC,1757.08,1773.26,1451.85,-0.9%,21.0%
Bhandara APMC,1673.57,1668.12,1396.0,0.3%,19.9%
Bhivandi APMC,1925.0,1914.5228325432422,1709.6858655725853,-,-
Bhokar APMC,1668.61,1647.2,1478.0,1.3%,12.9%
Bhokardan APMC,1744.03,1788.64,1505.33,-2.5%,15.9%
Bhokardan(Pimpalgaon Renu) APMC,1754.0,1830.0,1500.0,-4.2%,16.9%
Bhusaval APMC,1725.0,1704.9944170106442,1200.0,-,43.8%
Bori APMC,1548.61,1539.73,1990.18,0.6%,-22.2%
Chakur APMC,1531.0,1518.0,1333.0,0.9%,14.8%
Chalisgaon APMC,1760.34,1736.69,1360.88,1.4%,29.4%
Chandur Bazar APMC,1726.62,1717.01,1518.59,0.6%,13.7%
Chattrapati Sambhajinagar APMC,1951.55,1886.06,1549.13,3.5%,26.0%
Chikali APMC,1469.21,1601.98,1466.68,-8.3%,0.2%
Chopada APMC,1768.8,1831.23,1516.08,-3.4%,16.7%
Daryapur APMC,1709.2337474944486,1701.4304653463853,1400.0,-,-
Deoulgaon Raja APMC,1736.33,1706.4,1399.55,1.8%,24.1%
Devala APMC,1788.79,1784.69,1477.22,0.2%,21.1%
Dhamngaon-Railway APMC,1753.5207482496426,1745.8345508077562,1475.86,-,-
Dharangaon APMC,1923.65,1874.88,1523.85,2.6%,26.2%
Dhule APMC,2022.42,1889.24,1600.34,7.0%,26.4%
Digras APMC,1887.5,1925.0,1200.0,-1.9%,57.3%
Dondaicha APMC,1983.59,1905.02,1654.17,4.1%,19.9%
Dondaicha(Sindhkheda) APMC,1757.3971743637271,1749.7212253063517,1482.5,-,-
Dound APMC,1776.1,1768.2,1552.09,0.5%,14.4%
Dudhani APMC,1948.1650748706174,1940.0,1734.8415935280664,-,-
Gangakhed APMC,2100.0,2100.0,1900.0,-,10.5%
Gangapur APMC,1816.32,1825.95,1569.17,-0.5%,15.8%
Gevrai APMC,1850.37,1847.12,1599.15,0.2%,15.7%
Ghansawangi APMC,1750.0,1740.91,1780.0,0.5%,-1.7%
Himalyatnagar APMC,1700.0,1565.12,1540.0,8.6%,10.4%
Hinganghat APMC,1772.91,1715.27,1489.18,3.4%,19.1%
Hingoli APMC,1828.18,1862.23,1630.29,-1.8%,12.1%
Hingoli(Kanegoan Naka) APMC,1600.0,1589.42,1500.0,0.7%,6.7%
Jafrabad APMC,1705.56,1706.4336723510216,1554.76,-,9.7%
Jalana APMC,1881.16,1881.6,1490.8,-0.0%,26.2%
Jalgaon APMC,1890.5,1791.67,1500.0,5.5%,26.0%
Jalgaon Jamod(Aasalgaon) APMC,1900.0,1800.0,1531.58,5.6%,24.1%
Jamkhed APMC,1687.86,1674.34,1500.0,0.8%,12.5%
Jawala-Bajar APMC,1650.0,1663.6187328271626,1698.61,-,-2.9%
Jintur APMC,1747.1806898763048,1739.4777307693896,1465.0,-,-
Kada APMC,1833.33,1795.39,2000.0,2.1%,-8.3%
Kaij APMC,1624.79,1615.82,1429.17,0.6%,13.7%
Kalamb (Dharashiv) APMC,1705.83,1748.93,1640.66,-2.5%,4.0%
Kalamnuri APMC,2008.6567224108526,2000.0,1797.1520767301217,-,-
Kalvan APMC,1780.0602559523988,1772.44422290206,1521.32,-,-
Kannad APMC,1907.69,1811.38,1625.0,5.3%,17.4%
Karanja APMC,1883.26,1840.23,1561.99,2.3%,20.6%
Karjat(Raigad) APMC,1681.88,1720.87,1646.88,-2.3%,2.1%
Karmala APMC,1681.05,1627.31,1400.0,3.3%,20.1%
Katol APMC,1760.04,1780.36,1513.92,-1.1%,16.3%
Khamgaon APMC,1790.88,1782.2,1519.11,0.5%,17.9%
