Market,"Arrivals August, 2022 (Metric Tonnes)","Arrivals July, 2022 (Metric Tonnes)","Arrivals August, 2021 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,639.0,779.0,415.0,-18.0%,54.0%
Ahmednagar APMC,120.0,331.0,551.0,-63.8%,-78.2%
Ahmedpur APMC,136.0723009117162,146.257673363001,4.0,-,-
Akhadabalapur APMC,5.893665731771393,6.0,10.0,-,-
Akkalkot APMC,12.254121228220674,13.0,18.487852956609846,-,-
Akola APMC,237.0,155.0,372.0,52.9%,-36.3%
Akot APMC,5.885874086712175,6.0,10.501525975495845,-,-
Amalner APMC,340.0,312.0,264.0,9.0%,28.8%
Amarawati APMC,204.0,936.0,260.0,-78.2%,-21.5%
Ambad (Vadigodri) APMC,210.0224111563315,228.5700522374925,158.0,-,-
Ambejaogai APMC,1.0,1.0,4.836399862098822,-,-
Anajngaon APMC,16.0,16.0,42.0,-,-61.9%
Ashti(Karanja) APMC,32.26861224439025,35.0,43.58773775439669,-,-
Aurad Shahajani APMC,1.3184365745410775,1.0,6.0,-,-
Ausa APMC,1.3371261284918181,1.0,4.7970067032715615,-,-
Balapur APMC,16.0,15.0,73.0,6.7%,-78.1%
Baramati APMC,268.0,189.0,665.0,41.8%,-59.7%
Barshi APMC,19.0,15.0,11.0,26.7%,72.7%
Barshi(Vairag) APMC,10.0,10.0,5.0,-,100.0%
Beed APMC,43.0,40.0,131.0,7.5%,-67.2%
Bhandara APMC,3.0,4.0,16.0,-25.0%,-81.2%
Bhiwapur APMC,2.0,12.0,1.0,-83.3%,100.0%
Bhokar APMC,5.0,7.0,27.0,-28.6%,-81.5%
Bhokardan APMC,14.0,39.0,45.0,-64.1%,-68.9%
Bhokardan(Pimpalgaon Renu) APMC,3.898893789764987,4.0,19.0,-,-
Bhusaval APMC,1.0,-0.14938411124621265,3.4116356873610214,-,-
Bori APMC,5.0,15.0,58.0,-66.7%,-91.4%
Chakur APMC,1.0,-0.0028328943129622974,3.0,-,-66.7%
Chalisgaon APMC,56.0,71.0,116.0,-21.1%,-51.7%
Chandur Bazar APMC,71.0,101.0,284.0,-29.7%,-75.0%
Chandur Railway APMC,1.0,-0.14938411124621265,3.4116356873610214,-,-
Chattrapati Sambhajinagar APMC,134.0,114.0,231.0,17.5%,-42.0%
Chikali APMC,98.0,149.0,110.0,-34.2%,-10.9%
Chopada APMC,11.0,30.0,20.0,-63.3%,-45.0%
Deoulgaon Raja APMC,22.0,16.0,37.0,37.5%,-40.5%
Devala APMC,5.0,7.0,18.0,-28.6%,-72.2%
Dhamngaon-Railway APMC,50.463604077271675,55.0,66.40581484329383,-,-
Dharangaon APMC,13.0,22.0,4.0,-40.9%,225.0%
Dhule APMC,228.0,211.0,275.0,8.1%,-17.1%
Digras APMC,29.0,31.0,3.0,-6.5%,866.7%
Dondaicha APMC,346.0,393.0,534.0,-12.0%,-35.2%
Dondaicha(Sindhkheda) APMC,26.0,23.70056404612187,1.0,-,2500.0%
Dound APMC,34.0,48.0,103.0,-29.2%,-67.0%
Dudhani APMC,1.3805800760936364,1.0,2.0,-,-
