,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - December, 2022",,
Market,"Prices December, 2022 (Rs./Quintal)","Prices November, 2022 (Rs./Quintal)","Prices December, 2021 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,2514.82,2333.4,1838.45,7.8%,36.8%
Ahmednagar APMC,2654.76,2531.09,1927.17,4.9%,37.8%
Akhadabalapur APMC,2050.0,-,2000.0,-,2.5%
Akola APMC,2873.87,2854.88,2094.47,0.7%,37.2%
Amalner APMC,2789.43,2663.96,2007.0,4.7%,39.0%
Amarawati APMC,2426.32,2386.23,1924.36,1.7%,26.1%
Ambad (Vadigodri) APMC,2614.42,2696.57,1979.16,-3.0%,32.1%
Ambejaogai APMC,-,3250.0,-,-,-
Anajngaon APMC,2836.36,2521.43,1848.08,12.5%,53.5%
Ashti(Jalna) APMC,2800.0,2930.0,1873.14,-4.4%,49.5%
Ashti(Karanja) APMC,-,2400.0,-,-,-
Aurad Shahajani APMC,-,-,1627.43,-,-
Ausa APMC,3189.2,2648.5,1846.85,20.4%,72.7%
Balapur APMC,2610.0,2277.78,1732.55,14.6%,50.6%
Baramati APMC,2724.42,2679.34,1998.41,1.7%,36.3%
Barshi APMC,2673.08,2540.0,1900.0,5.2%,40.7%
Barshi(Vairag) APMC,2700.0,1991.67,1558.88,35.6%,73.2%
Beed APMC,2735.22,2779.09,1927.83,-1.6%,41.9%
Bhandara APMC,2485.0,-,1699.17,-,46.2%
Bhokar APMC,2308.0,2367.0,1880.43,-2.5%,22.7%
Bhokardan APMC,2488.24,2354.35,1812.07,5.7%,37.3%
Bhokardan(Pimpalgaon Renu) APMC,2500.0,-,1783.33,-,40.2%
Bori APMC,-,-,1563.33,-,-
Chalisgaon APMC,2589.28,2595.74,1838.63,-0.2%,40.8%
Chandur Bazar APMC,2319.27,2256.96,1718.6,2.8%,35.0%
Chattrapati Sambhajinagar APMC,2766.25,2688.04,2029.33,2.9%,36.3%
Chikali APMC,2476.12,2142.92,1659.66,15.6%,49.2%
Chopada APMC,2651.33,2631.0,1841.48,0.8%,44.0%
Deoulgaon Raja APMC,2631.94,2562.96,1785.42,2.7%,47.4%
Devala APMC,2605.0,2705.0,1880.87,-3.7%,38.5%
Dhamngaon-Railway APMC,-,2483.33,-,-,-
Dharangaon APMC,2665.0,2538.0,1944.75,5.0%,37.0%
Dhule APMC,2697.84,2656.44,2010.7,1.6%,34.2%
Digras APMC,2763.89,2891.25,-,-4.4%,-
Dondaicha APMC,2663.36,2548.96,1979.7,4.5%,34.5%
Dound APMC,2524.58,2540.19,1843.6,-0.6%,36.9%
Gangakhed APMC,2324.59,2208.62,2100.0,5.2%,10.7%
Gangapur APMC,2740.76,2617.64,1984.12,4.7%,38.1%
Gevrai APMC,2776.23,2828.44,1994.74,-1.9%,39.2%
Ghansawangi APMC,2700.0,-,1662.5,-,62.4%
Himalyatnagar APMC,-,2166.67,1750.0,-,-
Hinganghat APMC,2596.69,2480.86,1833.97,4.7%,41.6%
Hingoli APMC,2437.24,2532.51,1902.56,-3.8%,28.1%
Indapur APMC,2450.0,2484.12,-,-1.4%,-
Indapur(Bhigwan) APMC,2700.0,2634.62,-,2.5%,-
Indapur(Nimgaon Ketki) APMC,2600.0,2475.0,-,5.0%,-
Jafrabad APMC,-,-,1850.0,-,-
Jalana APMC,2743.32,2654.69,2025.76,3.3%,35.4%
Jalgaon APMC,2600.0,2600.0,1887.5,-,37.8%
Jamkhed APMC,2247.02,2108.96,1712.18,6.5%,31.2%
Jawala-Bajar APMC,-,-,1640.7,-,-
Kada APMC,-,-,1725.58,-,-
Kaij APMC,2929.94,2786.46,1686.11,5.2%,73.8%
Kalamb (Dharashiv) APMC,2740.6,2722.08,1643.44,0.7%,66.8%
Kalvan APMC,2112.5,-,-,-,-
Kandhar APMC,2088.89,1716.67,-,21.7%,-
Kannad APMC,2650.03,2586.49,1951.23,2.5%,35.8%
Karanja APMC,2731.61,2651.91,1951.62,3.0%,40.0%
Karjat(Raigad) APMC,2429.27,2266.67,1684.38,7.2%,44.2%
Karmala APMC,2729.4,2562.75,1783.06,6.5%,53.1%
Katol APMC,3072.31,2583.85,1807.11,18.9%,70.0%
Khamgaon APMC,2542.73,2467.04,1815.63,3.1%,40.0%
Kille Dharur APMC,2750.0,2783.67,1779.35,-1.2%,54.5%
Kopargaon APMC,2726.28,2679.59,1925.7,1.7%,41.6%
Kurdwadi APMC,3101.0,-,2000.0,-,55.0%
