Market,"Arrivals December, 2022 (Metric Tonnes)","Arrivals November, 2022 (Metric Tonnes)","Arrivals December, 2021 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,248.0,189.0,262.0,31.2%,-5.3%
Ahmednagar APMC,42.0,103.0,581.0,-59.2%,-92.8%
Akhadabalapur APMC,2.0,8.196991415271306,3.0,-,-33.3%
Akola APMC,141.0,167.0,352.0,-15.6%,-59.9%
Amalner APMC,74.0,99.0,1675.0,-25.2%,-95.6%
Amarawati APMC,75.0,86.0,470.0,-12.8%,-84.0%
Ambad (Vadigodri) APMC,53.0,60.0,79.0,-11.7%,-32.9%
Ambejaogai APMC,-4.959314975072441,1.0,-7.0333648505711555,-,-
Anajngaon APMC,22.0,14.0,26.0,57.1%,-15.4%
Ashti(Jalna) APMC,2.0,2.0,14.0,-,-85.7%
Ashti(Karanja) APMC,-1.8014732788295547,4.0,-1.9750118959136016,-,-
Aurad Shahajani APMC,22.456708213575638,31.918499726760878,7.0,-,-
Ausa APMC,5.0,6.0,10.0,-16.7%,-50.0%
Balapur APMC,5.0,9.0,49.0,-44.4%,-89.8%
Baramati APMC,199.0,149.0,610.0,33.6%,-67.4%
Barshi APMC,13.0,15.0,45.0,-13.3%,-71.1%
Barshi(Vairag) APMC,3.0,6.0,16.0,-50.0%,-81.2%
Beed APMC,46.0,54.0,190.0,-14.8%,-75.8%
Bhandara APMC,1.0,8.404624779588564,12.0,-,-91.7%
Bhokar APMC,2.0,3.0,7.0,-33.3%,-71.4%
Bhokardan APMC,34.0,46.0,29.0,-26.1%,17.2%
Bhokardan(Pimpalgaon Renu) APMC,9.0,14.900271158700196,15.0,-,-40.0%
Bori APMC,27.11819108392274,36.260059612502104,15.0,-,-
Chalisgaon APMC,39.0,43.0,115.0,-9.3%,-66.1%
Chandur Bazar APMC,22.0,28.0,97.0,-21.4%,-77.3%
Chattrapati Sambhajinagar APMC,61.0,82.0,192.0,-25.6%,-68.2%
Chikali APMC,83.0,65.0,182.0,27.7%,-54.4%
Chopada APMC,6.0,2.0,29.0,200.0%,-79.3%
Deoulgaon Raja APMC,16.0,27.0,31.0,-40.7%,-48.4%
Devala APMC,1.0,5.0,23.0,-80.0%,-95.7%
Dhamngaon-Railway APMC,3.461596214908589,9.0,6.455576361848987,-,-
Dharangaon APMC,2.0,1.0,4.0,100.0%,-50.0%
Dhule APMC,81.0,208.0,203.0,-61.1%,-60.1%
Digras APMC,9.0,8.0,10.762961891546668,12.5%,-
Dondaicha APMC,126.0,216.0,412.0,-41.7%,-69.4%
Dound APMC,24.0,27.0,125.0,-11.1%,-80.8%
Gangakhed APMC,61.0,58.0,138.0,5.2%,-55.8%
Gangapur APMC,37.0,58.0,68.0,-36.2%,-45.6%
Gevrai APMC,53.0,77.0,247.0,-31.2%,-78.5%
Ghansawangi APMC,3.0,10.381993950424626,16.0,-,-81.2%
Himalyatnagar APMC,30.91475745591319,42.0,8.0,-,-
Hinganghat APMC,136.0,116.0,456.0,17.2%,-70.2%
Hingoli APMC,29.0,39.0,86.0,-25.6%,-66.3%
Indapur APMC,2.0,8.0,4.612462808019491,-75.0%,-
Indapur(Bhigwan) APMC,9.0,26.0,24.465432027114602,-65.4%,-
Indapur(Nimgaon Ketki) APMC,2.0,1.0,-0.7162755780347059,100.0%,-
Jafrabad APMC,20.70865213719547,30.290414769607914,4.0,-,-
Jalana APMC,447.0,687.0,1223.0,-34.9%,-63.5%
Jalgaon APMC,2.0,1.0,4.0,100.0%,-50.0%
Jamkhed APMC,42.0,67.0,119.0,-37.3%,-64.7%
Jawala-Bajar APMC,43.43338113013759,51.4555192125964,43.0,-,-
Kada APMC,68.48885155825323,74.79140359845547,86.0,-,-
Kaij APMC,18.0,24.0,56.0,-25.0%,-67.9%
Kalamb (Dharashiv) APMC,15.0,33.0,40.0,-54.5%,-62.5%
Kalvan APMC,4.0,10.280379800941194,7.974833959007418,-,-
Kandhar APMC,9.0,12.0,13.80795525500621,-25.0%,-
Kannad APMC,38.0,37.0,53.0,2.7%,-28.3%
Karanja APMC,217.0,262.0,757.0,-17.2%,-71.3%
Karjat(Raigad) APMC,41.0,30.0,120.0,36.7%,-65.8%
Karmala APMC,5.0,4.0,16.0,25.0%,-68.8%
Katol APMC,26.0,39.0,83.0,-33.3%,-68.7%
Khamgaon APMC,135.0,157.0,604.0,-14.0%,-77.7%
Kille Dharur APMC,2.0,3.0,23.0,-33.3%,-91.3%
Kopargaon APMC,69.0,90.0,175.0,-23.3%,-60.6%
Kurdwadi APMC,1.0,7.534575361599264,4.0,-,-75.0%
Kurdwadi(Modnimb) APMC,5.0,4.0,10.0,25.0%,-50.0%
Lakhandur APMC,25.370135007542572,34.63197465534914,12.0,-,-
Lasalgaon APMC,126.0,135.0,219.0,-6.7%,-42.5%
Lasalgaon(Niphad) APMC,67.0,76.0,104.0,-11.8%,-35.6%
Lasalgaon(Vinchur) APMC,25.0,42.0,10.0,-40.5%,150.0%
Lasur Station APMC,253.0,380.0,344.0,-33.4%,-26.4%
Latur APMC,765.9632260339379,724.3973015024862,1283.0,-,-
Latur(Murud) APMC,32.9450446718566,41.68700946967863,25.0,-,-
Loha APMC,9.0,4.0,9.0,125.0%,-
Lonar APMC,145.0,147.0,458.0,-1.4%,-68.3%
Majalgaon APMC,12.0,8.0,92.0,50.0%,-87.0%
Malegaon APMC,48.0,94.0,119.0,-48.9%,-59.7%
Malkapur APMC,229.0,249.0,425.0,-8.0%,-46.1%
Mangal Wedha APMC,3.0,5.0,15.0,-40.0%,-80.0%
Mangrulpeer APMC,50.0,25.0,72.0,100.0%,-30.6%
Manmad APMC,14.0,17.0,45.0,-17.6%,-68.9%
Manora APMC,-3.070014341505627,1.0,7.0,-,-
Mantha APMC,17.0,11.0,69.0,54.5%,-75.4%
Manwat APMC,-3.877789520310268,1.0,1.0,-,-
Mehekar APMC,53.0,43.0,178.0,23.3%,-70.2%
Morshi APMC,59.0,67.0,138.0,-11.9%,-57.2%
Mumbai APMC,9194.0,7460.0,13368.0,23.2%,-31.2%
Murtizapur APMC,27.0,30.0,99.0,-10.0%,-72.7%
Murum APMC,-2.782917893205842,2.0,3.0,-,-
Nagpur APMC,469.0,777.0,1367.0,-39.6%,-65.7%
Nanded APMC,2.79039332805392,5.0,26.0,-,-
Nandgaon APMC,23.0,34.0,67.0,-32.4%,-65.7%
Nandgaon Khandeshwar APMC,2.0,1.0,1.0,100.0%,100.0%
Nandura APMC,41.0021843820581,49.0,40.0,-,-
Nandurbar APMC,55.0,116.0,107.0,-52.6%,-48.6%
Navapur APMC,54.0,70.48420758187515,207.0,-,-73.9%
Nira(Saswad) APMC,32.0,8.0,28.0,300.0%,14.3%
Pachora APMC,61.0,70.0,45.0,-12.9%,35.6%
Paithan APMC,43.0,57.0,119.0,-24.6%,-63.9%
Palghar APMC,50.0,27.0,133.0,85.2%,-62.4%
Pandharpur APMC,-2.2265630519711763,3.0,1.0,-,-
Paranda APMC,1.0,1.0,1.0,-,-
Parbhani APMC,36.0,18.0,95.0,100.0%,-62.1%
Parola APMC,13.0,34.0,34.06998965890636,-61.8%,-
Partur APMC,15.0,15.0,26.0,-,-42.3%
Pathardi APMC,14.0,18.0,27.0,-22.2%,-48.1%
Pathari APMC,2.0,2.0,9.0,-,-77.8%
Patur APMC,10.0,8.0,54.0,25.0%,-81.5%
Phaltan APMC,15.0,59.0,75.0,-74.6%,-80.0%
Pune APMC,770.0,913.0,570.0,-15.7%,35.1%
Rahata APMC,15.0,20.0,27.0,-25.0%,-44.4%
Rahuri APMC,4.0,21.0,4.0,-81.0%,-
Rahuri(Vambori) APMC,13.0,24.0,27.0,-45.8%,-51.9%
Ramtek APMC,26.0,62.0,140.0,-58.1%,-81.4%
Raver APMC,23.0,24.0,36.0,-4.2%,-36.1%
Sangamner APMC,17.0,4.0,25.0,325.0%,-32.0%
Sangli APMC,1018.0,626.0,651.0,62.6%,56.4%
Sangrampur(Varvatbakal) APMC,34.0,7.0,82.0,385.7%,-58.5%
Satana APMC,12.0,21.0,74.0,-42.9%,-83.8%
Savner APMC,238.0,10.0,59.0,2280.0%,303.4%
Selu APMC,20.12596677840209,29.74771978389027,3.0,-,-
Shahada APMC,30.0,49.0,55.0,-38.8%,-45.5%
Shegaon APMC,3.0,5.0,34.0,-40.0%,-91.2%
Shevgaon APMC,45.0,52.0,89.0,-13.5%,-49.4%
Shevgaon(Bodhegaon) APMC,8.0,5.0,21.0,60.0%,-61.9%
Shirpur APMC,36.0,48.0,132.0,-25.0%,-72.7%
Shirur APMC,-0.3595923567919188,2.0,21.0,-,-
Shrigonda APMC,23.0,23.0,31.0,-,-25.8%
Shrigonda(Gogargaon) APMC,17.0,57.0,95.0,-70.2%,-82.1%
Shrirampur APMC,10.0,14.0,29.0,-28.6%,-65.5%
Shrirampur(Belapur) APMC,11.0,22.0,8.0,-50.0%,37.5%
Sillod APMC,304.0,410.0,336.0,-25.9%,-9.5%
