Market,"Arrivals February, 2022 (Metric Tonnes)","Arrivals January, 2022 (Metric Tonnes)","Arrivals February, 2021 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,100.0,338.0,-168.00838861946926,-70.4%,-
Ahmednagar APMC,289.0,681.0,83.0,-57.6%,248.2%
Akhadabalapur APMC,3.0,4.0,26.0,-25.0%,-88.5%
Akluj APMC,368.49916874389515,341.90914120698176,468.0,-,-
Akola APMC,123.0,272.0,307.0,-54.8%,-59.9%
Akot APMC,224.32927453923617,228.43416682854289,6.0,-,-
Amalner APMC,282.0,225.0,1738.0,25.3%,-83.8%
Amarawati APMC,358.0,314.0,107.0,14.0%,234.6%
Ambad (Vadigodri) APMC,47.0,45.0,64.38431748821827,4.4%,-
Ambejaogai APMC,2.0,-0.7607370299230225,7.895531628025574,-,-
Anajngaon APMC,24.0,21.0,18.0,14.3%,33.3%
Ashti(Jalna) APMC,4.0,11.0,-1.5241070298050392,-63.6%,-
Ashti(Karanja) APMC,231.81861969272487,234.3289706923578,30.0,-,-
Aurad Shahajani APMC,1.0,1.0,3.405296271716807,-,-
Ausa APMC,3.2520688333999255,1.0,9.081360831485904,-,-
Balapur APMC,35.0,42.0,25.0,-16.7%,40.0%
Baramati APMC,493.0,551.0,445.0,-10.5%,10.8%
Barshi APMC,16.0,28.0,2.0,-42.9%,700.0%
Barshi(Vairag) APMC,7.0,10.0,7.286080433046903,-30.0%,-
Beed APMC,100.0,88.0,47.0,13.6%,112.8%
Bhandara APMC,9.0,11.0,3.0,-18.2%,200.0%
Bhokar APMC,7.0,7.0,11.0,-,-36.4%
Bhokardan APMC,57.0,38.0,86.0,50.0%,-33.7%
Bhokardan(Pimpalgaon Renu) APMC,29.0,30.0,66.0,-3.3%,-56.1%
Bori APMC,13.0,11.0,24.0,18.2%,-45.8%
Chakur APMC,1.0,-1.2677804872611702,1.0,-,-
Chalisgaon APMC,98.0,114.0,126.0,-14.0%,-22.2%
Chandur Bazar APMC,113.0,152.0,60.0,-25.7%,88.3%
Chattrapati Sambhajinagar APMC,144.0,64.0,231.0,125.0%,-37.7%
Chikali APMC,246.0,225.0,381.0,9.3%,-35.4%
Chopada APMC,51.0,31.0,369.0,64.5%,-86.2%
Deoulgaon Raja APMC,41.0,33.0,44.0,24.2%,-6.8%
Devala APMC,26.0,18.0,41.0,44.4%,-36.6%
Dhamngaon-Railway APMC,1.0,25.0,-26.5719926687351,-96.0%,-
Dharangaon APMC,34.0,7.0,96.0,385.7%,-64.6%
Dhule APMC,298.0,152.0,2184.0,96.0%,-86.4%
Digras APMC,2.0,1.0,1.0,100.0%,100.0%
Dondaicha APMC,593.0,374.0,2399.0,58.6%,-75.3%
Dondaicha(Sindhkheda) APMC,228.38600316404253,231.6271855881093,19.0,-,-
Dound APMC,73.0,58.0,85.0,25.9%,-14.1%
Gangakhed APMC,95.0,74.0,43.0,28.4%,120.9%
Gangapur APMC,98.0,70.0,207.0,40.0%,-52.7%
Gevrai APMC,227.0,260.0,200.0,-12.7%,13.5%
Ghansawangi APMC,26.0,4.0,1.0,550.0%,2500.0%
Hinganghat APMC,113.0,165.0,116.0,-31.5%,-2.6%
Hingoli APMC,53.0,55.0,74.0,-3.6%,-28.4%
Hingoli(Kanegoan Naka) APMC,145.0,131.0,63.0,10.7%,130.2%
Jafrabad APMC,65.0,21.0,19.0,209.5%,242.1%
Jalana APMC,976.0,821.0,1134.0,18.9%,-13.9%
Jalgaon APMC,1.0,3.0,2.0,-66.7%,-50.0%
Jalgaon Jamod(Aasalgaon) APMC,260.52777611443196,256.9257188369821,122.0,-,-
Jalgaon(Masawat) APMC,243.36469347102022,243.41679331573945,67.0,-,-
Jamkhed APMC,73.0,106.0,17.0,-31.1%,329.4%
Jamner APMC,227.44983501985655,230.89033510513255,16.0,-,-
Jawala-Bajar APMC,51.32978305926396,53.0,25.0,-,-
Jintur APMC,222.76899429892597,227.20608269024808,1.0,-,-
Kada APMC,25.0,19.0,41.41139962237612,31.6%,-
Kaij APMC,29.0,30.0,37.753320534002036,-3.3%,-
Kalamb (Dharashiv) APMC,49.0,51.0,48.0,-3.9%,2.1%
Kalvan APMC,224.95338663536026,228.92540048386084,8.0,-,-
Kandhar APMC,22.0,19.684260421948224,10.0,-,120.0%
Kannad APMC,60.0,28.0,246.0,114.3%,-75.6%
Karanja APMC,463.0,317.0,2195.0,46.1%,-78.9%
Karjat(Raigad) APMC,85.0,72.0,55.0,18.1%,54.5%
Karmala APMC,14.0,25.0,9.0,-44.0%,55.6%
Katol APMC,16.0,17.0,66.0,-5.9%,-75.8%
Khamgaon APMC,281.0,462.0,505.0,-39.2%,-44.4%
Kille Dharur APMC,17.0,16.0,16.0,6.2%,6.2%
Kopargaon APMC,63.0,90.0,361.0,-30.0%,-82.5%
