Market,"Prices January, 2022 (Rs./Quintal)","Prices December, 2021 (Rs./Quintal)","Prices January, 2021 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,1855.18,1838.45,1640.3525912249236,0.9%,-
Ahmednagar APMC,1947.39,1927.17,1747.38,1.1%,11.4%
Ahmedpur APMC,1635.5487985966502,1552.2648069378706,1325.0,-,-
Akhadabalapur APMC,1850.0,2000.0,1816.67,-7.5%,1.8%
Akluj APMC,1864.5635826619998,1821.4773058613916,1600.0,-,-
Akola APMC,2093.9,2094.47,1675.71,-0.0%,25.0%
Akot APMC,1810.782583553126,1758.2564215687337,1535.42,-,-
Amalner APMC,2027.76,2007.0,1755.19,1.0%,15.5%
Amarawati APMC,1987.03,1924.36,1723.17,3.3%,15.3%
Ambad (Vadigodri) APMC,1993.33,1979.16,1511.0,0.7%,31.9%
Anajngaon APMC,1854.76,1848.08,1510.0,0.4%,22.8%
Ashti(Jalna) APMC,1789.73,1873.14,1651.6070102246051,-4.5%,-
Aurad Shahajani APMC,1625.0,1627.43,1350.0,-0.1%,20.4%
Ausa APMC,1650.0,1846.85,1618.415318699706,-10.7%,-
Balapur APMC,1747.38,1732.55,1515.38,0.9%,15.3%
Baramati APMC,2081.11,1998.41,1832.56,4.1%,13.6%
Barshi APMC,1708.93,1900.0,1650.0,-10.1%,3.6%
Barshi(Vairag) APMC,1555.1,1558.88,1441.8552107052938,-0.2%,-
Beed APMC,1951.08,1927.83,1579.09,1.2%,23.6%
Bhandara APMC,1721.82,1699.17,1393.12,1.3%,23.6%
Bhokar APMC,1751.43,1880.43,1412.0,-6.9%,24.0%
Bhokardan APMC,1831.58,1812.07,1610.76,1.1%,13.7%
Bhokardan(Pimpalgaon Renu) APMC,1806.67,1783.33,1679.73,1.3%,7.6%
Bori APMC,1556.82,1563.33,1638.52,-0.4%,-5.0%
Buldhana(Dhad) APMC,1831.2523413434035,1782.3191241997888,1560.0,-,-
Chalisgaon APMC,1847.29,1838.63,1508.38,0.5%,22.5%
Chandur Bazar APMC,1746.36,1718.6,1566.72,1.6%,11.5%
Chattrapati Sambhajinagar APMC,2052.97,2029.33,1725.23,1.2%,19.0%
Chikali APMC,1696.64,1659.66,1500.64,2.2%,13.1%
Chopada APMC,1881.23,1841.48,1657.47,2.2%,13.5%
Deoulgaon Raja APMC,1759.12,1785.42,1514.49,-1.5%,16.1%
Devala APMC,1862.22,1880.87,1655.8,-1.0%,12.5%
Dhamngaon-Railway APMC,1781.6,1828.9251655844432,1625.33701864441,-,-
Dharangaon APMC,1880.29,1944.75,1640.57,-3.3%,14.6%
Dhule APMC,2082.37,2010.7,1654.74,3.6%,25.8%
Digras APMC,1900.0,1850.5544228010076,1627.5,-,16.7%
Dondaicha APMC,1947.64,1979.7,1769.94,-1.6%,10.0%
Dondaicha(Sindhkheda) APMC,1748.8986249935035,1685.5103095868903,1461.11,-,-
Dound APMC,1894.14,1843.6,1765.25,2.7%,7.3%
Gangakhed APMC,2100.0,2100.0,1900.0,-,10.5%
Gangapur APMC,1947.36,1984.12,1795.81,-1.9%,8.4%
Gevrai APMC,2017.02,1994.74,1595.69,1.1%,26.4%
Ghansawangi APMC,1750.0,1662.5,1600.0,5.3%,9.4%
Himalyatnagar APMC,1829.5517667249396,1750.0,1586.5810162221028,-,-
Hinganghat APMC,1859.58,1833.97,1599.65,1.4%,16.2%
Hingoli APMC,1788.27,1902.56,1743.56,-6.0%,2.6%
Hingoli(Kanegoan Naka) APMC,1632.44,1750.026905809606,1560.9201274689103,-,-
Indapur APMC,2031.1197892549815,2017.268214169407,1800.0,-,-
Indapur(Bhigwan) APMC,1864.5635826619998,1821.4773058613916,1600.0,-,-
Jafrabad APMC,1880.95,1850.0,1598.04,1.7%,17.7%
Jalana APMC,1971.25,2025.76,1677.61,-2.7%,17.5%
