,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - July, 2022",,
Market,"Arrivals July, 2022 (Metric Tonnes)","Arrivals June, 2022 (Metric Tonnes)","Arrivals July, 2021 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,779.0,471.0,251.0,65.4%,210.4%
Ahmednagar APMC,331.0,272.0,518.0,21.7%,-36.1%
Ahmedpur APMC,-,9.0,5.0,-,-
Akhadabalapur APMC,6.0,7.0,6.0,-14.3%,-
Akkalkot APMC,13.0,5.0,-,160.0%,-
Akola APMC,155.0,330.0,240.0,-53.0%,-35.4%
Akot APMC,6.0,-,-,-,-
Amalner APMC,312.0,335.0,252.0,-6.9%,23.8%
Amarawati APMC,936.0,682.0,69.0,37.2%,1256.5%
Ambad (Vadigodri) APMC,-,-,150.0,-,-
Ambejaogai APMC,1.0,-,-,-,-
Anajngaon APMC,16.0,36.0,43.0,-55.6%,-62.8%
Ashti APMC,-,1.0,-,-,-
Ashti(Karanja) APMC,35.0,131.0,10.0,-73.3%,250.0%
Aurad Shahajani APMC,1.0,2.0,7.0,-50.0%,-85.7%
Ausa APMC,1.0,5.0,9.0,-80.0%,-88.9%
Babhulgaon APMC,-,-,9.0,-,-
Balapur APMC,15.0,31.0,44.0,-51.6%,-65.9%
Baramati APMC,189.0,242.0,690.0,-21.9%,-72.6%
Barshi APMC,15.0,14.0,41.0,7.1%,-63.4%
Barshi(Vairag) APMC,10.0,18.0,17.0,-44.4%,-41.2%
Beed APMC,40.0,69.0,101.0,-42.0%,-60.4%
Bhandara APMC,4.0,10.0,6.0,-60.0%,-33.3%
Bhiwapur APMC,12.0,9.0,1.0,33.3%,1100.0%
Bhokar APMC,7.0,15.0,9.0,-53.3%,-22.2%
Bhokardan APMC,39.0,23.0,49.0,69.6%,-20.4%
Bhokardan(Pimpalgaon Renu) APMC,4.0,40.0,11.0,-90.0%,-63.6%
Bori APMC,15.0,-,35.0,-,-57.1%
Chakur APMC,-,-,1.0,-,-
Chalisgaon APMC,71.0,55.0,59.0,29.1%,20.3%
Chandur Bazar APMC,101.0,206.0,263.0,-51.0%,-61.6%
Chandur Railway APMC,-,1.0,1.0,-,-
Chattrapati Sambhajinagar APMC,114.0,126.0,149.0,-9.5%,-23.5%
Chikali APMC,149.0,183.0,112.0,-18.6%,33.0%
Chopada APMC,30.0,39.0,32.0,-23.1%,-6.2%
Deoulgaon Raja APMC,16.0,41.0,51.0,-61.0%,-68.6%
Devala APMC,7.0,14.0,15.0,-50.0%,-53.3%
Dhamngaon-Railway APMC,55.0,24.0,70.0,129.2%,-21.4%
Dharangaon APMC,22.0,6.0,9.0,266.7%,144.4%
Dhule APMC,211.0,412.0,336.0,-48.8%,-37.2%
Digras APMC,31.0,72.0,-,-56.9%,-
Dondaicha APMC,393.0,676.0,682.0,-41.9%,-42.4%
Dondaicha(Sindhkheda) APMC,-,-,11.0,-,-
Dound APMC,48.0,37.0,104.0,29.7%,-53.9%
Dudhani APMC,1.0,-,31.0,-,-96.8%
Gangakhed APMC,38.0,103.0,34.0,-63.1%,11.8%
Gangapur APMC,35.0,75.0,103.0,-53.3%,-66.0%
Gevrai APMC,71.0,113.0,267.0,-37.2%,-73.4%
Ghansawangi APMC,8.0,19.0,-,-57.9%,-
Himalyatnagar APMC,13.0,-,102.0,-,-87.2%
Hinganghat APMC,402.0,509.0,667.0,-21.0%,-39.7%
Hingoli APMC,53.0,57.0,77.0,-7.0%,-31.2%
Hingoli(Kanegoan Naka) APMC,160.0,183.0,-,-12.6%,-
Indapur APMC,-,1.0,-,-,-
Indapur(Bhigwan) APMC,39.0,-,-,-,-
Indapur(Nimgaon Ketki) APMC,3.0,3.0,-,-,-
Jafrabad APMC,-,20.0,2.0,-,-
Jalana APMC,612.0,664.0,1415.0,-7.8%,-56.8%
Jalgaon APMC,41.0,9.0,9.0,355.6%,355.6%
Jalgaon Jamod(Aasalgaon) APMC,-,-,511.0,-,-
Jalgaon(Masawat) APMC,-,6.0,1.0,-,-
Jamkhed APMC,96.0,228.0,74.0,-57.9%,29.7%
Jawala-Bajar APMC,8.0,43.0,11.0,-81.4%,-27.3%
Jintur APMC,3.0,-,-,-,-
Kada APMC,30.0,44.0,28.0,-31.8%,7.1%
Kaij APMC,20.0,34.0,-,-41.2%,-
Kalamb (Dharashiv) APMC,20.0,36.0,83.0,-44.4%,-75.9%
Kalamnuri APMC,-,-,23.0,-,-
Kalmeshwar APMC,-,49.0,-,-,-
Kalvan APMC,1.0,5.0,1.0,-80.0%,-
Kandhar APMC,23.0,198.0,-,-88.4%,-
Kannad APMC,28.0,39.0,66.0,-28.2%,-57.6%
Karanja APMC,1018.0,1235.0,907.0,-17.6%,12.2%
Karjat(Raigad) APMC,10.0,34.0,53.0,-70.6%,-81.1%
Karmala APMC,6.0,15.0,17.0,-60.0%,-64.7%
Katol APMC,104.0,190.0,181.0,-45.3%,-42.5%
Khamgaon APMC,241.0,243.0,336.0,-0.8%,-28.3%
Kille Dharur APMC,10.0,12.0,32.0,-16.7%,-68.8%
Kopargaon APMC,88.0,132.0,199.0,-33.3%,-55.8%
Kurdwadi(Modnimb) APMC,4.0,6.0,5.0,-33.3%,-20.0%
Lakhandur APMC,1.0,23.0,-,-95.7%,-
Lasalgaon APMC,103.0,172.0,210.0,-40.1%,-51.0%
Lasalgaon(Niphad) APMC,39.0,81.0,89.0,-51.9%,-56.2%
Lasalgaon(Vinchur) APMC,32.0,43.0,150.0,-25.6%,-78.7%
Lasur Station APMC,351.0,343.0,398.0,2.3%,-11.8%
Latur APMC,486.0,465.0,2341.0,4.5%,-79.2%
Latur(Murud) APMC,-,-,68.0,-,-
Loha APMC,4.0,4.0,12.0,-,-66.7%
Lonar APMC,119.0,141.0,159.0,-15.6%,-25.2%
Majalgaon APMC,18.0,24.0,84.0,-25.0%,-78.6%
Malegaon APMC,41.0,118.0,170.0,-65.2%,-75.9%
Malegaon(Vashim) APMC,-,-,7.0,-,-
Malkapur APMC,263.0,502.0,379.0,-47.6%,-30.6%
Mandhal APMC,-,1.0,-,-,-
Mangal Wedha APMC,2.0,6.0,22.0,-66.7%,-90.9%
Mangrulpeer APMC,52.0,99.0,220.0,-47.5%,-76.4%
Manmad APMC,11.0,19.0,29.0,-42.1%,-62.1%
Manora APMC,45.0,60.0,47.0,-25.0%,-4.3%
Mantha APMC,20.0,-,40.0,-,-50.0%
Manwat APMC,4.0,10.0,19.0,-60.0%,-79.0%
Mehekar APMC,47.0,100.0,71.0,-53.0%,-33.8%
Mohol APMC,-,1.0,-,-,-
Morshi APMC,304.0,318.0,214.0,-4.4%,42.1%
Mumbai APMC,12481.0,13544.0,11951.0,-7.8%,4.4%
Murtizapur APMC,92.0,190.0,119.0,-51.6%,-22.7%
Murum APMC,1.0,9.0,6.0,-88.9%,-83.3%
Nagpur APMC,1814.0,2594.0,1509.0,-30.1%,20.2%
Nampur APMC,-,-,2.0,-,-
Nanded APMC,13.0,4.0,-,225.0%,-
Nandgaon APMC,29.0,49.0,53.0,-40.8%,-45.3%
Nandgaon Khandeshwar APMC,11.0,-,15.0,-,-26.7%
Nandura APMC,64.0,62.0,48.0,3.2%,33.3%
Nandurbar APMC,65.0,272.0,165.0,-76.1%,-60.6%
Newasa APMC,-,9.0,4.0,-,-
Nilanga APMC,2.0,3.0,-,-33.3%,-
Nira(Saswad) APMC,10.0,27.0,-,-63.0%,-
Pachora APMC,158.0,57.0,151.0,177.2%,4.6%
Paithan APMC,56.0,69.0,111.0,-18.8%,-49.5%
