,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - July, 2022",,
Market,"Prices July, 2022 (Rs./Quintal)","Prices June, 2022 (Rs./Quintal)","Prices July, 2021 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,2132.11,2012.05,1737.25,6.0%,22.7%
Ahmednagar APMC,2178.39,2158.06,1747.91,0.9%,24.6%
Ahmedpur APMC,-,2350.0,1625.0,-,-
Akhadabalapur APMC,1775.0,1942.86,1766.67,-8.6%,0.5%
Akkalkot APMC,2000.0,2000.0,-,-,-
Akola APMC,2186.11,2378.05,1611.0,-8.1%,35.7%
Akot APMC,2250.0,-,-,-,-
Amalner APMC,2238.46,2089.92,1739.66,7.1%,28.7%
Amarawati APMC,2193.97,2187.25,1806.16,0.3%,21.5%
Ambad (Vadigodri) APMC,-,-,1695.05,-,-
Ambejaogai APMC,2850.0,-,-,-,-
Anajngaon APMC,2056.25,1955.56,1633.72,5.2%,25.9%
Ashti APMC,-,2200.0,-,-,-
Ashti(Karanja) APMC,2068.57,2000.0,1600.0,3.4%,29.3%
Aurad Shahajani APMC,1925.0,2125.0,1637.71,-9.4%,17.5%
Ausa APMC,2426.0,2206.8,1618.67,9.9%,49.9%
Babhulgaon APMC,-,-,1610.0,-,-
Balapur APMC,1936.67,2001.61,1553.41,-3.2%,24.7%
Baramati APMC,2267.07,2162.4,1766.21,4.8%,28.4%
Barshi APMC,2436.67,2400.0,1774.39,1.5%,37.3%
Barshi(Vairag) APMC,2300.0,2127.78,1597.71,8.1%,44.0%
Beed APMC,2278.0,2107.71,1766.97,8.1%,28.9%
Bhandara APMC,2650.0,1838.0,1511.67,44.2%,75.3%
Bhiwapur APMC,2050.0,2022.22,1600.0,1.4%,28.1%
Bhokar APMC,1904.43,1856.2,1564.44,2.6%,21.7%
Bhokardan APMC,2026.92,2042.61,1774.49,-0.8%,14.2%
Bhokardan(Pimpalgaon Renu) APMC,2000.0,2037.0,1850.0,-1.8%,8.1%
Bori APMC,1812.67,-,1727.14,-,5.0%
Chakur APMC,-,-,1400.0,-,-
Chalisgaon APMC,2059.93,1928.58,1612.19,6.8%,27.8%
Chandur Bazar APMC,2051.54,2013.84,1634.88,1.9%,25.5%
Chandur Railway APMC,-,1925.0,1530.0,-,-
Chattrapati Sambhajinagar APMC,2225.16,2089.18,1769.57,6.5%,25.8%
Chikali APMC,1935.74,1863.87,1604.69,3.9%,20.6%
Chopada APMC,2228.97,2011.97,1675.09,10.8%,33.1%
Deoulgaon Raja APMC,2093.75,2029.27,1597.92,3.2%,31.0%
Devala APMC,2125.71,2003.93,1722.67,6.1%,23.4%
Dhamngaon-Railway APMC,2016.73,1954.17,1612.5,3.2%,25.1%
Dharangaon APMC,2251.0,1983.5,1713.56,13.5%,31.4%
Dhule APMC,2268.37,2026.28,1736.26,11.9%,30.6%
Digras APMC,2182.9,2211.6,-,-1.3%,-
Dondaicha APMC,2173.81,2184.46,1777.17,-0.5%,22.3%
Dondaicha(Sindhkheda) APMC,-,-,1629.55,-,-
Dound APMC,2170.0,2141.22,1688.41,1.3%,28.5%
