Market,"Arrivals July, 2022 (Metric Tonnes)","Arrivals June, 2022 (Metric Tonnes)","Arrivals July, 2021 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,779.0,471.0,251.0,65.4%,210.4%
Ahmednagar APMC,331.0,272.0,518.0,21.7%,-36.1%
Ahmedpur APMC,4.124613385588274,9.0,5.0,-,-
Akhadabalapur APMC,6.0,7.0,6.0,-14.3%,-
Akkalkot APMC,13.0,5.0,2.6244403524994584,160.0%,-
Akola APMC,155.0,330.0,240.0,-53.0%,-35.4%
Akot APMC,6.0,10.606651632929873,9.434193675423169,-,-
Amalner APMC,312.0,335.0,252.0,-6.9%,23.8%
Amarawati APMC,936.0,682.0,69.0,37.2%,1256.5%
Ambad (Vadigodri) APMC,182.8010032074392,208.40292120641553,150.0,-,-
Ambejaogai APMC,1.0,4.985507086388112,4.174514033897436,-,-
Anajngaon APMC,16.0,36.0,43.0,-55.6%,-62.8%
Ashti APMC,-3.0588293982231085,1.0,0.5123050438012675,-,-
Ashti(Karanja) APMC,35.0,131.0,10.0,-73.3%,250.0%
Aurad Shahajani APMC,1.0,2.0,7.0,-50.0%,-85.7%
Ausa APMC,1.0,5.0,9.0,-80.0%,-88.9%
Babhulgaon APMC,77.19482310765865,88.2790720298789,9.0,-,-
Balapur APMC,15.0,31.0,44.0,-51.6%,-65.9%
Baramati APMC,189.0,242.0,690.0,-21.9%,-72.6%
Barshi APMC,15.0,14.0,41.0,7.1%,-63.4%
Barshi(Vairag) APMC,10.0,18.0,17.0,-44.4%,-41.2%
Beed APMC,40.0,69.0,101.0,-42.0%,-60.4%
Bhandara APMC,4.0,10.0,6.0,-60.0%,-33.3%
Bhiwapur APMC,12.0,9.0,1.0,33.3%,1100.0%
Bhokar APMC,7.0,15.0,9.0,-53.3%,-22.2%
Bhokardan APMC,39.0,23.0,49.0,69.6%,-20.4%
Bhokardan(Pimpalgaon Renu) APMC,4.0,40.0,11.0,-90.0%,-63.6%
Bori APMC,15.0,24.800673616259914,35.0,-,-57.1%
Chakur APMC,71.20298310199735,81.46353448794775,1.0,-,-
Chalisgaon APMC,71.0,55.0,59.0,29.1%,20.3%
Chandur Bazar APMC,101.0,206.0,263.0,-51.0%,-61.6%
Chandur Railway APMC,-3.1126643872935187,1.0,1.0,-,-
Chattrapati Sambhajinagar APMC,114.0,126.0,149.0,-9.5%,-23.5%
Chikali APMC,149.0,183.0,112.0,-18.6%,33.0%
Chopada APMC,30.0,39.0,32.0,-23.1%,-6.2%
Deoulgaon Raja APMC,16.0,41.0,51.0,-61.0%,-68.6%
Devala APMC,7.0,14.0,15.0,-50.0%,-53.3%
Dhamngaon-Railway APMC,55.0,24.0,70.0,129.2%,-21.4%
Dharangaon APMC,22.0,6.0,9.0,266.7%,144.4%
Dhule APMC,211.0,412.0,336.0,-48.8%,-37.2%
Digras APMC,31.0,72.0,70.74199916730538,-56.9%,-
Dondaicha APMC,393.0,676.0,682.0,-41.9%,-42.4%
Dondaicha(Sindhkheda) APMC,78.69278310907399,89.98295641536171,11.0,-,-
Dound APMC,48.0,37.0,104.0,29.7%,-53.9%
Dudhani APMC,1.0,11.586811561131023,31.0,-,-96.8%
Gangakhed APMC,38.0,103.0,34.0,-63.1%,11.8%
Gangapur APMC,35.0,75.0,103.0,-53.3%,-66.0%
Gevrai APMC,71.0,113.0,267.0,-37.2%,-73.4%
Ghansawangi APMC,8.0,19.0,18.000796707004923,-57.9%,-
Himalyatnagar APMC,13.0,38.82478771225327,102.0,-,-87.2%
Hinganghat APMC,402.0,509.0,667.0,-21.0%,-39.7%
Hingoli APMC,53.0,57.0,77.0,-7.0%,-31.2%
Hingoli(Kanegoan Naka) APMC,160.0,183.0,170.65625536162904,-12.6%,-
Indapur APMC,-3.0588293982231085,1.0,0.5123050438012675,-,-
Indapur(Bhigwan) APMC,39.0,47.7062056401055,44.148079309493006,-,-
Indapur(Nimgaon Ketki) APMC,3.0,3.0,1.8254217946384284,-,-
Jafrabad APMC,14.397755130112436,20.0,2.0,-,-
Jalana APMC,612.0,664.0,1415.0,-7.8%,-56.8%
Jalgaon APMC,41.0,9.0,9.0,355.6%,355.6%
Jalgaon Jamod(Aasalgaon) APMC,453.18278346290555,515.9540527860588,511.0,-,-
Jalgaon(Masawat) APMC,1.5053062227610434,6.0,1.0,-,-
Jamkhed APMC,96.0,228.0,74.0,-57.9%,29.7%
Jawala-Bajar APMC,8.0,43.0,11.0,-81.4%,-27.3%
Jintur APMC,3.0,7.233964905004816,6.278385890507729,-,-
Kada APMC,30.0,44.0,28.0,-31.8%,7.1%
Kaij APMC,20.0,34.0,32.21134610852438,-41.2%,-
Kalamb (Dharashiv) APMC,20.0,36.0,83.0,-44.4%,-75.9%
Kalamnuri APMC,87.68054311756595,100.20626272825844,23.0,-,-
Kalmeshwar APMC,39.57250290893517,49.0,45.434115366744564,-,-
Kalvan APMC,1.0,5.0,1.0,-80.0%,-
Kandhar APMC,23.0,198.0,204.30281464277863,-88.4%,-
Kannad APMC,28.0,39.0,66.0,-28.2%,-57.6%
