,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - May, 2022",,
Market,"Arrivals May, 2022 (Metric Tonnes)","Arrivals April, 2022 (Metric Tonnes)","Arrivals May, 2021 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Aarni APMC,-,-,21.0,-,-
Achalpur APMC,-,-,396.0,-,-
Ahmednagar APMC,219.0,433.0,-,-49.4%,-
Akhadabalapur APMC,8.0,19.0,11.0,-57.9%,-27.3%
Akkalkuwa APMC,-,-,29.0,-,-
Akluj APMC,-,-,12.0,-,-
Akola APMC,638.0,936.0,269.0,-31.8%,137.2%
Akot APMC,-,-,64.0,-,-
Amalner APMC,1735.0,3125.0,1967.0,-44.5%,-11.8%
Amarawati APMC,1612.0,2335.0,1391.0,-31.0%,15.9%
Ambad (Vadigodri) APMC,-,19.0,78.0,-,-
Ambejaogai APMC,-,1.0,-,-,-
Anajngaon APMC,142.0,99.0,109.0,43.4%,30.3%
Ashti APMC,2.0,75.0,2.0,-97.3%,-
Ashti(Jalna) APMC,3.0,4.0,-,-25.0%,-
Ashti(Karanja) APMC,318.0,620.0,198.0,-48.7%,60.6%
Aurad Shahajani APMC,4.0,7.0,1.0,-42.9%,300.0%
Ausa APMC,23.0,30.0,4.0,-23.3%,475.0%
Babhulgaon APMC,35.0,54.0,119.0,-35.2%,-70.6%
Balapur APMC,62.0,54.0,31.0,14.8%,100.0%
Baramati APMC,474.0,759.0,337.0,-37.5%,40.6%
Barshi APMC,20.0,123.0,-,-83.7%,-
Barshi(Vairag) APMC,26.0,36.0,1.0,-27.8%,2500.0%
Beed APMC,94.0,128.0,10.0,-26.6%,840.0%
Bhandara APMC,28.0,85.0,8.0,-67.1%,250.0%
Bhiwapur APMC,22.0,24.0,2.0,-8.3%,1000.0%
Bhokar APMC,41.0,53.0,86.0,-22.6%,-52.3%
Bhokardan APMC,54.0,59.0,118.0,-8.5%,-54.2%
Bhokardan(Pimpalgaon Renu) APMC,52.0,44.0,17.0,18.2%,205.9%
Bhusaval APMC,1.0,5.0,-,-80.0%,-
Bori APMC,-,1.0,-,-,-
Buldhana(Dhad) APMC,-,-,3.0,-,-
Chakur APMC,1.0,3.0,1.0,-66.7%,-
