Market,"Prices May, 2022 (Rs./Quintal)","Prices April, 2022 (Rs./Quintal)","Prices May, 2021 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Aarni APMC,2141.501147588533,2158.902029407599,1750.0,-,-
Achalpur APMC,2156.189363973518,2172.8768610078127,1773.06,-,-
Ahmednagar APMC,2205.01,2234.24,1842.5602034720857,-1.3%,-
Akhadabalapur APMC,2025.0,1963.16,1804.55,3.1%,12.2%
Akkalkuwa APMC,2253.9558137970807,2265.8949400328247,1926.55,-,-
Akluj APMC,2109.6533236835353,2128.601006857266,1700.0,-,-
Akola APMC,2468.34,2486.75,1801.28,-0.7%,37.0%
Akot APMC,2113.63430167166,2132.388634676058,1706.25,-,-
Amalner APMC,2232.84,2262.62,1775.41,-1.3%,25.8%
Amarawati APMC,2269.45,2216.07,1804.6,2.4%,25.8%
Ambad (Vadigodri) APMC,2147.793963016402,2229.79,1700.35,-,-
Ambejaogai APMC,2358.8808332192193,2450.0,2014.9887497528086,-,-
Anajngaon APMC,2071.83,2019.19,1638.99,2.6%,26.4%
Ashti APMC,2050.0,2150.0,1500.0,-4.7%,36.7%
Ashti(Jalna) APMC,2485.0,2500.0,2141.4919413428333,-0.6%,-
Ashti(Karanja) APMC,2044.69,2101.51,1644.07,-2.7%,24.4%
Aurad Shahajani APMC,2043.0,2117.14,1767.0,-3.5%,15.6%
Ausa APMC,2306.43,2264.1,1638.0,1.9%,40.8%
Babhulgaon APMC,2131.14,2114.81,1646.6,0.8%,29.4%
Balapur APMC,2248.39,2218.52,1945.16,1.4%,15.6%
Baramati APMC,2246.59,2209.47,1859.49,1.7%,20.8%
Barshi APMC,2347.25,2778.07,2042.2086053991977,-15.5%,-
Barshi(Vairag) APMC,1895.96,2114.08,2500.0,-10.3%,-24.2%
Beed APMC,2219.62,2281.02,1840.0,-2.7%,20.6%
Bhandara APMC,1922.14,1870.88,1593.75,2.7%,20.6%
Bhiwapur APMC,2050.0,1992.5,1625.0,2.9%,26.1%
Bhokar APMC,1952.2,1978.47,1606.01,-1.3%,21.6%
Bhokardan APMC,2073.15,2100.0,1650.0,-1.3%,25.6%
Bhokardan(Pimpalgaon Renu) APMC,2086.54,2107.95,1650.0,-1.0%,26.5%
Bhusaval APMC,2000.0,2190.0,1641.255025404989,-8.7%,-
Bori APMC,1890.869498496127,1775.0,1488.3412044821835,-,-
Buldhana(Dhad) APMC,2109.6533236835353,2128.601006857266,1700.0,-,-
Chakur APMC,1992.0,2071.0,1501.0,-3.8%,32.7%
Chalisgaon APMC,1917.14,2054.75,1646.25,-6.7%,16.4%
Chandur Bazar APMC,2109.39,2082.47,1750.92,1.3%,20.5%
Chandur Railway APMC,2025.0,1997.5,1616.88,1.4%,25.2%
Chattrapati Sambhajinagar APMC,2184.36,2187.65,1845.28,-0.1%,18.4%
Chikali APMC,1973.67,2001.34,1715.57,-1.4%,15.0%
Chopada APMC,2031.19,2126.68,1779.19,-4.5%,14.2%
Daryapur APMC,2069.843543802288,2090.72472866935,1637.5,-,-
Deoulgaon Raja APMC,2193.9,2149.49,1715.31,2.1%,27.9%
Devala APMC,2088.25,2080.34,1704.44,0.4%,22.5%
Dhamngaon-Railway APMC,2072.1047392995424,2092.8761012704235,1641.05,-,-
Dharangaon APMC,2062.62,2129.15,1681.68,-3.1%,22.6%
Dhule APMC,2132.09,2087.58,1760.45,2.1%,21.1%
Digras APMC,2134.43,2251.0,1935.42,-5.2%,10.3%
Dondaicha APMC,2276.22,2213.87,1738.43,2.8%,30.9%
Dondaicha(Sindhkheda) APMC,2104.2391936196855,2123.4498330237093,1691.5,-,-
Dound APMC,2184.21,2201.77,1776.1,-0.8%,23.0%
Gangakhed APMC,2100.0,2125.98,2091.67,-1.2%,0.4%
Gangapur APMC,2220.54,2221.79,1741.65,-0.1%,27.5%
Gevrai APMC,2420.58,2277.52,1666.3,6.3%,45.3%
Ghansawangi APMC,2243.7074431206474,2322.06,1850.0,-,-
Himalyatnagar APMC,1694.74,1787.796435068198,1556.43,-,8.9%
Hinganghat APMC,1996.04,2084.73,1726.98,-4.2%,15.6%
Hingoli APMC,2341.045779873179,2308.72,2100.0,-,-
Hingoli(Kanegoan Naka) APMC,1882.13,1889.15,1650.0,-0.4%,14.1%
Indapur APMC,2176.5292485005402,2256.73,1745.83,-,-
Indapur(Bhigwan) APMC,2170.0,2151.0,1775.0,0.9%,22.2%
Indapur(Nimgaon Ketki) APMC,2151.0,2000.0,1763.5089446661138,7.5%,-
Jafrabad APMC,2016.36,2037.5,1700.0,-1.0%,18.6%
Jalana APMC,2483.67,2427.13,1746.99,2.3%,42.2%
Jalgaon APMC,1998.44,2031.25,1881.15,-1.6%,6.2%
Jalgaon Jamod(Aasalgaon) APMC,2045.9576758735393,2067.9989617566,1600.0,-,-
Jalgaon(Masawat) APMC,2044.67,2175.03,1682.2412394314786,-6.0%,-
Jamkhed APMC,2004.74,2022.52,1833.33,-0.9%,9.3%
Jawala-Bajar APMC,1861.76,1806.1,1750.0,3.1%,6.4%
Jintur APMC,1838.8682390824501,1700.0,1429.8248105632254,-,-
Kada APMC,2248.33,2034.48,1900.0,10.5%,18.3%
Kaij APMC,2078.61,2119.77,1708.252629684477,-1.9%,-
Kalamb (Dharashiv) APMC,2472.01,2440.31,1841.0,1.3%,34.3%
Kalamb APMC,1997.3472772715718,1928.57,1608.1593726706426,-,-
Kalmeshwar APMC,1836.93,1839.03,1444.2212930691394,-0.1%,-
