,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - November, 2022",,
Market,"Arrivals November, 2022 (Metric Tonnes)","Arrivals October, 2022 (Metric Tonnes)","Arrivals November, 2021 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,189.0,240.0,115.0,-21.2%,64.3%
Ahmednagar APMC,103.0,95.0,664.0,8.4%,-84.5%
Akhadabalapur APMC,-,1.0,4.0,-,-
Akola APMC,167.0,134.0,277.0,24.6%,-39.7%
Amalner APMC,99.0,151.0,329.0,-34.4%,-69.9%
Amarawati APMC,86.0,118.0,248.0,-27.1%,-65.3%
Ambad (Vadigodri) APMC,60.0,42.0,59.0,42.9%,1.7%
Ambejaogai APMC,1.0,1.0,-,-,-
Anajngaon APMC,14.0,17.0,30.0,-17.6%,-53.3%
Ashti(Jalna) APMC,2.0,1.0,18.0,100.0%,-88.9%
Ashti(Karanja) APMC,4.0,5.0,-,-20.0%,-
Aurad Shahajani APMC,-,2.0,6.0,-,-
Ausa APMC,6.0,1.0,3.0,500.0%,100.0%
Balapur APMC,9.0,21.0,60.0,-57.1%,-85.0%
Baramati APMC,149.0,177.0,614.0,-15.8%,-75.7%
Barshi APMC,15.0,14.0,26.0,7.1%,-42.3%
Barshi(Vairag) APMC,6.0,3.0,10.0,100.0%,-40.0%
Beed APMC,54.0,39.0,93.0,38.5%,-41.9%
Bhandara APMC,-,2.0,8.0,-,-
Bhivandi APMC,-,-,4.0,-,-
Bhokar APMC,3.0,5.0,11.0,-40.0%,-72.7%
Bhokardan APMC,46.0,64.0,26.0,-28.1%,76.9%
Bhokardan(Pimpalgaon Renu) APMC,-,-,36.0,-,-
Bori APMC,-,3.0,29.0,-,-
Chakur APMC,-,-,1.0,-,-
Chalisgaon APMC,43.0,23.0,109.0,87.0%,-60.5%
Chandur Bazar APMC,28.0,44.0,155.0,-36.4%,-81.9%
Chattrapati Sambhajinagar APMC,82.0,106.0,257.0,-22.6%,-68.1%
Chikali APMC,65.0,80.0,105.0,-18.8%,-38.1%
Chopada APMC,2.0,10.0,14.0,-80.0%,-85.7%
Deoulgaon Raja APMC,27.0,26.0,61.0,3.9%,-55.7%
Devala APMC,5.0,1.0,19.0,400.0%,-73.7%
Dhamngaon-Railway APMC,9.0,-,-,-,-
Dharangaon APMC,1.0,3.0,2.0,-66.7%,-50.0%
Dhule APMC,208.0,98.0,337.0,112.2%,-38.3%
Digras APMC,8.0,5.0,-,60.0%,-
Dondaicha APMC,216.0,230.0,681.0,-6.1%,-68.3%
Dondaicha(Sindhkheda) APMC,-,2.0,-,-,-
Dound APMC,27.0,25.0,113.0,8.0%,-76.1%
Gangakhed APMC,58.0,37.0,125.0,56.8%,-53.6%
Gangapur APMC,58.0,40.0,83.0,45.0%,-30.1%
Gevrai APMC,77.0,86.0,302.0,-10.5%,-74.5%
Ghansawangi APMC,-,-,59.0,-,-
Himalyatnagar APMC,42.0,97.0,8.0,-56.7%,425.0%
Hinganghat APMC,116.0,151.0,461.0,-23.2%,-74.8%
Hingoli APMC,39.0,38.0,55.0,2.6%,-29.1%
Hingoli(Kanegoan Naka) APMC,-,50.0,-,-,-
Indapur APMC,8.0,11.0,-,-27.3%,-
Indapur(Bhigwan) APMC,26.0,57.0,-,-54.4%,-
Indapur(Nimgaon Ketki) APMC,1.0,1.0,-,-,-
Jafrabad APMC,-,6.0,13.0,-,-
Jalana APMC,687.0,700.0,1657.0,-1.9%,-58.5%
Jalgaon APMC,1.0,6.0,4.0,-83.3%,-75.0%
Jamkhed APMC,67.0,116.0,93.0,-42.2%,-28.0%
Jawala-Bajar APMC,-,-,34.0,-,-
Kada APMC,-,7.0,95.0,-,-
Kaij APMC,24.0,35.0,67.0,-31.4%,-64.2%
Kalamb (Dharashiv) APMC,33.0,21.0,73.0,57.1%,-54.8%
Kalvan APMC,-,1.0,2.0,-,-
Kandhar APMC,12.0,5.0,-,140.0%,-
Kannad APMC,37.0,35.0,86.0,5.7%,-57.0%
Karanja APMC,262.0,401.0,529.0,-34.7%,-50.5%
Karjat(Raigad) APMC,30.0,35.0,123.0,-14.3%,-75.6%
Karmala APMC,4.0,3.0,20.0,33.3%,-80.0%
Katol APMC,39.0,23.0,82.0,69.6%,-52.4%
Khamgaon APMC,157.0,244.0,631.0,-35.7%,-75.1%
Kille Dharur APMC,3.0,7.0,26.0,-57.1%,-88.5%
Kopargaon APMC,90.0,46.0,163.0,95.7%,-44.8%
Kurdwadi APMC,-,1.0,1.0,-,-
Kurdwadi(Modnimb) APMC,4.0,3.0,12.0,33.3%,-66.7%
Lakhandur APMC,-,-,7.0,-,-
Lasalgaon APMC,135.0,94.0,260.0,43.6%,-48.1%
Lasalgaon(Niphad) APMC,76.0,42.0,97.0,81.0%,-21.6%
Lasalgaon(Vinchur) APMC,42.0,15.0,42.0,180.0%,-
Lasur Station APMC,380.0,395.0,641.0,-3.8%,-40.7%
Latur APMC,-,-,1241.0,-,-
Latur(Murud) APMC,-,-,119.0,-,-
Loha APMC,4.0,7.0,13.0,-42.9%,-69.2%
Lonar APMC,147.0,64.0,295.0,129.7%,-50.2%
Majalgaon APMC,8.0,8.0,90.0,-,-91.1%
Malegaon APMC,94.0,67.0,150.0,40.3%,-37.3%
Malkapur APMC,249.0,281.0,344.0,-11.4%,-27.6%
Mangal Wedha APMC,5.0,-,16.0,-,-68.8%
Mangrulpeer APMC,25.0,15.0,35.0,66.7%,-28.6%
Manmad APMC,17.0,17.0,51.0,-,-66.7%
Manora APMC,1.0,4.0,-,-75.0%,-
Mantha APMC,11.0,13.0,48.0,-15.4%,-77.1%
Manwat APMC,1.0,1.0,2.0,-,-50.0%
Mehekar APMC,43.0,31.0,102.0,38.7%,-57.8%
Morshi APMC,67.0,96.0,110.0,-30.2%,-39.1%
Mumbai APMC,7460.0,14956.0,12008.0,-50.1%,-37.9%
Murtizapur APMC,30.0,35.0,87.0,-14.3%,-65.5%
Murum APMC,2.0,2.0,1.0,-,100.0%
Nagpur APMC,777.0,630.0,1402.0,23.3%,-44.6%
Nampur APMC,-,-,11.0,-,-
Nanded APMC,5.0,12.0,28.0,-58.3%,-82.1%
Nandgaon APMC,34.0,31.0,65.0,9.7%,-47.7%
Nandgaon Khandeshwar APMC,1.0,5.0,-,-80.0%,-
Nandura APMC,49.0,44.0,3.0,11.4%,1533.3%
Nandurbar APMC,116.0,62.0,141.0,87.1%,-17.7%
Navapur APMC,-,-,114.0,-,-
Nira(Saswad) APMC,8.0,3.0,35.0,166.7%,-77.1%
Pachora APMC,70.0,-,87.0,-,-19.5%
Paithan APMC,57.0,60.0,89.0,-5.0%,-36.0%
Palghar APMC,27.0,56.0,111.0,-51.8%,-75.7%
Pandharpur APMC,3.0,3.0,1.0,-,200.0%
Parali Vaijyanath APMC,-,-,1.0,-,-
Paranda APMC,1.0,-,3.0,-,-66.7%
Parbhani APMC,18.0,166.0,76.0,-89.2%,-76.3%
Parola APMC,34.0,2.0,-,1600.0%,-
Partur APMC,15.0,19.0,53.0,-21.1%,-71.7%
Pathardi APMC,18.0,14.0,14.0,28.6%,28.6%
Pathari APMC,2.0,3.0,16.0,-33.3%,-87.5%
Patur APMC,8.0,21.0,51.0,-61.9%,-84.3%
Phaltan APMC,59.0,-,59.0,-,-
Pulgaon APMC,-,-,5.0,-,-
Pune APMC,913.0,1180.0,1421.0,-22.6%,-35.8%
Rahata APMC,20.0,12.0,38.0,66.7%,-47.4%
Rahuri APMC,21.0,4.0,23.0,425.0%,-8.7%
Rahuri(Vambori) APMC,24.0,18.0,45.0,33.3%,-46.7%
Ramtek APMC,62.0,89.0,57.0,-30.3%,8.8%
Raver APMC,24.0,28.0,64.0,-14.3%,-62.5%
Sangamner APMC,4.0,3.0,19.0,33.3%,-79.0%
Sangli APMC,626.0,95.0,439.0,559.0%,42.6%
Sangrampur(Varvatbakal) APMC,7.0,1.0,49.0,600.0%,-85.7%
Satana APMC,21.0,15.0,85.0,40.0%,-75.3%
Savner APMC,10.0,33.0,43.0,-69.7%,-76.7%
Selu APMC,-,-,4.0,-,-
Shahada APMC,49.0,29.0,48.0,69.0%,2.1%
Shegaon APMC,5.0,10.0,36.0,-50.0%,-86.1%
Shevgaon APMC,52.0,34.0,142.0,52.9%,-63.4%
Shevgaon(Bodhegaon) APMC,5.0,8.0,37.0,-37.5%,-86.5%
Shirpur APMC,48.0,54.0,105.0,-11.1%,-54.3%
Shirur APMC,2.0,1.0,19.0,100.0%,-89.5%
Shrigonda APMC,23.0,14.0,43.0,64.3%,-46.5%
Shrigonda(Gogargaon) APMC,57.0,16.0,33.0,256.2%,72.7%
Shrirampur APMC,14.0,14.0,43.0,-,-67.4%
Shrirampur(Belapur) APMC,22.0,21.0,11.0,4.8%,100.0%
Sillod APMC,410.0,540.0,460.0,-24.1%,-10.9%
Sillod(Bharadi) APMC,15.0,22.0,37.0,-31.8%,-59.5%
Sindi(Selu) APMC,28.0,39.0,78.0,-28.2%,-64.1%
Sinner APMC,19.0,-,58.0,-,-67.2%
Solapur APMC,3632.0,2616.0,1978.0,38.8%,83.6%
Sonpeth APMC,-,1.0,-,-,-
Tadkalas APMC,-,3.0,8.0,-,-
Taloda APMC,-,-,1.0,-,-
Tasgaon APMC,47.0,33.0,58.0,42.4%,-19.0%
Telhara APMC,39.0,20.0,54.0,95.0%,-27.8%
Tuljapur APMC,3.0,2.0,3.0,50.0%,-
Tumsar APMC,11.0,18.0,153.0,-38.9%,-92.8%
Ulhasnagar APMC,1014.0,829.0,562.0,22.3%,80.4%
Umared APMC,96.0,111.0,227.0,-13.5%,-57.7%
Umarga APMC,1.0,-,9.0,-,-88.9%
Umarked(Danki) APMC,13.0,26.0,34.0,-50.0%,-61.8%
Umarkhed APMC,-,-,48.0,-,-
Vaduj APMC,20.0,20.0,18.0,-,11.1%
Vadvani APMC,1.0,-,3.0,-,-66.7%
Vaijpur APMC,78.0,-,123.0,-,-36.6%
Vani APMC,-,1.0,-,-,-
Varora APMC,-,1.0,-,-,-
Varud(Rajura Bazar) APMC,-,-,1.0,-,-
Vasai APMC,352.0,446.0,193.0,-21.1%,82.4%
Wardha APMC,8.0,24.0,64.0,-66.7%,-87.5%
Washim APMC,320.0,302.0,340.0,6.0%,-5.9%
Washim(Ansing) APMC,9.0,4.0,33.0,125.0%,-72.7%
Yawal APMC,6.0,23.0,91.0,-73.9%,-93.4%
Yeola APMC,23.0,15.0,36.0,53.3%,-36.1%
Yeotmal APMC,27.0,62.0,197.0,-56.5%,-86.3%
Total,21889.0,28163.0,35123.0,-,-

Note:
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100

