,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - October, 2022",,
Market,"Arrivals October, 2022 (Metric Tonnes)","Arrivals September, 2022 (Metric Tonnes)","Arrivals October, 2021 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,240.0,571.0,87.0,-58.0%,175.9%
Ahmednagar APMC,95.0,25.0,454.0,280.0%,-79.1%
Akhadabalapur APMC,1.0,15.0,44.0,-93.3%,-97.7%
Akola APMC,134.0,191.0,351.0,-29.8%,-61.8%
Amalner APMC,151.0,140.0,431.0,7.9%,-65.0%
Amarawati APMC,118.0,110.0,271.0,7.3%,-56.5%
Ambad (Vadigodri) APMC,42.0,-,84.0,-,-50.0%
Ambejaogai APMC,1.0,1.0,-,-,-
Anajngaon APMC,17.0,11.0,12.0,54.5%,41.7%
Ashti(Jalna) APMC,1.0,-,-,-,-
Ashti(Karanja) APMC,5.0,-,-,-,-
Aurad Shahajani APMC,2.0,1.0,9.0,100.0%,-77.8%
Ausa APMC,1.0,2.0,11.0,-50.0%,-90.9%
Balapur APMC,21.0,16.0,93.0,31.2%,-77.4%
Baramati APMC,177.0,188.0,796.0,-5.8%,-77.8%
Barshi APMC,14.0,9.0,12.0,55.6%,16.7%
Barshi(Vairag) APMC,3.0,9.0,12.0,-66.7%,-75.0%
Beed APMC,39.0,32.0,78.0,21.9%,-50.0%
Bhandara APMC,2.0,2.0,14.0,-,-85.7%
Bhivandi APMC,-,-,6.0,-,-
Bhokar APMC,5.0,6.0,23.0,-16.7%,-78.3%
Bhokardan APMC,64.0,32.0,72.0,100.0%,-11.1%
Bhokardan(Pimpalgaon Renu) APMC,-,4.0,25.0,-,-
Bhusaval APMC,-,-,1.0,-,-
Bori APMC,3.0,4.0,54.0,-25.0%,-94.4%
Chakur APMC,-,-,1.0,-,-
Chalisgaon APMC,23.0,39.0,118.0,-41.0%,-80.5%
Chandur Bazar APMC,44.0,78.0,143.0,-43.6%,-69.2%
Chattrapati Sambhajinagar APMC,106.0,69.0,509.0,53.6%,-79.2%
Chikali APMC,80.0,62.0,193.0,29.0%,-58.5%
Chopada APMC,10.0,16.0,25.0,-37.5%,-60.0%
Deoulgaon Raja APMC,26.0,17.0,81.0,52.9%,-67.9%
Devala APMC,1.0,-,29.0,-,-96.5%
Dharangaon APMC,3.0,7.0,20.0,-57.1%,-85.0%
Dhule APMC,98.0,154.0,308.0,-36.4%,-68.2%
Digras APMC,5.0,4.0,14.0,25.0%,-64.3%
Dondaicha APMC,230.0,296.0,707.0,-22.3%,-67.5%
Dondaicha(Sindhkheda) APMC,2.0,1.0,-,100.0%,-
Dound APMC,25.0,14.0,118.0,78.6%,-78.8%
Gangakhed APMC,37.0,30.0,104.0,23.3%,-64.4%
Gangapur APMC,40.0,25.0,85.0,60.0%,-52.9%
Gevrai APMC,86.0,48.0,544.0,79.2%,-84.2%
Ghansawangi APMC,-,13.0,10.0,-,-
Himalyatnagar APMC,97.0,-,57.0,-,70.2%
Hinganghat APMC,151.0,162.0,576.0,-6.8%,-73.8%
Hingoli APMC,38.0,43.0,65.0,-11.6%,-41.5%
Hingoli(Kanegoan Naka) APMC,50.0,70.0,43.0,-28.6%,16.3%
Indapur APMC,11.0,8.0,-,37.5%,-
Indapur(Bhigwan) APMC,57.0,19.0,-,200.0%,-
Indapur(Nimgaon Ketki) APMC,1.0,2.0,-,-50.0%,-
Jafrabad APMC,6.0,44.0,54.0,-86.4%,-88.9%
Jalana APMC,700.0,517.0,2653.0,35.4%,-73.6%
Jalgaon APMC,6.0,3.0,4.0,100.0%,50.0%
Jalgaon Jamod(Aasalgaon) APMC,-,-,25.0,-,-
Jalgaon(Masawat) APMC,-,1.0,-,-,-
Jamkhed APMC,116.0,54.0,105.0,114.8%,10.5%
Jawala-Bajar APMC,-,-,2.0,-,-
Kada APMC,7.0,-,9.0,-,-22.2%
Kaij APMC,35.0,25.0,105.0,40.0%,-66.7%
Kalamb (Dharashiv) APMC,21.0,17.0,97.0,23.5%,-78.3%
Kalvan APMC,1.0,-,-,-,-
Kandhar APMC,5.0,-,-,-,-
Kannad APMC,35.0,37.0,117.0,-5.4%,-70.1%
Karanja APMC,401.0,313.0,1101.0,28.1%,-63.6%
Karjat(Raigad) APMC,35.0,17.0,160.0,105.9%,-78.1%
Karmala APMC,3.0,8.0,21.0,-62.5%,-85.7%
Katol APMC,23.0,41.0,49.0,-43.9%,-53.1%
Khamgaon APMC,244.0,346.0,885.0,-29.5%,-72.4%
Kille Dharur APMC,7.0,5.0,39.0,40.0%,-82.0%
Kopargaon APMC,46.0,60.0,201.0,-23.3%,-77.1%
Kurdwadi APMC,1.0,-,1.0,-,-
Kurdwadi(Modnimb) APMC,3.0,2.0,12.0,50.0%,-75.0%
