,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - September, 2022",,
Market,"Arrivals September, 2022 (Metric Tonnes)","Arrivals August, 2022 (Metric Tonnes)","Arrivals September, 2021 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,571.0,639.0,67.0,-10.6%,752.2%
Ahmednagar APMC,25.0,120.0,431.0,-79.2%,-94.2%
Ahmedpur APMC,-,-,3.0,-,-
Akhadabalapur APMC,15.0,-,15.0,-,-
Akola APMC,191.0,237.0,424.0,-19.4%,-55.0%
Akot APMC,-,-,66.0,-,-
Amalner APMC,140.0,340.0,469.0,-58.8%,-70.2%
Amarawati APMC,110.0,204.0,212.0,-46.1%,-48.1%
Ambad (Vadigodri) APMC,-,-,33.0,-,-
Ambejaogai APMC,1.0,1.0,-,-,-
Anajngaon APMC,11.0,16.0,23.0,-31.2%,-52.2%
Aurad Shahajani APMC,1.0,-,12.0,-,-91.7%
Ausa APMC,2.0,-,-,-,-
Balapur APMC,16.0,16.0,83.0,-,-80.7%
Baramati APMC,188.0,268.0,733.0,-29.9%,-74.3%
Barshi APMC,9.0,19.0,6.0,-52.6%,50.0%
Barshi(Vairag) APMC,9.0,10.0,8.0,-10.0%,12.5%
Beed APMC,32.0,43.0,142.0,-25.6%,-77.5%
Bhandara APMC,2.0,3.0,16.0,-33.3%,-87.5%
Bhiwapur APMC,-,2.0,-,-,-
Bhokar APMC,6.0,5.0,15.0,20.0%,-60.0%
Bhokardan APMC,32.0,14.0,44.0,128.6%,-27.3%
Bhokardan(Pimpalgaon Renu) APMC,4.0,-,10.0,-,-60.0%
Bhusaval APMC,-,1.0,-,-,-
Bori APMC,4.0,5.0,95.0,-20.0%,-95.8%
Chakur APMC,-,1.0,1.0,-,-
Chalisgaon APMC,39.0,56.0,189.0,-30.4%,-79.4%
Chandur Bazar APMC,78.0,71.0,276.0,9.9%,-71.7%
Chandur Railway APMC,-,1.0,-,-,-
Chattrapati Sambhajinagar APMC,69.0,134.0,301.0,-48.5%,-77.1%
Chikali APMC,62.0,98.0,121.0,-36.7%,-48.8%
Chopada APMC,16.0,11.0,30.0,45.5%,-46.7%
Deoulgaon Raja APMC,17.0,22.0,55.0,-22.7%,-69.1%
Devala APMC,-,5.0,32.0,-,-
Dharangaon APMC,7.0,13.0,16.0,-46.1%,-56.2%
Dhule APMC,154.0,228.0,338.0,-32.5%,-54.4%
Digras APMC,4.0,29.0,1.0,-86.2%,300.0%
Dondaicha APMC,296.0,346.0,738.0,-14.4%,-59.9%
Dondaicha(Sindhkheda) APMC,1.0,26.0,-,-96.2%,-
Dound APMC,14.0,34.0,114.0,-58.8%,-87.7%
Dudhani APMC,-,-,2.0,-,-
Gangakhed APMC,30.0,46.0,45.0,-34.8%,-33.3%
Gangapur APMC,25.0,32.0,129.0,-21.9%,-80.6%
Gevrai APMC,48.0,97.0,500.0,-50.5%,-90.4%
Ghansawangi APMC,13.0,24.0,11.0,-45.8%,18.2%
Himalyatnagar APMC,-,-,43.0,-,-
Hinganghat APMC,162.0,229.0,443.0,-29.3%,-63.4%
Hingoli APMC,43.0,28.0,83.0,53.6%,-48.2%
Hingoli(Kanegoan Naka) APMC,70.0,150.0,104.0,-53.3%,-32.7%
Indapur APMC,8.0,11.0,-,-27.3%,-
Indapur(Bhigwan) APMC,19.0,11.0,-,72.7%,-
Indapur(Nimgaon Ketki) APMC,2.0,2.0,-,-,-
