,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - August, 2023",,
Market,"Arrivals August, 2023 (Metric Tonnes)","Arrivals July, 2023 (Metric Tonnes)","Arrivals August, 2022 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,108.0,195.0,639.0,-44.6%,-83.1%
Ahmednagar APMC,124.0,196.0,120.0,-36.7%,3.3%
Ahmedpur APMC,-,17.0,-,-,-
Akhadabalapur APMC,7.0,14.0,-,-50.0%,-
Akkalkot APMC,2.0,10.0,-,-80.0%,-
Akola APMC,272.0,203.0,237.0,34.0%,14.8%
Akot APMC,-,35.0,-,-,-
Amalner APMC,265.0,213.0,340.0,24.4%,-22.1%
Amarawati APMC,367.0,590.0,204.0,-37.8%,79.9%
Ambad (Vadigodri) APMC,66.0,16.0,-,312.5%,-
Ambejaogai APMC,-,-,1.0,-,-
Anajngaon APMC,72.0,73.0,16.0,-1.4%,350.0%
Ashti(Karanja) APMC,-,11.0,-,-,-
Aurad Shahajani APMC,3.0,-,-,-,-
Ausa APMC,4.0,15.0,-,-73.3%,-
BSK Krishi Bazar Private Ltd APMC,2.6,3.9,-,-33.3%,-
Babhulgaon APMC,6.0,5.0,-,20.0%,-
Balapur APMC,13.0,31.0,16.0,-58.1%,-18.8%
Baramati APMC,474.0,318.0,268.0,49.1%,76.9%
Barshi APMC,51.0,18.0,19.0,183.3%,168.4%
Barshi(Vairag) APMC,6.0,16.0,10.0,-62.5%,-40.0%
Beed APMC,286.0,8.0,43.0,3475.0%,565.1%
Bhandara APMC,5.0,9.0,3.0,-44.4%,66.7%
Bhiwapur APMC,-,-,2.0,-,-
Bhokar APMC,13.0,9.0,5.0,44.4%,160.0%
Bhokardan APMC,15.0,27.0,14.0,-44.4%,7.1%
Bhokardan(Pimpalgaon Renu) APMC,23.0,11.0,-,109.1%,-
Bhusaval APMC,-,-,1.0,-,-
Bori APMC,-,-,5.0,-,-
Chakur APMC,3.0,2.0,1.0,50.0%,200.0%
Chalisgaon APMC,69.0,59.0,56.0,16.9%,23.2%
Chandur Bazar APMC,43.0,54.0,71.0,-20.4%,-39.4%
Chandur Railway APMC,-,5.0,1.0,-,-
Chattrapati Sambhajinagar APMC,101.0,99.0,134.0,2.0%,-24.6%
Chikali APMC,72.0,73.0,98.0,-1.4%,-26.5%
Chopada APMC,11.0,6.0,11.0,83.3%,-
Deoulgaon Raja APMC,26.0,29.0,22.0,-10.3%,18.2%
Devala APMC,2.0,-,5.0,-,-60.0%
Dhamngaon-Railway APMC,38.0,142.0,-,-73.2%,-
Dharangaon APMC,5.0,3.0,13.0,66.7%,-61.5%
Dharni APMC,30.0,163.0,-,-81.6%,-
Dhule APMC,358.0,324.0,228.0,10.5%,57.0%
Digras APMC,3.0,11.0,29.0,-72.7%,-89.7%
Dondaicha APMC,433.0,407.0,346.0,6.4%,25.1%
Dondaicha(Sindhkheda) APMC,5.0,7.0,26.0,-28.6%,-80.8%
Dound APMC,62.0,67.0,34.0,-7.5%,82.3%
Dudhani APMC,1.0,7.0,-,-85.7%,-
Fulmbri APMC,83.0,-,-,-,-
Gangakhed APMC,9.0,1.0,46.0,800.0%,-80.4%
Gangapur APMC,36.0,51.0,32.0,-29.4%,12.5%
Gevrai APMC,198.0,210.0,97.0,-5.7%,104.1%
Ghansawangi APMC,18.0,-,24.0,-,-25.0%
Hinganghat APMC,161.0,149.0,229.0,8.1%,-29.7%
Hingoli APMC,93.0,58.0,28.0,60.3%,232.1%
Hingoli(Kanegoan Naka) APMC,12.0,28.0,150.0,-57.1%,-92.0%
Indapur APMC,-,-,11.0,-,-
Indapur(Bhigwan) APMC,-,-,11.0,-,-
Indapur(Nimgaon Ketki) APMC,-,2.0,2.0,-,-
Jai Gajanan Krishi Bazar APMC,9.4,20.66,-,-54.5%,-
Jalana APMC,983.0,653.0,862.0,50.5%,14.0%
Jalgaon APMC,5.0,9.0,7.0,-44.4%,-28.6%
Jalgaon(Masawat) APMC,-,1.0,1.0,-,-
Jamkhed APMC,29.0,42.0,65.0,-30.9%,-55.4%
Jintur APMC,1.0,1.0,-,-,-
Kada APMC,17.0,14.0,16.0,21.4%,6.2%
Kaij APMC,28.0,11.0,16.0,154.6%,75.0%
Kalamb (Dharashiv) APMC,76.0,62.0,15.0,22.6%,406.7%
Kalvan APMC,6.0,4.0,3.0,50.0%,100.0%
Kalyan APMC,11.0,-,-,-,-
Kandhar APMC,-,-,18.0,-,-
Kannad APMC,61.0,45.0,39.0,35.6%,56.4%
Karanja APMC,894.0,861.0,518.0,3.8%,72.6%
Karjat(Raigad) APMC,89.0,97.0,11.0,-8.2%,709.1%
Karmala APMC,19.0,15.0,8.0,26.7%,137.5%
Katol APMC,45.0,96.0,334.0,-53.1%,-86.5%
Khamgaon APMC,686.0,395.0,330.0,73.7%,107.9%
Kille Dharur APMC,6.0,14.0,5.0,-57.1%,20.0%
Kisan Market Yard APMC,10.66,12.04,-,-11.5%,-
Kopargaon APMC,98.0,156.0,91.0,-37.2%,7.7%
Kurdwadi APMC,3.0,1.0,-,200.0%,-
Kurdwadi(Modnimb) APMC,5.0,5.0,6.0,-,-16.7%
Lasalgaon APMC,157.0,175.0,115.0,-10.3%,36.5%
Lasalgaon(Niphad) APMC,101.0,77.0,41.0,31.2%,146.3%
Lasalgaon(Vinchur) APMC,12.0,18.0,17.0,-33.3%,-29.4%
Lasur Station APMC,264.0,271.0,336.0,-2.6%,-21.4%
Latur APMC,262.0,353.0,519.0,-25.8%,-49.5%
Loha APMC,13.0,14.0,8.0,-7.1%,62.5%
Lonar APMC,161.0,199.0,144.0,-19.1%,11.8%
"Mahesh Krushi Utpanna Bazar, Digras APMC",-,6.06,-,-,-
Majalgaon APMC,69.0,61.0,22.0,13.1%,213.6%
Malegaon APMC,105.0,105.0,56.0,-,87.5%
Malegaon(Vashim) APMC,3.0,-,3.0,-,-
Malkapur APMC,363.0,383.0,326.0,-5.2%,11.3%
