Market,"Prices August, 2023 (Rs./Quintal)","Prices July, 2023 (Rs./Quintal)","Prices August, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,2376.85,2285.51,2221.28,4.0%,7.0%
Ahmednagar APMC,2503.02,2257.27,2241.25,10.9%,11.7%
Ahmedpur APMC,2562.55762970368,2493.47,2405.874822348221,-,-
Akhadabalapur APMC,2278.57,2335.71,2194.9428964524154,-2.5%,-
Akkalkot APMC,2900.0,2667.1,2656.4227216663785,8.7%,-
Akola APMC,2446.62,2338.25,2456.3,4.6%,-0.4%
Akot APMC,2286.910889663403,2180.57,2200.1262186255876,-,-
Amalner APMC,2682.22,2403.5,2390.61,11.6%,12.2%
Amarawati APMC,2486.47,2495.19,2320.88,-0.3%,7.1%
Ambad (Vadigodri) APMC,2287.89,2409.62,2202.3006271073323,-5.0%,-
Ambejaogai APMC,3062.3142387745697,2943.44604900295,2900.0,-,-
Anajngaon APMC,2309.72,2114.38,2256.25,9.2%,2.4%
Ashti(Karanja) APMC,2310.035616176849,2206.82,2217.387007528493,-,-
Aurad Shahajani APMC,2465.0,2380.1676598513345,2333.0395149641527,-,-
Ausa APMC,2486.5,2590.6,2350.265716607099,-4.0%,-
BSK Krishi Bazar Private Ltd APMC,2128.42,2070.26,2082.266034380449,2.8%,-
Babhulgaon APMC,2400.0,2250.0,2284.1650445007963,6.7%,-
Balapur APMC,2390.77,2242.74,2171.88,6.6%,10.1%
Baramati APMC,2426.13,2326.03,2502.9,4.3%,-3.1%
Barshi APMC,2542.43,2630.56,2294.74,-3.4%,10.8%
Barshi(Vairag) APMC,2283.67,2318.88,2202.1,-1.5%,3.7%
Beed APMC,2383.58,2379.12,2445.7,0.2%,-2.5%
Bhandara APMC,2342.0,2110.0,2188.33,11.0%,7.0%
Bhiwapur APMC,2215.5493617580364,2144.8701015610604,2100.0,-,-
Bhokar APMC,2122.0,2203.0,2105.2,-3.7%,0.8%
Bhokardan APMC,2186.67,2102.96,2214.29,4.0%,-1.2%
Bhokardan(Pimpalgaon Renu) APMC,2160.87,2099.09,2106.436705383793,2.9%,-
Bhusaval APMC,2215.5493617580364,2144.8701015610604,2100.0,-,-
Bori APMC,2041.9625619696471,1981.162032335472,1936.0,-,-
Chakur APMC,2393.67,2159.5,2112.0,10.8%,13.3%
Chalisgaon APMC,2429.28,2287.34,2309.59,6.2%,5.2%
Chandur Bazar APMC,2303.26,2270.41,2188.27,1.4%,5.2%
Chandur Railway APMC,2298.4153688547403,2202.0,2200.0,-,-
Chattrapati Sambhajinagar APMC,2498.07,2327.27,2383.28,7.3%,4.8%
Chikali APMC,2200.68,2186.44,2046.77,0.7%,7.5%
Chopada APMC,2484.0,2437.17,2352.91,1.9%,5.6%
Deoulgaon Raja APMC,2423.08,2300.69,2245.45,5.3%,7.9%
Devala APMC,2465.0,2380.1174116393518,2313.0,-,6.6%
Dhamngaon-Railway APMC,2438.16,2277.71,2312.5496381981156,7.0%,-
Dharangaon APMC,2260.0,2249.67,2303.85,0.5%,-1.9%
Dharni APMC,1950.0,1915.64,1949.3929860922094,1.8%,-
Dhule APMC,2524.41,2350.02,2301.64,7.4%,9.7%
Digras APMC,2515.0,2530.45,2354.83,-0.6%,6.8%
Dondaicha APMC,2612.98,2372.24,2297.34,10.2%,13.7%
Dondaicha(Sindhkheda) APMC,2348.6,2233.14,2335.15,5.2%,0.6%
Dound APMC,2426.73,2328.34,2313.24,4.2%,4.9%
Dudhani APMC,2780.0,2675.71,2567.7693862392553,3.9%,-
Fulmbri APMC,2327.71,2250.481267154615,2230.7289965736327,-,-
Gangakhed APMC,2311.11,2200.0,2195.65,5.0%,5.3%
Gangapur APMC,2495.56,2332.78,2363.44,7.0%,5.6%
Gevrai APMC,2593.41,2410.5,2519.07,7.6%,3.0%
Ghansawangi APMC,2413.89,2332.146866067793,2397.92,-,0.7%
Hinganghat APMC,2396.4,2216.6,2212.71,8.1%,8.3%
Hingoli APMC,2433.9,2379.71,2181.61,2.3%,11.6%
Hingoli(Kanegoan Naka) APMC,2068.75,2046.43,2121.67,1.1%,-2.5%
Indapur APMC,2113.260164614439,2048.402127110079,2003.36,-,-
Indapur(Bhigwan) APMC,2427.2405810121695,2344.5140884215325,2300.0,-,-
Indapur(Nimgaon Ketki) APMC,2495.307829802491,2531.0,2238.0,-,-
Jai Gajanan Krishi Bazar APMC,2272.87,2274.32,2190.3404779854645,-0.1%,-
Jalana APMC,2480.24,2324.77,2418.52,6.7%,2.5%
Jalgaon APMC,2410.0,2326.89,2282.14,3.6%,5.6%
Jalgaon(Masawat) APMC,2633.03008670364,2600.0,2431.0,-,-
Jamkhed APMC,2282.76,2229.17,2094.23,2.4%,9.0%
Jintur APMC,2000.0,2800.0,1991.9554215939022,-28.6%,-
Kada APMC,2582.35,2357.14,2300.0,9.6%,12.3%
Kaij APMC,2597.25,2605.91,2647.88,-0.3%,-1.9%
Kalamb (Dharashiv) APMC,2544.5,2394.96,2570.2,6.2%,-1.0%
Kalvan APMC,2275.67,2225.75,2033.33,2.2%,11.9%
Kalyan APMC,2600.0,2507.6908808729477,2433.643491821317,-,-
Kandhar APMC,1850.974743958568,1801.043227389954,1755.56,-,-
Kannad APMC,2591.57,2376.89,2350.05,9.0%,10.3%
Karanja APMC,2520.06,2374.27,2396.99,6.1%,5.1%
Karjat(Raigad) APMC,2387.08,2365.46,2090.91,0.9%,14.2%
Karmala APMC,2360.79,2271.6,2420.25,3.9%,-2.5%
Katol APMC,2368.36,2254.94,2408.85,5.0%,-1.7%
