,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - December, 2023",,
Market,"Arrivals December, 2023 (Metric Tonnes)","Arrivals November, 2023 (Metric Tonnes)","Arrivals December, 2022 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,126.0,550.0,248.0,-77.1%,-49.2%
Ahmednagar APMC,121.0,116.0,42.0,4.3%,188.1%
Akhadabalapur APMC,-,-,2.0,-,-
Akkalkot APMC,-,1.0,-,-,-
Akola APMC,129.0,108.0,141.0,19.4%,-8.5%
Akot APMC,-,5.0,-,-,-
Amalner APMC,65.0,79.0,74.0,-17.7%,-12.2%
Amarawati APMC,45.0,62.0,75.0,-27.4%,-40.0%
Ambad (Vadigodri) APMC,53.0,58.0,53.0,-8.6%,-
Anajngaon APMC,13.0,32.0,22.0,-59.4%,-40.9%
Ashti(Jalna) APMC,-,1.0,2.0,-,-
Aurad Shahajani APMC,-,2.0,-,-,-
Ausa APMC,-,-,5.0,-,-
BSK Krishi Bazar Private Ltd APMC,-,0.5,-,-,-
Balapur APMC,1.0,-,5.0,-,-80.0%
Baramati APMC,304.0,292.0,199.0,4.1%,52.8%
Barshi APMC,13.0,19.0,13.0,-31.6%,-
Barshi(Vairag) APMC,1.0,1.0,3.0,-,-66.7%
Beed APMC,1053.0,23.0,46.0,4478.3%,2189.1%
Bhandara APMC,1.0,3.0,1.0,-66.7%,-
Bhokar APMC,2.0,3.0,2.0,-33.3%,-
Bhokardan APMC,18.0,13.0,34.0,38.5%,-47.1%
Bhokardan(Pimpalgaon Renu) APMC,14.0,1.0,9.0,1300.0%,55.6%
Bhusaval APMC,-,5.0,-,-,-
Bori APMC,3.0,-,-,-,-
Buldhana(Dhad) APMC,6.0,167.0,-,-96.4%,-
Chalisgaon APMC,19.0,30.0,39.0,-36.7%,-51.3%
Chandur Bazar APMC,68.0,33.0,22.0,106.1%,209.1%
Chattrapati Sambhajinagar APMC,50.0,44.0,61.0,13.6%,-18.0%
Chikali APMC,61.0,60.0,83.0,1.7%,-26.5%
Chopada APMC,6.0,14.0,6.0,-57.1%,-
Deoulgaon Raja APMC,23.0,16.0,16.0,43.8%,43.8%
Devala APMC,1.0,1.0,1.0,-,-
Dharangaon APMC,-,-,2.0,-,-
Dhule APMC,128.0,182.0,81.0,-29.7%,58.0%
Digras APMC,7.0,17.0,9.0,-58.8%,-22.2%
Dondaicha APMC,96.0,197.0,126.0,-51.3%,-23.8%
Dondaicha(Sindhkheda) APMC,1.0,3.0,-,-66.7%,-
Dound APMC,49.0,43.0,24.0,13.9%,104.2%
Dudhani APMC,-,2.0,-,-,-
Fulmbri APMC,-,59.0,-,-,-
Gangakhed APMC,-,-,61.0,-,-
Gangapur APMC,57.0,41.0,37.0,39.0%,54.0%
Gevrai APMC,124.0,107.0,53.0,15.9%,134.0%
Ghansawangi APMC,-,-,3.0,-,-
Hinganghat APMC,44.0,60.0,136.0,-26.7%,-67.7%
Hingoli APMC,70.0,48.0,29.0,45.8%,141.4%
Indapur APMC,1.0,-,2.0,-,-50.0%
Indapur(Bhigwan) APMC,-,1.0,9.0,-,-
Indapur(Nimgaon Ketki) APMC,-,-,2.0,-,-
Jalana APMC,533.0,480.0,447.0,11.0%,19.2%
Jalgaon APMC,-,1.0,2.0,-,-
Jalgaon Jamod(Aasalgaon) APMC,41.0,26.0,-,57.7%,-
Jalgaon(Masawat) APMC,-,1.0,-,-,-
Jamkhed APMC,39.0,29.0,42.0,34.5%,-7.1%
Kada APMC,13.0,26.0,-,-50.0%,-
Kaij APMC,2.0,-,18.0,-,-88.9%
Kalamb (Dharashiv) APMC,42.0,31.0,15.0,35.5%,180.0%
Kalvan APMC,5.0,2.0,4.0,150.0%,25.0%
Kalyan APMC,-,1.0,-,-,-
Kandhar APMC,-,1.0,9.0,-,-
Kannad APMC,31.0,26.0,38.0,19.2%,-18.4%
Karanja APMC,319.0,532.0,217.0,-40.0%,47.0%
Karjat(Raigad) APMC,64.0,60.0,41.0,6.7%,56.1%
Karmala APMC,15.0,8.0,5.0,87.5%,200.0%
Katol APMC,43.0,40.0,26.0,7.5%,65.4%
Khamgaon APMC,138.0,94.0,135.0,46.8%,2.2%
Kille Dharur APMC,5.0,4.0,2.0,25.0%,150.0%
Kisan Market Yard APMC,0.15,6.29,-,-97.6%,-
Kopargaon APMC,208.0,103.0,69.0,101.9%,201.4%
Kurdwadi APMC,-,-,1.0,-,-
Kurdwadi(Modnimb) APMC,8.0,3.0,5.0,166.7%,60.0%
Lasalgaon APMC,228.0,108.0,126.0,111.1%,81.0%
Lasalgaon(Niphad) APMC,110.0,119.0,67.0,-7.6%,64.2%
Lasalgaon(Vinchur) APMC,21.0,21.0,25.0,-,-16.0%
Lasur Station APMC,145.0,206.0,253.0,-29.6%,-42.7%
Loha APMC,7.0,3.0,9.0,133.3%,-22.2%
Lonar APMC,38.0,97.0,145.0,-60.8%,-73.8%
Majalgaon APMC,38.0,28.0,12.0,35.7%,216.7%
Malegaon APMC,66.0,86.0,48.0,-23.3%,37.5%
Malkapur APMC,121.0,193.0,229.0,-37.3%,-47.2%
Mangal Wedha APMC,6.0,6.0,3.0,-,100.0%
Mangrulpeer APMC,46.0,77.0,50.0,-40.3%,-8.0%
Manmad APMC,5.0,5.0,14.0,-,-64.3%
Manora APMC,-,3.0,-,-,-
Mantha APMC,4.0,5.0,17.0,-20.0%,-76.5%
Manwat APMC,2.0,2.0,-,-,-
Mehekar APMC,52.0,86.0,53.0,-39.5%,-1.9%
Morshi APMC,80.0,70.0,59.0,14.3%,35.6%
Mudkhed APMC,-,1.0,-,-,-
Mumbai APMC,1342.0,11590.0,9194.0,-88.4%,-85.4%
Murtizapur APMC,25.0,20.0,27.0,25.0%,-7.4%
Murum APMC,1.0,3.0,-,-66.7%,-
Nagpur APMC,273.0,553.0,469.0,-50.6%,-41.8%
Nanded APMC,23.0,11.0,-,109.1%,-
Nandgaon APMC,16.0,21.0,23.0,-23.8%,-30.4%
Nandgaon Khandeshwar APMC,4.0,2.0,2.0,100.0%,100.0%
Nandura APMC,32.0,25.0,-,28.0%,-
Nandurbar APMC,25.0,35.0,55.0,-28.6%,-54.5%
Navapur APMC,38.0,59.0,54.0,-35.6%,-29.6%
Newasa APMC,8.0,-,-,-,-
Nira(Saswad) APMC,9.0,8.0,32.0,12.5%,-71.9%
Om Chaitanya Multistate Agro Purpose CoOp Society  APMC,-,34.09,-,-,-
Pachora APMC,40.0,64.0,61.0,-37.5%,-34.4%
Paithan APMC,66.0,98.0,43.0,-32.6%,53.5%
Palghar APMC,119.0,146.0,50.0,-18.5%,138.0%
Paranda APMC,4.0,2.0,1.0,100.0%,300.0%
Parbhani APMC,15.0,43.0,36.0,-65.1%,-58.3%
Parola APMC,10.0,-,13.0,-,-23.1%
Partur APMC,7.0,8.0,15.0,-12.5%,-53.3%
Pathardi APMC,18.0,14.0,14.0,28.6%,28.6%
Pathari APMC,6.0,10.0,2.0,-40.0%,200.0%
Patur APMC,1.0,-,10.0,-,-90.0%
Phaltan APMC,40.0,-,15.0,-,166.7%
Pulgaon APMC,-,1.0,-,-,-
Pune APMC,42.0,996.0,770.0,-95.8%,-94.5%
Purna APMC,1.0,-,-,-,-
Pusad APMC,95.0,132.0,-,-28.0%,-
Rahata APMC,60.0,62.0,15.0,-3.2%,300.0%
Rahuri APMC,56.0,56.0,4.0,-,1300.0%
Rahuri(Vambori) APMC,49.0,43.0,13.0,13.9%,276.9%
Ramtek APMC,15.0,46.0,26.0,-67.4%,-42.3%
Raver APMC,10.0,31.0,23.0,-67.7%,-56.5%
Sakri APMC,8.0,3.0,-,166.7%,-
Sangamner APMC,36.0,12.0,17.0,200.0%,111.8%
Sangli APMC,479.0,541.0,1018.0,-11.5%,-53.0%
Sangrampur(Varvatbakal) APMC,-,5.0,34.0,-,-
"Sant Namdev Krushi Bazar,  APMC",-,9.5,-,-,-
Satana APMC,26.0,28.0,12.0,-7.1%,116.7%
Savner APMC,28.0,23.0,238.0,21.7%,-88.2%
Selu APMC,1.0,10.0,-,-90.0%,-
Shahada APMC,23.0,51.0,30.0,-54.9%,-23.3%
Shegaon APMC,-,-,3.0,-,-
Shevgaon APMC,105.0,120.0,45.0,-12.5%,133.3%
Shevgaon(Bodhegaon) APMC,21.0,13.0,8.0,61.5%,162.5%
Shirpur APMC,73.0,42.0,36.0,73.8%,102.8%
Shrigonda APMC,22.0,18.0,23.0,22.2%,-4.3%
Shrigonda(Gogargaon) APMC,21.0,-,17.0,-,23.5%
Shrirampur APMC,17.0,17.0,10.0,-,70.0%
Shrirampur(Belapur) APMC,24.0,22.0,11.0,9.1%,118.2%
Sillod APMC,148.0,100.0,304.0,48.0%,-51.3%
Sillod(Bharadi) APMC,6.0,6.0,12.0,-,-50.0%
Sindi(Selu) APMC,11.0,25.0,14.0,-56.0%,-21.4%
Sinner APMC,7.0,-,42.0,-,-83.3%
Solapur APMC,2679.0,3347.0,3223.0,-20.0%,-16.9%
Sonpeth APMC,-,-,2.0,-,-
Tadkalas APMC,3.0,-,-,-,-
Taloda APMC,-,1.0,-,-,-
Tasgaon APMC,27.0,42.0,30.0,-35.7%,-10.0%
Telhara APMC,29.0,42.0,43.0,-30.9%,-32.6%
Tumsar APMC,4.0,3.0,3.0,33.3%,33.3%
Ulhasnagar APMC,918.0,854.0,1582.0,7.5%,-42.0%
Umared APMC,39.0,59.0,141.0,-33.9%,-72.3%
Umarga APMC,-,1.0,-,-,-
Umarked(Danki) APMC,-,11.0,4.0,-,-
Vaduj APMC,12.0,12.0,23.0,-,-47.8%
Vaijpur APMC,31.0,30.0,92.0,3.3%,-66.3%
Varud(Rajura Bazar) APMC,-,-,1.0,-,-
Vasai APMC,195.0,112.0,424.0,74.1%,-54.0%
Wardha APMC,12.0,19.0,9.0,-36.8%,33.3%
Washim APMC,165.0,234.0,254.0,-29.5%,-35.0%
Washim(Ansing) APMC,6.0,13.0,8.0,-53.9%,-25.0%
Yawal APMC,-,1.0,9.0,-,-
Yeola APMC,23.0,5.0,16.0,360.0%,43.8%
Yeotmal APMC,9.0,17.0,11.0,-47.1%,-18.2%
Total,12906.15,25051.38,22680.0,-,-

Note:
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100

