Market,"Prices December, 2023 (Rs./Quintal)","Prices November, 2023 (Rs./Quintal)","Prices December, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,2594.91,2515.28,2514.82,3.2%,3.2%
Ahmednagar APMC,2713.02,2492.24,2654.76,8.9%,2.2%
Akhadabalapur APMC,2072.864897517715,2051.189311305875,2050.0,-,-
Akkalkot APMC,2838.4618723360354,3000.0,2811.098668218096,-,-
Akola APMC,2835.08,2758.36,2873.87,2.8%,-1.4%
Akot APMC,2556.9296671052025,2560.0,2558.5532997029795,-,-
Amalner APMC,2878.18,2874.43,2789.43,0.1%,3.2%
Amarawati APMC,2492.64,2502.09,2426.32,-0.4%,2.7%
Ambad (Vadigodri) APMC,2383.83,2496.38,2614.42,-4.5%,-8.8%
Anajngaon APMC,2534.62,2426.56,2836.36,4.5%,-10.6%
Ashti(Jalna) APMC,2700.7388707980685,2410.0,2800.0,-,-
Aurad Shahajani APMC,2539.9737501992545,2533.5,2543.34318091741,-,-
Ausa APMC,3179.884025372692,3294.196564223309,3189.2,-,-
BSK Krishi Bazar Private Ltd APMC,2340.7897149984396,2222.2,2364.6673326929645,-,-
Balapur APMC,2400.0,2538.626527239796,2610.0,-,-8.1%
Baramati APMC,2508.15,2578.18,2724.42,-2.7%,-7.9%
Barshi APMC,2469.23,3155.84,2673.08,-21.8%,-7.6%
Barshi(Vairag) APMC,2000.0,2801.0,2700.0,-28.6%,-25.9%
Beed APMC,2541.35,2866.0,2735.22,-11.3%,-7.1%
Bhandara APMC,2400.0,2550.0,2485.0,-5.9%,-3.4%
Bhokar APMC,2289.0,2381.33,2308.0,-3.9%,-0.8%
Bhokardan APMC,2522.22,2430.77,2488.24,3.8%,1.4%
Bhokardan(Pimpalgaon Renu) APMC,2380.0,5100.0,2500.0,-53.3%,-4.8%
Bhusaval APMC,1878.692990867286,1500.0,1950.1485482801977,-,-
Bori APMC,2200.0,2248.2559212953074,2281.8256084688337,-,-
Buldhana(Dhad) APMC,2900.0,2764.37,2807.5284620616344,4.9%,-
Chalisgaon APMC,2595.26,2607.07,2589.28,-0.5%,0.2%
Chandur Bazar APMC,2106.29,2396.97,2319.27,-12.1%,-9.2%
Chattrapati Sambhajinagar APMC,2602.16,2889.57,2766.25,-9.9%,-5.9%
Chikali APMC,2560.77,2539.55,2476.12,0.8%,3.4%
Chopada APMC,2564.17,2659.93,2651.33,-3.6%,-3.3%
Deoulgaon Raja APMC,2549.13,2618.75,2631.94,-2.7%,-3.1%
Devala APMC,2375.0,2525.0,2605.0,-5.9%,-8.8%
Dharangaon APMC,2670.491972334087,2722.229919227418,2665.0,-,-
Dhule APMC,2849.81,2925.08,2697.84,-2.6%,5.6%
Digras APMC,2967.86,2674.41,2763.89,11.0%,7.4%
Dondaicha APMC,2742.48,2819.64,2663.36,-2.7%,3.0%
Dondaicha(Sindhkheda) APMC,2600.0,2634.0,2598.3423366013667,-1.3%,-
Dound APMC,2571.43,2628.19,2524.58,-2.2%,1.9%
Dudhani APMC,3049.61102625916,3330.0,3000.5076946044337,-,-
Fulmbri APMC,2598.250916682037,2624.58,2595.620072200039,-,-
Gangakhed APMC,2339.6980982881664,2350.8007593207963,2324.59,-,-
Gangapur APMC,2553.81,2698.78,2740.76,-5.4%,-6.8%
Gevrai APMC,2740.24,2817.29,2776.23,-2.7%,-1.3%
Ghansawangi APMC,2704.5032692748564,2760.419222117262,2700.0,-,-
Hinganghat APMC,2361.36,2423.58,2596.69,-2.6%,-9.1%
Hingoli APMC,2689.81,2697.29,2437.24,-0.3%,10.4%
Indapur APMC,2900.0,2737.3197365188726,2450.0,-,18.4%
Indapur(Bhigwan) APMC,2614.5712766511315,2351.0,2700.0,-,-
Indapur(Nimgaon Ketki) APMC,2607.328135158373,2651.3069281462795,2600.0,-,-
Jalana APMC,2662.63,2720.93,2743.32,-2.1%,-2.9%
Jalgaon APMC,2596.0581848621077,2600.0,2600.0,-,-
Jalgaon Jamod(Aasalgaon) APMC,2607.32,2476.92,2575.010314375228,5.3%,-
Jalgaon(Masawat) APMC,2582.5235039443687,2600.0,2581.5119695679896,-,-
