Market,"Prices February, 2023 (Rs./Quintal)","Prices January, 2023 (Rs./Quintal)","Prices February, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,2502.74,2596.15,1864.0,-3.6%,34.3%
Ahmednagar APMC,2411.39,2676.7,2005.76,-9.9%,20.2%
Ahmedpur APMC,2434.98,2618.86,1880.7082388870256,-7.0%,-
Akhadabalapur APMC,2078.95,2000.0,1900.0,4.0%,9.4%
Akola APMC,2609.24,3003.4,2062.63,-13.1%,26.5%
Amalner APMC,2457.95,2771.43,2061.09,-11.3%,19.2%
Amarawati APMC,2325.93,2523.36,1999.16,-7.8%,16.4%
Ambad (Vadigodri) APMC,2404.14,2723.33,2060.17,-11.7%,16.7%
Ambejaogai APMC,2806.8680687263304,3014.4402720455755,2300.0,-,-
Anajngaon APMC,2914.29,2733.33,1850.0,6.6%,57.5%
Ashti(Jalna) APMC,2440.0,2675.0,1733.0,-8.8%,40.8%
Ashti(Karanja) APMC,2010.54,2566.67,1706.0251730905998,-21.7%,-
Aurad Shahajani APMC,2457.5,2635.805015507692,1708.0,-,43.9%
Ausa APMC,2902.82,3074.0,2174.8876998493997,-5.6%,-
Balapur APMC,2762.5,2780.0,1725.71,-0.6%,60.1%
Baramati APMC,2508.56,2796.42,1997.35,-10.3%,25.6%
Barshi APMC,2626.32,2621.71,1875.0,0.2%,40.1%
Barshi(Vairag) APMC,2450.5,2312.75,1627.43,6.0%,50.6%
Basmat APMC,2240.0,2514.09664921231,1779.809430976398,-,-
Beed APMC,2574.29,2867.32,1934.78,-10.2%,33.0%
Bhandara APMC,2310.989579988643,2548.4326492979235,1735.56,-,-
Bhokar APMC,2101.88,2409.4410427672274,1719.71,-,22.2%
Bhokardan APMC,2361.05,2546.36,1823.68,-7.3%,29.5%
Bhokardan(Pimpalgaon Renu) APMC,2365.52,2537.37,1818.1,-6.8%,30.1%
Bori APMC,2150.6750972715195,2397.77523487125,1553.08,-,-
Buldhana APMC,3000.0,3119.183807442253,2223.3780231504206,-,-
Buldhana(Dhad) APMC,2792.31,2953.827818109652,2102.1612324811804,-,-
Chakur APMC,2327.38,2537.11233967663,1651.0,-,41.0%
Chalisgaon APMC,2270.36,2595.2,1835.46,-12.5%,23.7%
Chandur Bazar APMC,2217.87,2436.11,1735.88,-9.0%,27.8%
Chandur Railway APMC,2050.0,2362.8248596548246,1668.9172829328927,-,-
Chattrapati Sambhajinagar APMC,2468.7,2867.09,2031.4,-13.9%,21.5%
Chikali APMC,2314.22,2474.65,1663.46,-6.5%,39.1%
Chopada APMC,2270.48,2406.25,1991.67,-5.6%,14.0%
Daryapur APMC,2150.0,2442.4415910008693,1727.281571376843,-,-
Deoulgaon Raja APMC,2750.0,2735.29,1801.22,0.5%,52.7%
Devala APMC,2483.75,2520.0,1880.38,-1.4%,32.1%
Dhamngaon-Railway APMC,2174.3251733058523,2420.0006710635244,1580.0,-,-
Dharangaon APMC,2281.03,2601.2,1959.71,-12.3%,16.4%
Dhule APMC,2363.1,2842.12,1944.92,-16.9%,21.5%
Digras APMC,3205.0,2437.5,1877.5,31.5%,70.7%
Dondaicha APMC,2193.43,2720.18,1986.44,-19.4%,10.4%
Dondaicha(Sindhkheda) APMC,2185.6,2700.0,1806.6515645667434,-19.1%,-
Dound APMC,2552.63,2699.0,1910.89,-5.4%,33.6%
Gangakhed APMC,2292.86,2300.0,2100.0,-0.3%,9.2%
Gangapur APMC,2375.62,2849.14,2034.73,-16.6%,16.8%
Gevrai APMC,2435.78,2871.85,1946.82,-15.2%,25.1%
Ghansawangi APMC,2394.6345925900096,2627.039030422231,1830.77,-,-
Himalyatnagar APMC,2300.0,2561.866688019937,1814.8280040427683,-,-
Hinganghat APMC,2249.36,2633.16,1846.5,-14.6%,21.8%
Hingoli APMC,2415.66,2737.0,1852.45,-11.7%,30.4%
Hingoli(Kanegoan Naka) APMC,2075.76,2363.6515968625117,1607.93,-,29.1%
Indapur APMC,2450.78,2400.0,1830.7711353838956,2.1%,-
Indapur(Bhigwan) APMC,2286.96,2551.484666252413,1807.2173008296772,-,-
Jafrabad APMC,2200.0,2519.412363105269,1900.0,-,15.8%
Jalana APMC,2535.35,2780.37,2024.57,-8.8%,25.2%
Jalgaon APMC,2367.602169128776,2601.6349935858175,1800.0,-,-
Jalgaon Jamod(Aasalgaon) APMC,1916.81,2400.0,1627.7927220656236,-20.1%,-
Jalgaon(Masawat) APMC,2298.26,2560.481356894516,1813.8124654238438,-,-
Jamkhed APMC,2245.0,2324.48,1698.63,-3.4%,32.2%
Kada APMC,2107.6138369872438,2300.0,1600.0,-,-
Kaij APMC,2511.44,2642.81,1994.31,-5.0%,25.9%
Kalamb (Dharashiv) APMC,2625.08,2991.44,1687.69,-12.2%,55.5%
Kandhar APMC,1793.33,1726.67,1527.27,3.9%,17.4%
Kannad APMC,2528.2,2729.1,2009.83,-7.4%,25.8%
Karanja APMC,2159.59,2772.78,1916.41,-22.1%,12.7%
Karjat(Raigad) APMC,2525.79,2478.12,1690.59,1.9%,49.4%
Karmala APMC,2508.66,3017.0,1624.93,-16.9%,54.4%
Katol APMC,2188.76,2647.42,1837.0,-17.3%,19.1%
Khamgaon APMC,2159.96,2556.8,1963.68,-15.5%,10.0%
Kille Dharur APMC,2877.29,3051.0,1877.82,-5.7%,53.2%
Kopargaon APMC,2392.42,2845.3,1956.87,-15.9%,22.3%
Kurdwadi APMC,2900.0,3002.2810549121573,2021.0,-,43.5%
Kurdwadi(Modnimb) APMC,2578.57,2900.0,1785.71,-11.1%,44.4%
Lasalgaon APMC,2507.63,2961.5,2752.18,-15.3%,-8.9%
Lasalgaon(Niphad) APMC,2549.93,2872.09,2046.67,-11.2%,24.6%
Lasalgaon(Vinchur) APMC,2507.97,2850.53,1984.14,-12.0%,26.4%
Lasur Station APMC,2431.73,2839.43,1951.75,-14.4%,24.6%
Latur APMC,2587.3668986974326,2808.1614743992345,2050.15,-,-
Latur(Murud) APMC,3025.0,3139.087990278764,2237.9690952614083,-,-
Loha APMC,2587.55,2933.75,1728.0,-11.8%,49.7%
Lonar APMC,2543.34,2683.39,1845.97,-5.2%,37.8%
Majalgaon APMC,2620.95,2950.0,1955.53,-11.2%,34.0%
Malegaon APMC,2314.56,2763.33,1998.43,-16.2%,15.8%
Malegaon(Vashim) APMC,1928.3362695312214,2188.8297151260595,1300.0,-,-
Malkapur APMC,2319.97,2767.23,1840.72,-16.2%,26.0%
Mandhal APMC,2960.0,3087.337114903835,2200.03230777284,-,-
Mangal Wedha APMC,3175.0,3173.33,2258.57,0.1%,40.6%
Mangrulpeer APMC,2209.16,2660.29,1833.75,-17.0%,20.5%
Manmad APMC,2373.71,2600.0,1894.05,-8.7%,25.3%
Manora APMC,2183.14,2575.5,1777.5,-15.2%,22.8%
Mantha APMC,2765.0,2500.0,1782.76,10.6%,55.1%
Manwat APMC,2412.74,2651.626590939468,1880.6279028344777,-,-
Mehekar APMC,2616.5,2811.25,1795.05,-6.9%,45.8%
Morshi APMC,2588.51,2637.5,1735.29,-1.9%,49.2%
Mudkhed APMC,1850.644116371059,1950.0,1487.6157857273258,-,-
Mumbai APMC,4150.0,4258.46,2811.71,-2.5%,47.6%
Murtizapur APMC,2170.29,2463.0,1751.01,-11.9%,23.9%
Murum APMC,2579.91,2717.8735186685685,1720.0,-,50.0%
Nagpur APMC,2899.96,3014.87,2355.95,-3.8%,23.1%
Nampur APMC,2323.6755791690202,2560.3544657398415,1750.0,-,-
Nanded APMC,2564.83,3100.0,1816.67,-17.3%,41.2%
Nandgaon APMC,2474.03,2856.44,1998.12,-13.4%,23.8%
Nandgaon Khandeshwar APMC,2076.67,2366.8457837497044,1618.0,-,28.4%
Nandura APMC,2329.5,2849.94,1762.5,-18.3%,32.2%
Nandurbar APMC,2260.18,2792.11,2011.59,-19.1%,12.4%
Navapur APMC,2211.51,2311.94,1717.3080889694268,-4.3%,-
Newasa APMC,2500.0,2721.1001507120272,1931.5565809306688,-,-
Nilanga APMC,2900.0,3550.0,1750.0,-18.3%,65.7%
Nira(Saswad) APMC,3272.22,3014.71,2282.46,8.5%,43.4%
Pachora APMC,2360.53,2704.36,1874.2623024609873,-12.7%,-
Paithan APMC,2410.15,2885.28,1941.01,-16.5%,24.2%
Palghar APMC,3078.41,3145.05,2672.97,-2.1%,15.2%
Pandharpur APMC,2609.1984139074307,2828.677896738684,2075.0,-,-
Paranda APMC,2700.0,2800.0,1858.0,-3.6%,45.3%
Parbhani APMC,2800.0,2717.91,1510.0,3.0%,85.4%
Parola APMC,2267.62,2745.38,1849.4295455916424,-17.4%,-
Partur APMC,2685.96,3101.33,1975.43,-13.4%,36.0%
