,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - June, 2023",,
Market,"Prices June, 2023 (Rs./Quintal)","Prices May, 2023 (Rs./Quintal)","Prices June, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,2443.56,2190.83,2012.05,11.5%,21.4%
Ahmednagar APMC,2326.94,2252.11,2158.06,3.3%,7.8%
Ahmedpur APMC,2549.15,2655.72,2350.0,-4.0%,8.5%
Akhadabalapur APMC,-,2250.0,1942.86,-,-
Akkalkot APMC,2300.0,1800.0,2000.0,27.8%,15.0%
Akkalkuwa APMC,-,2200.19,-,-,-
Akola APMC,2405.4,2355.22,2378.05,2.1%,1.1%
Amalner APMC,2540.66,2486.05,2089.92,2.2%,21.6%
Amarawati APMC,2406.28,2375.41,2187.25,1.3%,10.0%
Ambad (Vadigodri) APMC,2180.08,1966.14,-,10.9%,-
Anajngaon APMC,2143.78,2051.28,1955.56,4.5%,9.6%
Ashti APMC,2250.0,-,2200.0,-,2.3%
Ashti(Karanja) APMC,2176.13,2121.28,2000.0,2.6%,8.8%
Aurad Shahajani APMC,2468.17,2308.0,2125.0,6.9%,16.1%
Ausa APMC,2718.79,2683.76,2206.8,1.3%,23.2%
Babhulgaon APMC,2202.94,2133.33,-,3.3%,-
Balapur APMC,2142.88,2246.07,2001.61,-4.6%,7.1%
Baramati APMC,2271.3,2272.85,2162.4,-0.1%,5.0%
Barshi APMC,2546.33,2687.0,2400.0,-5.2%,6.1%
Barshi(Vairag) APMC,2323.49,2495.02,2127.78,-6.9%,9.2%
Beed APMC,2496.26,2544.7,2107.71,-1.9%,18.4%
Bhandara APMC,2161.15,2194.17,1838.0,-1.5%,17.6%
Bhiwapur APMC,-,2150.0,2022.22,-,-
Bhokar APMC,2080.53,2204.61,1856.2,-5.6%,12.1%
Bhokardan APMC,2102.46,2120.31,2042.61,-0.8%,2.9%
Bhokardan(Pimpalgaon Renu) APMC,2067.86,2067.2,2037.0,-,1.5%
Chakur APMC,2109.0,2150.17,-,-1.9%,-
Chalisgaon APMC,2220.12,2413.94,1928.58,-8.0%,15.1%
Chandur Bazar APMC,2349.08,2338.43,2013.84,0.5%,16.6%
Chandur Railway APMC,-,2175.0,1925.0,-,-
Chattrapati Sambhajinagar APMC,2503.32,2301.95,2089.18,8.8%,19.8%
Chikali APMC,2113.43,2164.85,1863.87,-2.4%,13.4%
Chopada APMC,2442.0,2330.53,2011.97,4.8%,21.4%
Deoulgaon Raja APMC,2489.08,2502.61,2029.27,-0.5%,22.7%
Devala APMC,2250.0,2171.25,2003.93,3.6%,12.3%
Dhamngaon-Railway APMC,2226.55,2155.1,1954.17,3.3%,13.9%
Dharangaon APMC,2184.65,2092.79,1983.5,4.4%,10.1%
Dharni APMC,1950.0,-,-,-,-
Dhule APMC,2326.28,2363.4,2026.28,-1.6%,14.8%
Digras APMC,-,-,2211.6,-,-
Dondaicha APMC,2392.66,2286.46,2184.46,4.6%,9.5%
Dondaicha(Sindhkheda) APMC,2237.89,2229.57,-,0.4%,-
Dound APMC,2314.89,2262.96,2141.22,2.3%,8.1%
Dudhani APMC,3066.67,-,-,-,-
Gangakhed APMC,2309.09,2351.85,2151.46,-1.8%,7.3%
Gangapur APMC,2286.8,2221.31,2128.05,3.0%,7.5%
Gevrai APMC,2453.09,2410.79,2346.46,1.8%,4.5%
Ghansawangi APMC,2328.57,2400.0,2305.26,-3.0%,1.0%
Hinganghat APMC,2153.42,2091.02,1989.11,3.0%,8.3%
Hingoli APMC,2587.3,2588.88,2445.61,-0.1%,5.8%
Hingoli(Kanegoan Naka) APMC,2000.0,2047.44,1872.13,-2.3%,6.8%
Indapur APMC,-,-,1851.0,-,-
