Market,"Arrivals March, 2023 (Metric Tonnes)","Arrivals February, 2023 (Metric Tonnes)","Arrivals March, 2022 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,1511.0,292.0,1271.0424108392458,417.5%,-
Ahmednagar APMC,494.0,285.0,384.0,73.3%,28.6%
Ahmedpur APMC,131.0,55.0,132.45670772297242,138.2%,-
Akhadabalapur APMC,22.0,19.0,8.0,15.8%,175.0%
Akkalkuwa APMC,244.0,82.96486566340002,226.74855145267904,-,-
Akola APMC,820.0,298.0,263.0,175.2%,211.8%
Amalner APMC,4101.0,632.0,6716.0,548.9%,-38.9%
Amarawati APMC,1846.0,257.0,960.0,618.3%,92.3%
Ambad (Vadigodri) APMC,41.0,36.0,145.0,13.9%,-71.7%
Ambejaogai APMC,-12.94294836052978,-19.76906299585389,2.0,-,-
Anajngaon APMC,10.0,7.0,24.0,42.9%,-58.3%
Ashti APMC,7.0,-11.262163919848273,24.182852362140423,-,-
Ashti(Jalna) APMC,-1.5224155354056261,2.0,3.0,-,-
Ashti(Karanja) APMC,552.0,111.0,904.0,397.3%,-38.9%
Aurad Shahajani APMC,5.0,6.0,11.0,-16.7%,-54.5%
Ausa APMC,8.346640531584125,17.0,6.0,-,-
Babhulgaon APMC,5.652889081042741,-12.363761276100195,18.0,-,-
Balapur APMC,34.0,8.0,39.0,325.0%,-12.8%
Baramati APMC,670.0,245.0,602.0,173.5%,11.3%
Barshi APMC,65.0,19.0,12.0,242.1%,441.7%
Barshi(Vairag) APMC,65.0,32.0,15.0,103.1%,333.3%
Basmat APMC,10.0,3.0,28.52625752579994,233.3%,-
Beed APMC,200.0,55.0,186.0,263.6%,7.5%
Bhandara APMC,11.0,-9.402038015381418,30.0,-,-63.3%
Bhiwapur APMC,-9.456228840234932,-18.380568923400073,5.0,-,-
Bhokar APMC,52.0,17.0,66.0,205.9%,-21.2%
Bhokardan APMC,52.0,57.0,75.0,-8.8%,-30.7%
Bhokardan(Pimpalgaon Renu) APMC,32.0,29.0,48.0,10.3%,-33.3%
Bori APMC,-0.15831011944867246,-14.677918063523226,13.0,-,-
Buldhana APMC,220.13631378451714,10.0,198.08354162820987,-,-
Buldhana(Dhad) APMC,168.0,26.0,158.34333099342396,546.1%,-
Chakur APMC,23.0,8.0,3.0,187.5%,666.7%
Chalisgaon APMC,195.0,55.0,304.0,254.6%,-35.9%
Chandur Bazar APMC,97.0,38.0,145.0,155.3%,-33.1%
Chandur Railway APMC,-3.412852828477246,2.0,1.0,-,-
Chattrapati Sambhajinagar APMC,230.0,121.0,939.0,90.1%,-75.5%
Chikali APMC,444.0,122.0,237.0,263.9%,87.3%
Chopada APMC,675.0,95.0,387.0,610.5%,74.4%
Daryapur APMC,220.13631378451714,10.0,198.08354162820987,-,-
Deoulgaon Raja APMC,99.0,44.0,92.0,125.0%,7.6%
Devala APMC,9.0,4.0,27.0,125.0%,-66.7%
Dhamngaon-Railway APMC,1000.0,383.5371625618629,872.9074903237643,-,-
Dharangaon APMC,261.0,64.0,333.0,307.8%,-21.6%
Dhule APMC,3493.0,720.0,2580.0,385.1%,35.4%
Digras APMC,63.0,1.0,70.79725793133593,6200.0%,-
Dondaicha APMC,5849.0,632.0,4000.0,825.5%,46.2%
Dondaicha(Sindhkheda) APMC,159.0,5.0,148.36415976849872,3080.0%,-
Dound APMC,220.0,19.0,122.0,1057.9%,80.3%
Gangakhed APMC,28.0,28.0,134.0,-,-79.1%
Gangapur APMC,29.0,21.0,124.0,38.1%,-76.6%
Gevrai APMC,502.0,101.0,216.0,397.0%,132.4%
