,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - May, 2023",,
Market,"Prices May, 2023 (Rs./Quintal)","Prices April, 2023 (Rs./Quintal)","Prices May, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,2190.83,-,-,-,-
Ahmednagar APMC,2252.11,2271.18,2205.01,-0.8%,2.1%
Ahmedpur APMC,2655.72,2661.19,-,-0.2%,-
Akhadabalapur APMC,2250.0,2289.29,2025.0,-1.7%,11.1%
Akkalkot APMC,1800.0,2000.0,-,-10.0%,-
Akkalkuwa APMC,2200.19,2184.89,-,0.7%,-
Akola APMC,2355.22,2463.66,2468.34,-4.4%,-4.6%
Amalner APMC,2486.05,2545.99,2232.84,-2.4%,11.3%
Amarawati APMC,2375.41,2363.59,2269.45,0.5%,4.7%
Ambad (Vadigodri) APMC,1966.14,2391.12,-,-17.8%,-
Anajngaon APMC,2051.28,2023.33,2071.83,1.4%,-1.0%
Ashti APMC,-,-,2050.0,-,-
Ashti(Jalna) APMC,-,-,2485.0,-,-
Ashti(Karanja) APMC,2121.28,2100.91,2044.69,1.0%,3.8%
Aurad Shahajani APMC,2308.0,2345.6,2043.0,-1.6%,13.0%
Ausa APMC,2683.76,2867.44,2306.43,-6.4%,16.4%
Babhulgaon APMC,2133.33,2053.24,2131.14,3.9%,0.1%
Balapur APMC,2246.07,2198.39,2248.39,2.2%,-0.1%
Baramati APMC,2272.85,2610.06,2246.59,-12.9%,1.2%
Barshi APMC,2687.0,2995.36,2347.25,-10.3%,14.5%
Barshi(Vairag) APMC,2495.02,2510.14,1895.96,-0.6%,31.6%
Beed APMC,2544.7,2525.39,2219.62,0.8%,14.7%
Bhandara APMC,2194.17,2290.74,1922.14,-4.2%,14.2%
Bhiwapur APMC,2150.0,-,2050.0,-,4.9%
Bhokar APMC,2204.61,2150.76,1952.2,2.5%,12.9%
Bhokardan APMC,2120.31,2072.0,2073.15,2.3%,2.3%
Bhokardan(Pimpalgaon Renu) APMC,2067.2,2026.67,2086.54,2.0%,-0.9%
Bhusaval APMC,-,-,2000.0,-,-
Buldhana(Dhad) APMC,-,2000.0,-,-,-
Chakur APMC,2150.17,2134.44,1992.0,0.7%,7.9%
Chalisgaon APMC,2413.94,2433.97,1917.14,-0.8%,25.9%
Chandur Bazar APMC,2338.43,2275.63,2109.39,2.8%,10.9%
Chandur Railway APMC,2175.0,-,2025.0,-,7.4%
Chattrapati Sambhajinagar APMC,2301.95,2362.6,2184.36,-2.6%,5.4%
Chikali APMC,2164.85,2292.57,1973.67,-5.6%,9.7%
Chopada APMC,2330.53,2318.3,2031.19,0.5%,14.7%
Deoulgaon Raja APMC,2502.61,2500.0,2193.9,0.1%,14.1%
Devala APMC,2171.25,2157.86,2088.25,0.6%,4.0%
Dhamngaon-Railway APMC,2155.1,2050.0,-,5.1%,-
Dharangaon APMC,2092.79,2188.91,2062.62,-4.4%,1.5%
Dhule APMC,2363.4,2287.57,2132.09,3.3%,10.8%
Digras APMC,-,-,2134.43,-,-
Dondaicha APMC,2286.46,2362.36,2276.22,-3.2%,0.5%
Dondaicha(Sindhkheda) APMC,2229.57,2226.18,-,0.1%,-
Dound APMC,2262.96,2305.46,2184.21,-1.8%,3.6%
Dudhani APMC,-,2800.0,-,-,-
Gangakhed APMC,2351.85,2348.28,2100.0,0.1%,12.0%
Gangapur APMC,2221.31,2153.87,2220.54,3.1%,-
Gevrai APMC,2410.79,2355.3,2420.58,2.4%,-0.4%
Ghansawangi APMC,2400.0,2375.0,-,1.1%,-
Himalyatnagar APMC,-,-,1694.74,-,-
Hinganghat APMC,2091.02,2134.51,1996.04,-2.0%,4.8%
Hingoli APMC,2588.88,2601.2,-,-0.5%,-
Hingoli(Kanegoan Naka) APMC,2047.44,2061.79,1882.13,-0.7%,8.8%
Indapur(Bhigwan) APMC,2300.0,-,2170.0,-,6.0%
Indapur(Nimgaon Ketki) APMC,-,2350.5,2151.0,-,-
Jafrabad APMC,1920.0,-,2016.36,-,-4.8%
Jalana APMC,2328.45,2404.96,2483.67,-3.2%,-6.2%
Jalgaon APMC,2218.86,2294.0,1998.44,-3.3%,11.0%
Jalgaon(Masawat) APMC,-,2404.76,2044.67,-,-
Jamkhed APMC,2259.21,2291.95,2004.74,-1.4%,12.7%
Jawala-Bajar APMC,-,-,1861.76,-,-
Jintur APMC,2600.0,2500.0,-,4.0%,-
Kada APMC,-,-,2248.33,-,-
Kaij APMC,3013.29,2977.55,2078.61,1.2%,45.0%
Kalamb (Dharashiv) APMC,2829.11,2821.35,2472.01,0.3%,14.4%
Kalmeshwar APMC,-,-,1836.93,-,-
Kalvan APMC,2388.35,2293.64,2100.0,4.1%,13.7%
Kalyan APMC,3300.0,-,-,-,-
Kannad APMC,2494.82,2760.16,2285.25,-9.6%,9.2%
Karanja APMC,2277.7,2130.93,2191.02,6.9%,4.0%
Karjat(Raigad) APMC,2325.0,2339.96,2147.73,-0.6%,8.2%
Karmala APMC,2361.43,2478.38,2232.0,-4.7%,5.8%
Katol APMC,2141.51,2129.41,2027.43,0.6%,5.6%
Khamgaon APMC,2041.81,1976.82,1950.94,3.3%,4.7%
Kille Dharur APMC,3100.21,2821.39,2482.48,9.9%,24.9%
Kopargaon APMC,2208.73,2205.85,2160.9,0.1%,2.2%
Kurdwadi APMC,2633.33,3000.0,2341.67,-12.2%,12.5%
Kurdwadi(Modnimb) APMC,2604.0,2663.64,2313.33,-2.2%,12.6%
Lakhandur APMC,1950.0,2000.0,1888.55,-2.5%,3.2%
Lasalgaon APMC,2276.53,2392.08,2290.03,-4.8%,-0.6%
Lasalgaon(Niphad) APMC,2221.97,2300.54,2167.09,-3.4%,2.5%
Lasalgaon(Vinchur) APMC,1938.55,2246.81,2246.0,-13.7%,-13.7%
Lasur Station APMC,2234.67,2286.49,2170.32,-2.3%,3.0%
Loha APMC,2677.0,2938.5,2339.6,-8.9%,14.4%
Lonar APMC,-,-,2200.0,-,-
Majalgaon APMC,2702.1,2982.61,2584.98,-9.4%,4.5%
Malegaon APMC,2268.56,2309.12,2155.12,-1.8%,5.3%
Malegaon(Vashim) APMC,2200.0,-,-,-,-
Malkapur APMC,2261.68,2389.03,2190.11,-5.3%,3.3%
Mandhal APMC,-,2475.0,2109.8,-,-
Mangal Wedha APMC,2668.75,2762.42,2520.0,-3.4%,5.9%
Mangrulpeer APMC,2196.95,2218.73,2192.5,-1.0%,0.2%
Manmad APMC,2266.67,2207.78,2118.51,2.7%,7.0%
Manora APMC,2207.12,2182.02,2142.66,1.1%,3.0%
Mantha APMC,2479.17,-,2544.12,-,-2.5%
Manwat APMC,2365.38,2366.43,2394.74,-0.0%,-1.2%
Mauda APMC,1975.0,1968.29,1983.57,0.3%,-0.4%
Mehekar APMC,2387.86,2288.52,2617.39,4.3%,-8.8%
Mohol APMC,-,2750.0,-,-,-
Morshi APMC,2198.59,2164.88,2086.68,1.6%,5.4%
Mudkhed APMC,2250.0,-,-,-,-
Mumbai APMC,3788.75,3800.0,2750.0,-0.3%,37.8%
Murtizapur APMC,2400.66,2278.61,2188.94,5.4%,9.7%
Murum APMC,2729.03,2663.88,2258.67,2.5%,20.8%
Nagpur APMC,2645.92,2559.82,2395.62,3.4%,10.4%
Nanded APMC,2319.21,2507.17,2189.5,-7.5%,5.9%
Nandgaon APMC,2485.38,2573.9,2373.47,-3.4%,4.7%
Nandura APMC,2722.91,2632.99,2327.19,3.4%,17.0%
Nandurbar APMC,2333.5,2228.4,2242.29,4.7%,4.1%
Navapur APMC,-,2086.72,-,-,-
Newasa APMC,2207.89,2251.32,2300.0,-1.9%,-4.0%
Nira(Saswad) APMC,3172.97,3050.0,2517.5,4.0%,26.0%
Pachora APMC,2220.5,2211.49,-,0.4%,-
Paithan APMC,2368.84,2360.61,2277.76,0.3%,4.0%
Palghar APMC,3077.13,3183.92,2752.28,-3.4%,11.8%
Pandharpur APMC,-,-,2225.0,-,-
Parali Vaijyanath APMC,2800.0,2000.0,-,40.0%,-
Paranda APMC,2652.5,2541.67,2400.0,4.4%,10.5%
Parbhani APMC,2798.15,2801.85,2407.67,-0.1%,16.2%
Parola APMC,2274.1,2346.59,-,-3.1%,-
Partur APMC,2559.16,2551.41,2413.73,0.3%,6.0%
Pathardi APMC,2057.14,2000.0,2018.18,2.9%,1.9%
Pathari APMC,2224.19,2363.31,2446.73,-5.9%,-9.1%
Patur APMC,2013.48,1946.09,1944.65,3.5%,3.5%
Phaltan APMC,2540.74,2559.09,2418.37,-0.7%,5.1%
Pulgaon APMC,2138.33,2188.92,2067.49,-2.3%,3.4%
Pune APMC,3848.58,4095.84,4146.67,-6.0%,-7.2%
Purna APMC,2401.0,-,-,-,-
Rahata APMC,2211.84,2184.75,2163.48,1.2%,2.2%
Rahuri APMC,-,2041.7,2162.5,-,-
Rahuri(Vambori) APMC,2186.0,2095.46,2279.71,4.3%,-4.1%
Ramtek APMC,2195.0,2058.26,2025.08,6.6%,8.4%
Raver APMC,2058.82,2054.43,2082.25,0.2%,-1.1%
Raver(Sauda) APMC,2185.0,-,-,-,-
Sakri APMC,2213.56,2350.0,-,-5.8%,-
Sangamner APMC,2336.86,2232.86,2066.0,4.7%,13.1%
Sangli APMC,3110.91,3210.47,3115.06,-3.1%,-0.1%
Satana APMC,2280.56,2390.76,2231.76,-4.6%,2.2%
Savner APMC,2285.48,2323.48,2032.83,-1.6%,12.4%
Selu APMC,2160.0,2250.0,1975.25,-4.0%,9.3%
Shahada APMC,2269.06,2205.42,2190.27,2.9%,3.6%
Shegaon APMC,2400.0,2386.67,2144.84,0.6%,11.9%
Shevgaon APMC,2287.69,2258.2,2258.66,1.3%,1.3%
Shevgaon(Bodhegaon) APMC,2255.17,2256.25,2312.5,-0.1%,-2.5%
Shirpur APMC,2327.23,2229.71,2181.79,4.4%,6.7%
Shirur APMC,2306.82,2390.0,1731.62,-3.5%,33.2%
Shrigonda APMC,2295.65,2276.61,2201.67,0.8%,4.3%
Shrigonda(Gogargaon) APMC,2258.33,2294.44,2050.0,-1.6%,10.2%
Shrirampur APMC,2186.4,2213.54,2122.58,-1.2%,3.0%
Shrirampur(Belapur) APMC,2051.61,2025.29,1850.0,1.3%,10.9%
Sillod APMC,2226.88,2348.78,2102.67,-5.2%,5.9%
Sillod(Bharadi) APMC,2116.67,2090.62,2024.24,1.2%,4.6%
Sindi APMC,-,-,1907.74,-,-
Sindi(Selu) APMC,2339.63,2390.37,2057.48,-2.1%,13.7%
Sinner APMC,-,2216.9,2170.0,-,-
Solapur APMC,2624.64,2652.42,2631.45,-1.1%,-0.3%
Sonpeth APMC,2175.0,2581.32,2362.5,-15.7%,-7.9%
Tadkalas APMC,2350.0,-,1856.25,-,26.6%
Taloda APMC,2138.75,2234.73,2123.08,-4.3%,0.7%
