Market,"Arrivals November, 2023 (Metric Tonnes)","Arrivals October, 2023 (Metric Tonnes)","Arrivals November, 2022 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,550.0,221.0,189.0,148.9%,191.0%
Ahmednagar APMC,116.0,75.0,103.0,54.7%,12.6%
Akkalkot APMC,1.0,3.620266999093457,4.358085865350274,-,-
Akola APMC,108.0,188.0,167.0,-42.5%,-35.3%
Akot APMC,5.0,8.908140190097198,7.7064299422204146,-,-
Amalner APMC,79.0,190.0,99.0,-58.4%,-20.2%
Amarawati APMC,62.0,193.0,86.0,-67.9%,-27.9%
Ambad (Vadigodri) APMC,58.0,68.0,60.0,-14.7%,-3.3%
Ambejaogai APMC,158.63142698846244,247.52492931630294,1.0,-,-
Anajngaon APMC,32.0,61.0,14.0,-47.5%,128.6%
Ashti(Jalna) APMC,1.0,1.0,2.0,-,-50.0%
Ashti(Karanja) APMC,160.18029423285378,249.1371733294761,4.0,-,-
Aurad Shahajani APMC,2.0,1.0,7.449096559420338,100.0%,-
Ausa APMC,3.7635665431014615,8.0,6.0,-,-
BSK Krishi Bazar Private Ltd APMC,0.5,1.7,4.659522378779342,-70.6%,-
Balapur APMC,162.76173964017272,251.82424668476474,9.0,-,-
Baramati APMC,292.0,406.0,149.0,-28.1%,96.0%
Barshi APMC,19.0,23.0,15.0,-17.4%,26.7%
Barshi(Vairag) APMC,1.0,10.0,6.0,-90.0%,-83.3%
Beed APMC,23.0,22.0,54.0,4.5%,-57.4%
Bhandara APMC,3.0,5.0,6.755050802062248,-40.0%,-
Bhokar APMC,3.0,12.0,3.0,-75.0%,-
Bhokardan APMC,13.0,30.0,46.0,-56.7%,-71.7%
Bhokardan(Pimpalgaon Renu) APMC,1.0,20.0,-5.006825561370377,-95.0%,-
Bhusaval APMC,5.0,8.908140190097198,7.7064299422204146,-,-
Buldhana(Dhad) APMC,167.0,12.0,263.98933585266485,1291.7%,-
Chalisgaon APMC,30.0,47.0,43.0,-36.2%,-30.2%
Chandur Bazar APMC,33.0,41.0,28.0,-19.5%,17.9%
Chandur Railway APMC,-1.6813566228811287,1.0,1.5850445328709664,-,-
Chattrapati Sambhajinagar APMC,44.0,89.0,82.0,-50.6%,-46.3%
Chikali APMC,60.0,81.0,65.0,-25.9%,-7.7%
Chopada APMC,14.0,25.0,2.0,-44.0%,600.0%
Daryapur APMC,8.895262833069639,15.0,10.428268156040001,-,-
Deoulgaon Raja APMC,16.0,17.0,27.0,-5.9%,-40.7%
Devala APMC,1.0,5.0,5.0,-80.0%,-80.0%
Dhamngaon-Railway APMC,2.9643036115668906,6.0,9.0,-,-
Dharangaon APMC,-0.9714385342471166,2.0,1.0,-,-
Dhule APMC,182.0,164.0,208.0,11.0%,-12.5%
Digras APMC,17.0,108.0,8.0,-84.3%,112.5%
Dondaicha APMC,197.0,290.0,216.0,-32.1%,-8.8%
Dondaicha(Sindhkheda) APMC,3.0,5.0,6.755050802062248,-40.0%,-
Dound APMC,43.0,80.0,27.0,-46.2%,59.3%
Dudhani APMC,2.0,4.942235296844392,5.195171884567809,-,-
Fulmbri APMC,59.0,258.0,-48.691905891134894,-77.1%,-
Gangakhed APMC,188.0599046318985,278.15756556659375,58.0,-,-
Gangapur APMC,41.0,49.0,58.0,-16.3%,-29.3%
Gevrai APMC,107.0,266.0,77.0,-59.8%,39.0%
Ghansawangi APMC,2.0960074685298595,6.0,4.743338684002765,-,-
Himalyatnagar APMC,179.79927932847778,269.55893082966986,42.0,-,-
Hinganghat APMC,60.0,172.0,116.0,-65.1%,-48.3%
Hingoli APMC,48.0,60.0,39.0,-20.0%,23.1%
Hingoli(Kanegoan Naka) APMC,5.11789874165865,10.0,7.269974004908204,-,-
Indapur APMC,162.2454505587089,251.28683201370697,8.0,-,-
Indapur(Bhigwan) APMC,1.0,0.6303639993603203,26.0,-,-96.2%
Indapur(Nimgaon Ketki) APMC,158.63142698846244,247.52492931630294,1.0,-,-
Jai Gajanan Krishi Bazar APMC,1.129002261128646,4.72,3.934815381313024,-,-
Jalana APMC,480.0,786.0,687.0,-38.9%,-30.1%
Jalgaon APMC,1.0,4.0,1.0,-75.0%,-
Jalgaon Jamod(Aasalgaon) APMC,26.0,53.0,15.948458671458692,-50.9%,-
Jalgaon(Masawat) APMC,1.0,8.0,1.8540272446203039,-87.5%,-
Jamkhed APMC,29.0,21.0,67.0,38.1%,-56.7%
Kada APMC,26.0,66.0,8.515868131635457,-60.6%,-
Kaij APMC,170.50607586212953,259.8854667506307,24.0,-,-
Kalamb (Dharashiv) APMC,31.0,34.0,33.0,-8.8%,-6.1%
Kalvan APMC,2.0,8.0,3.4469324225924414,-75.0%,-
Kalyan APMC,1.0,3.620266999093457,4.358085865350274,-,-
Kandhar APMC,1.0,2.4949406002338463,12.0,-,-91.7%
Kannad APMC,26.0,42.0,37.0,-38.1%,-29.7%
Karanja APMC,532.0,677.0,262.0,-21.4%,103.0%
Karjat(Raigad) APMC,60.0,96.0,30.0,-37.5%,100.0%
Karmala APMC,8.0,11.0,4.0,-27.3%,100.0%
Katol APMC,40.0,110.0,39.0,-63.6%,2.6%
Khamgaon APMC,94.0,275.0,157.0,-65.8%,-40.1%
Kille Dharur APMC,4.0,17.0,3.0,-76.5%,33.3%
Kisan Market Yard APMC,6.29,7.2,10.737885823158958,-12.6%,-
Kopargaon APMC,103.0,274.0,90.0,-62.4%,14.4%
Kurdwadi(Modnimb) APMC,3.0,10.0,4.0,-70.0%,-25.0%
Lasalgaon APMC,108.0,186.0,135.0,-41.9%,-20.0%
Lasalgaon(Niphad) APMC,119.0,172.0,76.0,-30.8%,56.6%
Lasalgaon(Vinchur) APMC,21.0,74.0,42.0,-71.6%,-50.0%
Lasur Station APMC,206.0,302.0,380.0,-31.8%,-45.8%
Loha APMC,3.0,8.0,4.0,-62.5%,-25.0%
Lonar APMC,97.0,143.0,147.0,-32.2%,-34.0%
"Mahesh Krushi Utpanna Bazar, Digras APMC",-1.3338391264713176,1.46,1.8756075947750923,-,-
Majalgaon APMC,28.0,27.0,8.0,3.7%,250.0%
Malegaon APMC,86.0,103.0,94.0,-16.5%,-8.5%
Malegaon(Vashim) APMC,2.0960074685298595,6.0,4.743338684002765,-,-
Malkapur APMC,193.0,290.0,249.0,-33.5%,-22.5%
Mangal Wedha APMC,6.0,6.0,5.0,-,20.0%
Mangrulpeer APMC,77.0,94.0,25.0,-18.1%,208.0%
Manmad APMC,5.0,5.0,17.0,-,-70.6%
Manora APMC,3.0,14.0,1.0,-78.6%,200.0%
Mantha APMC,5.0,18.0,11.0,-72.2%,-54.5%
Manwat APMC,2.0,7.0,1.0,-71.4%,100.0%
Mehekar APMC,86.0,54.0,43.0,59.3%,100.0%
Morshi APMC,70.0,82.0,67.0,-14.6%,4.5%
Mudkhed APMC,1.0,3.620266999093457,4.358085865350274,-,-
Mumbai APMC,11590.0,15522.0,7460.0,-25.3%,55.4%
Murtizapur APMC,20.0,92.0,30.0,-78.3%,-33.3%
Murum APMC,3.0,6.69369218867882,2.0,-,50.0%
Nagpur APMC,553.0,500.0,777.0,10.6%,-28.8%
Nanded APMC,11.0,15.0,5.0,-26.7%,120.0%
Nandgaon APMC,21.0,43.0,34.0,-51.2%,-38.2%
Nandgaon Khandeshwar APMC,2.0,6.0,1.0,-66.7%,100.0%
Nandura APMC,25.0,41.0,49.0,-39.0%,-49.0%
Nandurbar APMC,35.0,68.0,116.0,-48.5%,-69.8%
Navapur APMC,59.0,31.0,81.09255968885549,90.3%,-
Newasa APMC,8.895262833069639,15.0,10.428268156040001,-,-
Nira(Saswad) APMC,8.0,7.0,8.0,14.3%,-
