,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - October, 2023",,
Market,"Prices October, 2023 (Rs./Quintal)","Prices September, 2023 (Rs./Quintal)","Prices October, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Aarni APMC,-,2200.0,-,-,-
Achalpur APMC,2463.12,2396.76,2327.02,2.8%,5.8%
Ahmednagar APMC,2389.33,2496.43,2393.47,-4.3%,-0.2%
Akhadabalapur APMC,-,2350.0,1900.0,-,-
Akola APMC,2480.35,2496.93,2451.83,-0.7%,1.2%
Akot APMC,-,2418.53,-,-,-
Amalner APMC,2781.12,2658.99,2446.64,4.6%,13.7%
Amarawati APMC,2487.25,2495.7,2389.33,-0.3%,4.1%
Ambad (Vadigodri) APMC,2353.43,2373.18,2353.6,-0.8%,-0.0%
Ambejaogai APMC,-,-,2950.0,-,-
Anajngaon APMC,2377.15,2361.29,2185.29,0.7%,8.8%
Ashti(Jalna) APMC,2350.0,-,2500.0,-,-6.0%
Ashti(Karanja) APMC,-,-,2190.0,-,-
Aurad Shahajani APMC,2475.0,2353.75,2250.0,5.2%,10.0%
Ausa APMC,2531.0,2536.33,2484.0,-0.2%,1.9%
BSK Krishi Bazar Private Ltd APMC,2231.88,2220.0,-,0.5%,-
Babhulgaon APMC,-,2350.0,-,-,-
Balapur APMC,-,2362.5,2214.29,-,-
Baramati APMC,2481.58,2472.88,2392.95,0.3%,3.7%
Barshi APMC,2636.96,2711.54,2421.43,-2.8%,8.9%
Barshi(Vairag) APMC,2480.9,2184.0,2175.0,13.6%,14.1%
Beed APMC,2624.0,2482.75,2502.28,5.7%,4.9%
Bhandara APMC,2496.0,2525.0,2300.0,-1.1%,8.5%
Bhokar APMC,2190.5,2146.78,2007.6,2.0%,9.1%
Bhokardan APMC,2273.33,2283.68,2308.75,-0.5%,-1.5%
Bhokardan(Pimpalgaon Renu) APMC,2312.5,2204.17,-,4.9%,-
Bori APMC,-,-,1780.0,-,-
Buldhana(Dhad) APMC,2383.33,-,-,-,-
Chakur APMC,-,2061.5,-,-,-
Chalisgaon APMC,2430.87,2304.4,2234.87,5.5%,8.8%
Chandur Bazar APMC,2277.8,2295.45,2188.09,-0.8%,4.1%
Chandur Railway APMC,2405.0,2411.0,-,-0.2%,-
Chattrapati Sambhajinagar APMC,2554.03,2661.29,2455.57,-4.0%,4.0%
Chikali APMC,2365.47,2356.56,2151.11,0.4%,10.0%
Chopada APMC,2555.36,2464.85,2346.9,3.7%,8.9%
Daryapur APMC,2500.0,2265.0,-,10.4%,-
