Market,"Arrivals October, 2023 (Metric Tonnes)","Arrivals September, 2023 (Metric Tonnes)","Arrivals October, 2022 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Aarni APMC,6.656964090560448,7.0,-3.253523566236699,-,-
Achalpur APMC,221.0,162.0,240.0,36.4%,-7.9%
Ahmednagar APMC,75.0,14.0,95.0,435.7%,-21.1%
Akhadabalapur APMC,5.543857270098853,3.0,1.0,-,-
Akola APMC,188.0,189.0,134.0,-0.5%,40.3%
Akot APMC,18.29569080939541,17.0,6.825302077676994,-,-
Amalner APMC,190.0,103.0,151.0,84.5%,25.8%
Amarawati APMC,193.0,281.0,118.0,-31.3%,63.6%
Ambad (Vadigodri) APMC,68.0,39.0,42.0,74.4%,61.9%
Ambejaogai APMC,60.668012630065284,76.17711017758616,1.0,-,-
Anajngaon APMC,61.0,31.0,17.0,96.8%,258.8%
Ashti(Jalna) APMC,1.0,-0.9419545372985455,1.0,-,-
Ashti(Karanja) APMC,64.59615261240245,79.21690539981822,5.0,-,-
Aurad Shahajani APMC,1.0,4.0,2.0,-75.0%,-50.0%
Ausa APMC,8.0,6.0,1.0,33.3%,700.0%
BSK Krishi Bazar Private Ltd APMC,1.7,0.9,-6.562238444058721,88.9%,-
Babhulgaon APMC,-0.3262719407405279,1.0,-9.300818952584914,-,-
Balapur APMC,17.501691019130625,8.0,21.0,-,-
Baramati APMC,406.0,153.0,177.0,165.4%,129.4%
Barshi APMC,23.0,13.0,14.0,76.9%,64.3%
Barshi(Vairag) APMC,10.0,3.0,3.0,233.3%,233.3%
Beed APMC,22.0,8.0,39.0,175.0%,-43.6%
Bhandara APMC,5.0,4.0,2.0,25.0%,150.0%
Bhokar APMC,12.0,9.0,5.0,33.3%,140.0%
Bhokardan APMC,30.0,19.0,64.0,57.9%,-53.1%
Bhokardan(Pimpalgaon Renu) APMC,20.0,12.0,11.755967911863031,66.7%,-
Bori APMC,62.63208262123384,77.69700778870215,3.0,-,-
Buldhana(Dhad) APMC,12.0,10.696351341648233,1.8513957809683355,-,-
Chakur APMC,0.8376007311429681,2.0,-8.292936388193544,-,-
Chalisgaon APMC,47.0,25.0,23.0,88.0%,104.3%
Chandur Bazar APMC,41.0,53.0,44.0,-22.6%,-6.8%
Chandur Railway APMC,1.0,1.0,-7.543294886950299,-,-
Chattrapati Sambhajinagar APMC,89.0,82.0,106.0,8.5%,-16.0%
Chikali APMC,81.0,71.0,80.0,14.1%,1.2%
Chopada APMC,25.0,13.0,10.0,92.3%,150.0%
