,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - September, 2023",,
Market,"Arrivals September, 2023 (Metric Tonnes)","Arrivals August, 2023 (Metric Tonnes)","Arrivals September, 2022 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Aarni APMC,7.0,-,-,-,-
Achalpur APMC,162.0,108.0,571.0,50.0%,-71.6%
Ahmednagar APMC,14.0,124.0,25.0,-88.7%,-44.0%
Akhadabalapur APMC,3.0,7.0,15.0,-57.1%,-80.0%
Akkalkot APMC,-,2.0,-,-,-
Akola APMC,189.0,272.0,191.0,-30.5%,-1.1%
Akot APMC,17.0,-,-,-,-
Amalner APMC,103.0,265.0,140.0,-61.1%,-26.4%
Amarawati APMC,281.0,367.0,110.0,-23.4%,155.4%
Ambad (Vadigodri) APMC,39.0,66.0,-,-40.9%,-
Ambejaogai APMC,-,-,1.0,-,-
Anajngaon APMC,31.0,72.0,11.0,-56.9%,181.8%
Aurad Shahajani APMC,4.0,3.0,1.0,33.3%,300.0%
Ausa APMC,6.0,4.0,2.0,50.0%,200.0%
BSK Krishi Bazar Private Ltd APMC,0.9,2.6,-,-65.4%,-
Babhulgaon APMC,1.0,6.0,-,-83.3%,-
Balapur APMC,8.0,13.0,16.0,-38.5%,-50.0%
Baramati APMC,153.0,474.0,188.0,-67.7%,-18.6%
Barshi APMC,13.0,51.0,9.0,-74.5%,44.4%
Barshi(Vairag) APMC,3.0,6.0,9.0,-50.0%,-66.7%
Beed APMC,8.0,286.0,32.0,-97.2%,-75.0%
Bhandara APMC,4.0,5.0,2.0,-20.0%,100.0%
Bhokar APMC,9.0,13.0,6.0,-30.8%,50.0%
Bhokardan APMC,19.0,15.0,32.0,26.7%,-40.6%
Bhokardan(Pimpalgaon Renu) APMC,12.0,23.0,4.0,-47.8%,200.0%
Bori APMC,-,-,4.0,-,-
Chakur APMC,2.0,3.0,-,-33.3%,-
Chalisgaon APMC,25.0,69.0,39.0,-63.8%,-35.9%
Chandur Bazar APMC,53.0,43.0,78.0,23.3%,-32.0%
Chandur Railway APMC,1.0,-,-,-,-
Chattrapati Sambhajinagar APMC,82.0,101.0,69.0,-18.8%,18.8%
Chikali APMC,71.0,72.0,62.0,-1.4%,14.5%
Chopada APMC,13.0,11.0,16.0,18.2%,-18.8%
Daryapur APMC,15.0,-,-,-,-
Deoulgaon Raja APMC,33.0,26.0,17.0,26.9%,94.1%
Devala APMC,1.0,2.0,-,-50.0%,-
