,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - September, 2023",,
Market,"Prices September, 2023 (Rs./Quintal)","Prices August, 2023 (Rs./Quintal)","Prices September, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Aarni APMC,2200.0,-,-,-,-
Achalpur APMC,2396.76,2376.85,2273.86,0.8%,5.4%
Ahmednagar APMC,2496.43,2503.02,2304.08,-0.3%,8.3%
Akhadabalapur APMC,2350.0,2278.57,1906.67,3.1%,23.2%
Akkalkot APMC,-,2900.0,-,-,-
Akola APMC,2496.93,2446.62,2537.29,2.1%,-1.6%
Akot APMC,2418.53,-,-,-,-
Amalner APMC,2658.99,2682.22,2389.37,-0.9%,11.3%
Amarawati APMC,2495.7,2486.47,2369.02,0.4%,5.3%
Ambad (Vadigodri) APMC,2373.18,2287.89,-,3.7%,-
Ambejaogai APMC,-,-,2200.0,-,-
Anajngaon APMC,2361.29,2309.72,2281.82,2.2%,3.5%
Aurad Shahajani APMC,2353.75,2465.0,2110.0,-4.5%,11.6%
Ausa APMC,2536.33,2486.5,2592.5,2.0%,-2.2%
BSK Krishi Bazar Private Ltd APMC,2220.0,2128.42,-,4.3%,-
Babhulgaon APMC,2350.0,2400.0,-,-2.1%,-
Balapur APMC,2362.5,2390.77,2162.5,-1.2%,9.2%
Baramati APMC,2472.88,2426.13,2405.83,1.9%,2.8%
Barshi APMC,2711.54,2542.43,2533.33,6.7%,7.0%
Barshi(Vairag) APMC,2184.0,2283.67,2333.44,-4.4%,-6.4%
Beed APMC,2482.75,2383.58,2473.12,4.2%,0.4%
Bhandara APMC,2525.0,2342.0,2100.0,7.8%,20.2%
Bhokar APMC,2146.78,2122.0,2128.67,1.2%,0.8%
Bhokardan APMC,2283.68,2186.67,2314.06,4.4%,-1.3%
Bhokardan(Pimpalgaon Renu) APMC,2204.17,2160.87,2200.0,2.0%,0.2%
Bori APMC,-,-,1900.0,-,-
Chakur APMC,2061.5,2393.67,-,-13.9%,-
Chalisgaon APMC,2304.4,2429.28,2209.62,-5.1%,4.3%
Chandur Bazar APMC,2295.45,2303.26,2187.6,-0.3%,4.9%
Chandur Railway APMC,2411.0,-,-,-,-
Chattrapati Sambhajinagar APMC,2661.29,2498.07,2342.22,6.5%,13.6%
Chikali APMC,2356.56,2200.68,2098.29,7.1%,12.3%
Chopada APMC,2464.85,2484.0,2262.38,-0.8%,8.9%
Daryapur APMC,2265.0,-,-,-,-
Deoulgaon Raja APMC,2446.97,2423.08,2276.47,1.0%,7.5%
Devala APMC,2390.0,2465.0,-,-3.0%,-
Dhamngaon-Railway APMC,2450.51,2438.16,-,0.5%,-
Dharangaon APMC,2775.88,2260.0,2351.86,22.8%,18.0%
Dharni APMC,2000.0,1950.0,-,2.6%,-
Dhule APMC,2681.34,2524.41,2307.32,6.2%,16.2%
Digras APMC,2540.65,2515.0,2250.0,1.0%,12.9%
Dondaicha APMC,2716.76,2612.98,2364.59,4.0%,14.9%
Dondaicha(Sindhkheda) APMC,2486.6,2348.6,2271.0,5.9%,9.5%
Dound APMC,2406.67,2426.73,2257.36,-0.8%,6.6%
Dudhani APMC,-,2780.0,-,-,-
Fulmbri APMC,2550.0,2327.71,-,9.6%,-
Gangakhed APMC,2342.86,2311.11,2200.0,1.4%,6.5%
Gangapur APMC,2536.42,2495.56,2362.4,1.6%,7.4%
Gevrai APMC,2643.82,2593.41,2549.17,1.9%,3.7%
Ghansawangi APMC,2400.0,2413.89,2438.46,-0.6%,-1.6%
Hinganghat APMC,2415.14,2396.4,2222.59,0.8%,8.7%
Hingoli APMC,2426.97,2433.9,2096.14,-0.3%,15.8%
Hingoli(Kanegoan Naka) APMC,-,2068.75,2094.29,-,-
Indapur APMC,-,-,1957.12,-,-
Indapur(Bhigwan) APMC,-,-,2235.53,-,-
Indapur(Nimgaon Ketki) APMC,-,-,2221.0,-,-
Jafrabad APMC,-,-,2300.0,-,-
Jai Gajanan Krishi Bazar APMC,-,2272.87,-,-,-
Jalana APMC,2499.61,2480.24,2399.06,0.8%,4.2%
Jalgaon APMC,2413.87,2410.0,2266.67,0.2%,6.5%
Jalgaon Jamod(Aasalgaon) APMC,2300.0,-,-,-,-
Jalgaon(Masawat) APMC,-,-,2411.0,-,-
Jamkhed APMC,2308.57,2282.76,2093.52,1.1%,10.3%
Jintur APMC,-,2000.0,-,-,-
Kada APMC,2925.0,2582.35,-,13.3%,-
Kaij APMC,2552.63,2597.25,2501.88,-1.7%,2.0%
