Market,"Arrivals September, 2023 (Metric Tonnes)","Arrivals August, 2023 (Metric Tonnes)","Arrivals September, 2022 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Aarni APMC,7.0,13.47471647482056,10.043842650153696,-,-
Achalpur APMC,162.0,108.0,571.0,50.0%,-71.6%
Ahmednagar APMC,14.0,124.0,25.0,-88.7%,-44.0%
Akhadabalapur APMC,3.0,7.0,15.0,-57.1%,-80.0%
Akkalkot APMC,-2.2469400696353796,2.0,3.746327789673739,-,-
Akola APMC,189.0,272.0,191.0,-30.5%,-1.1%
Akot APMC,17.0,26.461745768395414,17.16490238605271,-,-
Amalner APMC,103.0,265.0,140.0,-61.1%,-26.4%
Amarawati APMC,281.0,367.0,110.0,-23.4%,155.4%
Ambad (Vadigodri) APMC,39.0,66.0,38.72781004279582,-40.9%,-
Ambejaogai APMC,14.482283058275154,23.91906282621791,1.0,-,-
Anajngaon APMC,31.0,72.0,11.0,-56.9%,181.8%
Aurad Shahajani APMC,4.0,3.0,1.0,33.3%,300.0%
Ausa APMC,6.0,4.0,2.0,50.0%,200.0%
BSK Krishi Bazar Private Ltd APMC,0.9,2.6,4.112439595718579,-65.4%,-
Babhulgaon APMC,1.0,6.0,5.9419194315523,-83.3%,-
Balapur APMC,8.0,13.0,16.0,-38.5%,-50.0%
Baramati APMC,153.0,474.0,188.0,-67.7%,-18.6%
Barshi APMC,13.0,51.0,9.0,-74.5%,44.4%
Barshi(Vairag) APMC,3.0,6.0,9.0,-50.0%,-66.7%
Beed APMC,8.0,286.0,32.0,-97.2%,-75.0%
Bhandara APMC,4.0,5.0,2.0,-20.0%,100.0%
Bhokar APMC,9.0,13.0,6.0,-30.8%,50.0%
Bhokardan APMC,19.0,15.0,32.0,26.7%,-40.6%
Bhokardan(Pimpalgaon Renu) APMC,12.0,23.0,4.0,-47.8%,200.0%
Bori APMC,18.37825490637003,28.99381024804535,4.0,-,-
Chakur APMC,2.0,3.0,4.342717352222215,-33.3%,-
Chalisgaon APMC,25.0,69.0,39.0,-63.8%,-35.9%
Chandur Bazar APMC,53.0,43.0,78.0,23.3%,-32.0%
Chandur Railway APMC,1.0,5.682498898675649,5.771206808614288,-,-
Chattrapati Sambhajinagar APMC,82.0,101.0,69.0,-18.8%,18.8%
Chikali APMC,71.0,72.0,62.0,-1.4%,14.5%
Chopada APMC,13.0,11.0,16.0,18.2%,-18.8%
Daryapur APMC,15.0,23.864339909680442,15.740690438872909,-,-
Deoulgaon Raja APMC,33.0,26.0,17.0,26.9%,94.1%
Devala APMC,1.0,2.0,3.7912166815342143,-50.0%,-
Dhamngaon-Railway APMC,39.0,38.0,23.672890792669214,2.6%,-
Dharangaon APMC,8.0,5.0,7.0,60.0%,14.3%
Dharni APMC,100.0,30.0,20.2148092668253,233.3%,-
Dhule APMC,191.0,358.0,154.0,-46.6%,24.0%
Digras APMC,46.0,3.0,4.0,1433.3%,1050.0%
Dondaicha APMC,274.0,433.0,296.0,-36.7%,-7.4%
Dondaicha(Sindhkheda) APMC,5.0,5.0,1.0,-,400.0%
Dound APMC,45.0,62.0,14.0,-27.4%,221.4%
Dudhani APMC,-3.014378487074426,1.0,3.1980422789537664,-,-
Fulmbri APMC,30.0,83.0,47.74387188172137,-63.9%,-
Gangakhed APMC,7.0,9.0,30.0,-22.2%,-76.7%
Gangapur APMC,19.0,36.0,25.0,-47.2%,-24.0%
Gevrai APMC,144.0,198.0,48.0,-27.3%,200.0%
Ghansawangi APMC,5.0,18.0,13.0,-72.2%,-61.5%
Hinganghat APMC,110.0,161.0,162.0,-31.7%,-32.1%
Hingoli APMC,40.0,93.0,43.0,-57.0%,-7.0%
Hingoli(Kanegoan Naka) APMC,5.82685027825516,12.0,70.0,-,-
Indapur APMC,23.572884037163213,35.76014014381527,8.0,-,-
Indapur(Bhigwan) APMC,37.85811414684443,54.36754735718253,19.0,-,-
Indapur(Nimgaon Ketki) APMC,15.780940340973448,25.610645300160392,2.0,-,-
Jafrabad APMC,70.32454621430176,96.65710920574452,44.0,-,-
Jai Gajanan Krishi Bazar APMC,3.4321042194135645,9.4,7.803640569001536,-,-
Jalana APMC,669.0,983.0,517.0,-31.9%,29.4%
Jalgaon APMC,30.0,5.0,3.0,500.0%,900.0%
Jalgaon Jamod(Aasalgaon) APMC,36.0,51.137101426187634,30.694915884260844,-,-
Jalgaon(Masawat) APMC,14.482283058275154,23.91906282621791,1.0,-,-
Jamkhed APMC,35.0,29.0,54.0,20.7%,-35.2%
Jintur APMC,-3.014378487074426,1.0,3.1980422789537664,-,-
Kada APMC,12.0,17.0,12.008426809120312,-29.4%,-
Kaij APMC,19.0,28.0,25.0,-32.1%,-24.0%
Kalamb (Dharashiv) APMC,44.0,76.0,17.0,-42.1%,158.8%
Kalvan APMC,2.0,6.0,5.95574441473578,-66.7%,-
Kalyan APMC,4.660005687316039,11.0,8.680897386153493,-,-
Kannad APMC,16.0,61.0,37.0,-73.8%,-56.8%
Karanja APMC,711.0,894.0,313.0,-20.5%,127.2%
Karjat(Raigad) APMC,47.0,89.0,17.0,-47.2%,176.5%
Karmala APMC,9.0,19.0,8.0,-52.6%,12.5%
Katol APMC,52.0,45.0,41.0,15.6%,26.8%
Khamgaon APMC,492.0,686.0,346.0,-28.3%,42.2%
Kille Dharur APMC,7.0,6.0,5.0,16.7%,40.0%
Kisan Market Yard APMC,1.77,10.66,8.45813337237465,-83.4%,-
Kopargaon APMC,107.0,98.0,60.0,9.2%,78.3%
Kurdwadi APMC,2.0,3.0,4.342717352222215,-33.3%,-
Kurdwadi(Modnimb) APMC,3.0,5.0,2.0,-40.0%,50.0%
Lasalgaon APMC,49.0,157.0,85.0,-68.8%,-42.4%
Lasalgaon(Niphad) APMC,36.0,101.0,25.0,-64.4%,44.0%
Lasalgaon(Vinchur) APMC,30.0,12.0,18.0,150.0%,66.7%
Lasur Station APMC,176.0,264.0,222.0,-33.3%,-20.7%
Latur APMC,198.5322179843901,262.0,337.0,-,-
Loha APMC,10.0,13.0,12.0,-23.1%,-16.7%
Lonar APMC,73.0,161.0,210.0,-54.7%,-65.2%
"Mahesh Krushi Utpanna Bazar, Digras APMC",5.66,11.73445454948153,9.089620645543228,-,-
Majalgaon APMC,47.0,69.0,7.0,-31.9%,571.4%
Malegaon APMC,38.0,105.0,50.0,-63.8%,-24.0%
Malegaon(Vashim) APMC,5.0,3.0,1.0,66.7%,400.0%
Malkapur APMC,337.0,363.0,279.0,-7.2%,20.8%
Mangal Wedha APMC,5.0,17.0,3.0,-70.6%,66.7%
Mangrulpeer APMC,106.0,155.0,41.0,-31.6%,158.5%
Manmad APMC,2.0,6.0,7.0,-66.7%,-71.4%
Manora APMC,27.0,69.0,13.0,-60.9%,107.7%
Mantha APMC,14.0,8.0,12.0,75.0%,16.7%
Manwat APMC,1.0,15.0,4.0,-93.3%,-75.0%
Mehekar APMC,51.0,77.0,16.0,-33.8%,218.8%
Morshi APMC,50.0,103.0,44.0,-51.5%,13.6%
Mumbai APMC,12920.0,15772.0,8840.0,-18.1%,46.1%
Murtizapur APMC,63.0,95.0,58.0,-33.7%,8.6%
Murum APMC,6.0,2.0,1.0,200.0%,500.0%
Nagpur APMC,660.0,932.0,618.0,-29.2%,6.8%
Nanded APMC,6.0,22.0,4.0,-72.7%,50.0%
Nandgaon APMC,7.0,32.0,27.0,-78.1%,-74.1%
Nandgaon Khandeshwar APMC,3.0,9.772969043600654,9.0,-,-66.7%
Nandura APMC,40.0,45.0,39.0,-11.1%,2.6%
Nandurbar APMC,19.0,81.0,57.0,-76.5%,-66.7%
Navapur APMC,0.055375182681760116,5.0,5.391184321833657,-,-
Newasa APMC,7.0,8.0,7.10022070566222,-12.5%,-
Nilanga APMC,-3.014378487074426,1.0,3.1980422789537664,-,-
Nira(Saswad) APMC,0.8465426767383013,6.0,9.0,-,-
Om Chaitanya Multistate Agro Purpose CoOp Society  APMC,6.98,9.64,7.981732333505967,-27.6%,-
Pachora APMC,67.0,59.0,35.351179759401596,13.6%,-
Paithan APMC,78.0,157.0,37.0,-50.3%,110.8%
Palghar APMC,152.0,50.0,64.0,204.0%,137.5%
Pandharpur APMC,15.780940340973448,25.610645300160392,2.0,-,-
Parali Vaijyanath APMC,3.0,3.0,4.356542335405695,-,-
Paranda APMC,1.0,5.682498898675649,5.771206808614288,-,-
Parbhani APMC,59.0,31.0,94.0,90.3%,-37.2%
Parola APMC,19.0,32.0,14.0,-40.6%,35.7%
Partur APMC,2.0,17.0,14.0,-88.2%,-85.7%
Pathardi APMC,11.0,12.0,7.0,-8.3%,57.1%
Pathari APMC,4.0,23.0,2.0,-82.6%,100.0%
Patur APMC,28.0,34.0,33.0,-17.6%,-15.2%
Phaltan APMC,51.287941314453626,72.0,13.0,-,-
Pune APMC,1065.0,1064.0,664.0,0.1%,60.4%
Purna APMC,-3.0248805395194207,1.0,1.0,-,-
Pusad APMC,302.0,489.0,269.80059643446356,-38.2%,-
Rahata APMC,55.0,69.0,10.0,-20.3%,450.0%
Rahuri APMC,23.01827536988271,35.0,12.0,-,-
Rahuri(Vambori) APMC,21.0,48.0,7.0,-56.2%,200.0%
Ramtek APMC,11.0,11.0,61.0,-,-82.0%
Raver APMC,61.0,46.0,28.0,32.6%,117.9%
Raver(Sauda) APMC,-2.2469400696353796,2.0,3.746327789673739,-,-
Sakri APMC,4.0,8.0,4.0,-50.0%,-
Sangamner APMC,-2.195914226367803,2.0,11.0,-,-
Sangli APMC,224.0,739.0,641.0,-69.7%,-65.0%
Sangrampur(Varvatbakal) APMC,22.0,21.001072777489256,2.0,-,1000.0%
Satana APMC,13.0,38.0,10.0,-65.8%,30.0%
Savner APMC,41.0,59.0,10.0,-30.5%,310.0%
Selu APMC,3.0,4.521459574917779,1.0,-,200.0%
Shahada APMC,52.0,57.0,26.0,-8.8%,100.0%
Shegaon APMC,3.0,7.0,23.0,-57.1%,-87.0%
Shekari Krushi Khajgi Bazar APMC,0.68,5.266913961281253,5.543332897065518,-,-
Shevgaon APMC,128.0,147.0,51.0,-12.9%,151.0%
Shevgaon(Bodhegaon) APMC,28.0,41.0,11.0,-31.7%,154.6%
Shirpur APMC,47.0,108.0,63.0,-56.5%,-25.4%
Shirur APMC,-2.9923319264836623,1.0,6.0,-,-
Shree Salasar Krushi Bazar  APMC,-3.628329221025663,0.2,2.7594138703777884,-,-
Shrigonda APMC,6.0,10.0,6.0,-40.0%,-
Shrirampur APMC,11.0,25.0,8.0,-56.0%,37.5%
Shrirampur(Belapur) APMC,1.0,12.0,6.0,-91.7%,-83.3%
