,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - April, 2025",,
Market,"Prices April, 2025 (Rs./Quintal)","Prices March, 2025 (Rs./Quintal)","Prices April, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Aarni APMC,-,2500.0,-,-,-
Achalpur APMC,2663.16,2695.76,2386.92,-1.2%,11.6%
Ahmednagar APMC,2593.1,2668.86,2517.59,-2.8%,3.0%
Ahmedpur APMC,2523.24,-,-,-,-
Akhadabalapur APMC,-,-,2547.18,-,-
Akkalkot APMC,3400.0,-,-,-,-
Akkalkuwa APMC,2670.0,-,-,-,-
Akluj APMC,2727.4,2767.83,-,-1.5%,-
Akola APMC,3021.03,2605.61,2807.38,15.9%,7.6%
Akot APMC,2782.8,-,-,-,-
Amalner APMC,2681.9,2805.32,2824.44,-4.4%,-5.0%
Amarawati APMC,2911.52,2891.74,2594.46,0.7%,12.2%
Ambad (Vadigodri) APMC,2634.4,2588.16,-,1.8%,-
Ambejaogai APMC,3020.59,-,-,-,-
Anajngaon APMC,1982.44,2070.13,2374.31,-4.2%,-16.5%
Arvi APMC,2470.06,-,-,-,-
Ashti(Jalna) APMC,-,2470.0,-,-,-
Ashti(Karanja) APMC,2485.42,2518.78,2303.85,-1.3%,7.9%
Aurad Shahajani APMC,2590.64,2573.75,2942.24,0.7%,-11.9%
Ausa APMC,2602.65,2539.43,2746.4,2.5%,-5.2%
BSK Krishi Bazar Private Ltd APMC,2524.99,2582.61,2225.84,-2.2%,13.4%
Babhulgaon APMC,2450.0,2467.65,2279.64,-0.7%,7.5%
Balapur APMC,-,2650.38,-,-,-
Baramati APMC,2660.07,2639.78,2642.27,0.8%,0.7%
Barshi APMC,2856.42,2768.06,3457.99,3.2%,-17.4%
Barshi(Vairag) APMC,2624.5,2504.83,3070.59,4.8%,-14.5%
Beed APMC,2731.86,2742.57,2613.92,-0.4%,4.5%
Bhandara APMC,2289.79,2484.84,2463.48,-7.8%,-7.0%
Bhiwapur APMC,2382.79,2459.93,2154.23,-3.1%,10.6%
Bhokar APMC,2592.0,2651.92,2272.0,-2.3%,14.1%
Bhokardan APMC,2343.1,2475.83,2400.0,-5.4%,-2.4%
Bhokardan(Pimpalgaon Renu) APMC,2384.42,2500.0,2319.56,-4.6%,2.8%
Buldhana(Dhad) APMC,-,2475.0,-,-,-
Chakur APMC,2519.3,2497.57,-,0.9%,-
Chalisgaon APMC,2765.34,2793.74,2477.28,-1.0%,11.6%
Chandur Bazar APMC,2687.46,2628.98,2567.21,2.2%,4.7%
Chandur Railway APMC,2483.7,2536.98,2325.0,-2.1%,6.8%
Chattrapati Sambhajinagar APMC,2536.94,2635.7,2475.2,-3.8%,2.5%
Chikali APMC,2525.53,2565.87,2367.95,-1.6%,6.7%
Chopada APMC,2581.99,2749.32,2451.64,-6.1%,5.3%
Daryapur APMC,-,-,2209.38,-,-
Deoulgaon Raja APMC,2611.67,2577.78,2541.7,1.3%,2.8%
Devala APMC,2589.74,2598.16,2610.0,-0.3%,-0.8%
Dhadgaon APMC,-,-,2275.0,-,-
Dhamngaon-Railway APMC,2494.17,2502.12,2000.0,-0.3%,24.7%
Dharangaon APMC,2607.57,2654.84,2556.58,-1.8%,2.0%
Dharni APMC,2434.21,2350.0,2266.67,3.6%,7.4%
Dhule APMC,2436.88,2438.78,2780.92,-0.1%,-12.4%
Digras APMC,2754.22,2840.39,2688.93,-3.0%,2.4%
Dondaicha APMC,2553.56,2612.94,2756.01,-2.3%,-7.3%
Dondaicha(Sindhkheda) APMC,-,-,2652.7,-,-
Dound APMC,2736.42,2722.33,2719.37,0.5%,0.6%
Dudhani APMC,2854.27,2938.83,3375.68,-2.9%,-15.4%
Fulmbri APMC,2562.48,2508.1,-,2.2%,-
Gangakhed APMC,3007.74,2637.87,2500.0,14.0%,20.3%
Gangapur APMC,2559.23,2589.8,2508.48,-1.2%,2.0%
