Market,"Prices August, 2025 (Rs./Quintal)","Prices July, 2025 (Rs./Quintal)","Prices August, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,2629.82,2525.54,2658.94,4.1%,-1.1%
Ahmednagar APMC,2692.44,2623.35,3195.52,2.6%,-15.7%
Ahmedpur APMC,2619.82,2568.382767295597,2575.06,-,1.7%
Akhadabalapur APMC,2650.0,2650.0,2500.0,-,6.0%
Akkalkot APMC,1900.0,1923.21,2627.988051948052,-1.2%,-
Akluj APMC,2627.86,2617.69,2627.988051948052,0.4%,-
Akola APMC,2574.11,2535.16,2871.3,1.5%,-10.3%
Akot APMC,2709.8757000000023,2600.0,2724.39,-,-
Amalner APMC,2713.28,2624.12,2788.31,3.4%,-2.7%
Amarawati APMC,2906.13,2878.41,2648.89,1.0%,9.7%
Ambad (Vadigodri) APMC,2645.72,2538.56,2730.81,4.2%,-3.1%
Ambejaogai APMC,2953.85,2900.0,2627.988051948052,1.9%,-
Anajngaon APMC,2285.27,2162.89,2545.33,5.7%,-10.2%
Ashti(Karanja) APMC,2582.31,2467.92,2627.988051948052,4.6%,-
Aurad Shahajani APMC,2461.24,2288.28,2546.37,7.6%,-3.3%
Ausa APMC,2391.23,2409.56,2850.0,-0.8%,-16.1%
BSK Krishi Bazar Private Ltd APMC,2414.2,2423.71,2466.15,-0.4%,-2.1%
Babhulgaon APMC,2594.17,2535.64,2250.0,2.3%,15.3%
Balapur APMC,2532.62,2486.03,2627.988051948052,1.9%,-
Baramati APMC,2681.85,2601.85,2683.73,3.1%,-0.1%
Barshi APMC,2717.71,2654.56,2961.25,2.4%,-8.2%
Barshi(Vairag) APMC,2576.05,2593.39,2497.46,-0.7%,3.1%
Beed APMC,2629.66,2619.44,2695.79,0.4%,-2.5%
Bhandara APMC,2486.32,2379.84,2755.88,4.5%,-9.8%
Bhiwapur APMC,2500.0,2568.382767295597,2627.988051948052,-,-
Bhokar APMC,2430.0,2404.87,2160.59,1.0%,12.5%
Bhokardan APMC,2300.0,2320.91,2359.27,-0.9%,-2.5%
Bhokardan(Pimpalgaon Renu) APMC,2300.0,2266.67,2400.0,1.5%,-4.2%
Bori APMC,2330.0,2568.382767295597,2575.0,-,-9.5%
Buldhana(Dhad) APMC,2186.36,2568.382767295597,2379.95,-,-8.1%
Chakur APMC,2385.56,2215.0,2627.988051948052,7.7%,-
Chalisgaon APMC,2621.63,2493.05,2444.28,5.2%,7.3%
Chandur Bazar APMC,2436.86,2398.27,2434.9,1.6%,0.1%
Chandur Railway APMC,2422.2,2301.47,2270.59,5.2%,6.7%
Chattrapati Sambhajinagar APMC,2732.92,2612.71,2763.28,4.6%,-1.1%
Chikali APMC,2450.0,2248.72,2326.02,8.9%,5.3%
Chopada APMC,2612.26,2535.18,2648.98,3.0%,-1.4%
Deoulgaon Raja APMC,2483.44,2436.78,2449.86,1.9%,1.4%
Devala APMC,2697.98,2519.66,2652.0,7.1%,1.7%
Dhamngaon-Railway APMC,2566.03,2531.57,2300.0,1.4%,11.6%
Dharangaon APMC,2549.834468968256,2568.382767295597,2584.05,-,-
Dharni APMC,2350.0,2350.0,2627.988051948052,-,-
Dhule APMC,2510.95,2387.81,2772.18,5.2%,-9.4%
Digras APMC,2623.93,2572.03,2658.8,2.0%,-1.3%
Dondaicha APMC,2657.71,2558.49,2755.42,3.9%,-3.5%
Dondaicha(Sindhkheda) APMC,2379.9031399999967,2568.382767295597,2391.53,-,-
Dound APMC,2612.6,2521.84,2705.65,3.6%,-3.4%
Dudhani APMC,2634.1,2480.09,3305.67,6.2%,-20.3%
Gangakhed APMC,2800.0,2859.14,2470.59,-2.1%,13.3%
Gangapur APMC,2672.24,2592.28,2664.3,3.1%,0.3%
Gevrai APMC,2634.81,2509.32,2787.52,5.0%,-5.5%
Hinganghat APMC,2413.71,2389.68,2310.47,1.0%,4.5%
Hingoli APMC,2721.07,2697.17,2365.6,0.9%,15.0%
Hingoli(Kanegoan Naka) APMC,2419.501339999998,2568.382767295597,2225.56,-,-
Indapur(Bhigwan) APMC,2614.88,2568.382767295597,2627.988051948052,-,-
Indapur(Nimgaon Ketki) APMC,2419.501339999998,2568.382767295597,2211.0,-,-
Jafrabad APMC,2100.0,2568.382767295597,2627.988051948052,-,-
Jalana APMC,2672.29,2554.39,2619.81,4.6%,2.0%
Jalgaon APMC,2558.93,2578.05,2600.0,-0.7%,-1.6%
Jalgaon Jamod(Aasalgaon) APMC,2700.0,2684.62,2438.0,0.6%,10.8%
Jalgaon(Jamod) APMC,2809.5804000000026,2800.0,2627.988051948052,-,-
Jalgaon(Masawat) APMC,2726.32,2568.382767295597,2627.988051948052,-,-
Jamkhed APMC,2566.33,2427.67,2508.26,5.7%,2.3%
Jintur APMC,2505.0,2322.22,2627.988051948052,7.9%,-
Kada APMC,2900.0,2822.11,2627.988051948052,2.8%,-
Kaij APMC,2551.4899515873017,2568.382767295597,2625.42,-,-
Kalamb (Dharashiv) APMC,2514.37,2467.22,2558.03,1.9%,-1.7%
Kalvan APMC,2800.0,2568.382767295597,2500.38,-,12.0%
Kalyan APMC,3267.5,3192.41,3076.09,2.4%,6.2%
Kandhar APMC,2800.0,2600.0,2627.988051948052,7.7%,-
Kannad APMC,2593.78,2545.1,2736.96,1.9%,-5.2%
Karanja APMC,2690.97,2609.75,2673.66,3.1%,0.7%
Karjat APMC,2392.83,2369.42,2500.67,1.0%,-4.3%
Karmala APMC,2551.56,2435.72,2676.22,4.8%,-4.7%
Katol APMC,2620.3,2509.95,2568.91,4.4%,2.0%
Khamgaon APMC,2518.68,2415.66,2520.17,4.3%,-0.1%
Kille Dharur APMC,2471.32,2433.32,2866.1,1.6%,-13.8%
Kisan Market Yard APMC,2614.02,2493.09,2447.09,4.8%,6.8%
Kopargaon APMC,2663.69,2554.53,2709.22,4.3%,-1.7%
Kurdwadi APMC,2539.43865,2540.0,2636.36,-,-
Kurdwadi(Modnimb) APMC,2549.28,2692.09,2795.74,-5.3%,-8.8%
Lasalgaon APMC,2716.67,2628.34,2789.0,3.4%,-2.6%
Lasalgaon(Niphad) APMC,2623.37,2514.52,2671.17,4.3%,-1.8%
Lasalgaon(Vinchur) APMC,2538.86616674603,2568.382767295597,2633.86,-,-
Lasur Station APMC,2620.4985,2560.0,2740.71,-,-
Latur(Murud) APMC,2121.34,2122.54,2627.988051948052,-0.1%,-
Laxmi Sopan Agriculture Produce Marketing Co Ltd APMC,2419.501339999998,2568.382767295597,1800.0,-,-
Loha APMC,2412.74,2512.52,2633.87,-4.0%,-8.4%
Lonar APMC,2523.94,2438.3,2441.2,3.5%,3.4%
"Mahesh Krushi Utpanna Bazar, Digras APMC",2589.54,2552.1,2425.59,1.5%,6.8%
Majalgaon APMC,2613.39,2571.36,2762.82,1.6%,-5.4%
Malegaon APMC,2480.11,2485.26,2782.18,-0.2%,-10.9%
Malegaon(Vashim) APMC,2459.9136166666676,2524.0,2627.988051948052,-,-
Malkapur APMC,2612.82,2517.92,2608.08,3.8%,0.2%
Mangal Wedha APMC,2845.07,2537.2,3117.41,12.1%,-8.7%
Mangrulpeer APMC,2680.81,2537.87,2603.79,5.6%,3.0%
Manmad APMC,2629.84,2532.83,2452.29,3.8%,7.2%
Manora APMC,2718.56,2621.72,2555.31,3.7%,6.4%
Mantha APMC,2723.58,2479.67,2960.37,9.8%,-8.0%
