Market,"Prices December, 2025 (Rs./Quintal)","Prices November, 2025 (Rs./Quintal)","Prices December, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,2541.63,2539.04,2846.6,0.1%,-10.7%
Ahmednagar APMC,2652.52,2659.54,2734.42,-0.3%,-3.0%
Ahmedpur APMC,2689.27,2735.42,2837.65,-1.7%,-5.2%
Akhadabalapur APMC,2516.3100999999997,2588.0300689655173,2151.96,-,-
Akluj APMC,2616.2031219752466,2600.0,2806.4708333333333,-,-
Akola APMC,2515.81,2539.75,2912.87,-0.9%,-13.6%
Akot APMC,2678.8131811111093,2588.0300689655173,2765.0,-,-
Amalner APMC,2601.74,2664.02,3238.46,-2.3%,-19.7%
Amarawati APMC,2740.45,2762.06,2901.23,-0.8%,-5.5%
Ambad (Vadigodri) APMC,2647.772036224887,2588.0300689655173,2833.6,-,-
Anajngaon APMC,2300.0,2223.88,2800.25,3.4%,-17.9%
Aurad Shahajani APMC,2393.25,2428.92,3100.04,-1.5%,-22.8%
Ausa APMC,2434.58,2370.57,3700.67,2.7%,-34.2%
BSK Krishi Bazar Private Ltd APMC,2526.593700000001,2588.0300689655173,2493.24,-,-
Balapur APMC,2502.0682999999976,2460.0,3000.0,-,-
Baramati APMC,2690.7,2655.73,2889.36,1.3%,-6.9%
Barshi APMC,2545.71,2558.93,3512.5,-0.5%,-27.5%
Barshi(Vairag) APMC,2529.52,2581.81,2304.35,-2.0%,9.8%
Beed APMC,2614.43,2651.59,2626.82,-1.4%,-0.5%
Bhandara APMC,2444.44,2472.22,2433.33,-1.1%,0.5%
Bhokar APMC,2525.4740000000006,2588.0300689655173,2412.78,-,-
Bhokardan APMC,2500.0,2500.0,2377.04,-,5.2%
Bhokardan(Pimpalgaon Renu) APMC,2500.0,2500.0,2327.27,-,7.4%
Bori APMC,2347.4501000000005,2350.0,2806.4708333333333,-,-
Buldhana(Dhad) APMC,2085.87,2186.84,2414.29,-4.6%,-13.6%
Chakur APMC,2138.2567999999997,2122.75,2806.4708333333333,-,-
Chalisgaon APMC,2507.62,2472.44,2837.64,1.4%,-11.6%
Chandur Bazar APMC,2399.7,2460.32,2560.05,-2.5%,-6.3%
Chandur Railway APMC,2403.7654999999972,2400.0,2806.4708333333333,-,-
Chattrapati Sambhajinagar APMC,2646.1,2680.47,2897.65,-1.3%,-8.7%
Chikali APMC,2222.4,2201.71,2483.93,0.9%,-10.5%
Chopada APMC,2327.570000000001,2351.0,2717.56,-,-
Deoulgaon Raja APMC,2546.26,2451.13,2640.85,3.9%,-3.6%
