,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - February, 2025",,
Market,"Prices February, 2025 (Rs./Quintal)","Prices January, 2025 (Rs./Quintal)","Prices February, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,2979.01,3066.08,2436.2,-2.8%,22.3%
Ahmednagar APMC,2878.16,2884.88,2499.74,-0.2%,15.1%
Ahmedpur APMC,2818.46,2906.35,-,-3.0%,-
Akhadabalapur APMC,-,-,2650.0,-,-
Akluj APMC,2713.3,2500.0,-,8.5%,-
Akola APMC,2903.7,3144.43,2403.75,-7.7%,20.8%
Akot APMC,2670.73,2735.71,2267.5,-2.4%,17.8%
Amalner APMC,2992.95,3175.3,2632.31,-5.7%,13.7%
Amarawati APMC,2942.83,2896.04,2558.8,1.6%,15.0%
Ambad (Vadigodri) APMC,2942.62,2833.64,2011.25,3.9%,46.3%
Ambejaogai APMC,2804.44,4000.0,-,-29.9%,-
Anajngaon APMC,2197.86,3000.0,2300.0,-26.7%,-4.4%
Ashti(Jalna) APMC,3660.0,2700.0,-,35.6%,-
Ashti(Karanja) APMC,2815.51,-,2351.3,-,19.7%
Aurad Shahajani APMC,2692.15,2453.42,2485.87,9.7%,8.3%
Ausa APMC,3227.5,-,3001.0,-,7.5%
BSK Krishi Bazar Private Ltd APMC,2789.51,2399.33,-,16.3%,-
Balapur APMC,2903.85,3090.0,-,-6.0%,-
Baramati APMC,2935.06,3027.6,2582.56,-3.1%,13.7%
Barshi APMC,2977.36,3480.77,2912.75,-14.5%,2.2%
Barshi(Vairag) APMC,2757.32,2850.0,2706.63,-3.2%,1.9%
Beed APMC,2767.03,2733.04,2619.38,1.2%,5.6%
Bhandara APMC,2373.91,2482.16,2650.0,-4.4%,-10.4%
Bhokar APMC,1900.0,2601.5,-,-27.0%,-
Bhokardan APMC,2400.0,2400.0,2374.0,-,1.1%
Bhokardan(Pimpalgaon Renu) APMC,2400.0,2417.65,2297.5,-0.7%,4.5%
Buldhana(Dhad) APMC,2600.0,2508.33,2400.0,3.6%,8.3%
Chakur APMC,3061.33,-,3106.45,-,-1.4%
Chalisgaon APMC,2840.0,2793.92,2551.27,1.6%,11.3%
Chandur Bazar APMC,2750.17,2621.16,2138.21,4.9%,28.6%
Chandur Railway APMC,2711.89,-,-,-,-
Chattrapati Sambhajinagar APMC,2817.82,2992.01,2571.56,-5.8%,9.6%
Chikali APMC,2546.84,2610.42,2378.15,-2.4%,7.1%
Chopada APMC,2984.17,2930.63,2484.43,1.8%,20.1%
Daryapur APMC,-,2755.0,-,-,-
Deoulgaon Raja APMC,2782.23,2678.26,2422.65,3.9%,14.8%
Devala APMC,2845.0,3102.46,2620.0,-8.3%,8.6%
Dhamngaon-Railway APMC,2820.0,-,-,-,-
Dharangaon APMC,2867.15,-,2427.39,-,18.1%
Dharni APMC,-,2450.0,2030.0,-,-
Dhule APMC,2568.38,2980.97,2686.25,-13.8%,-4.4%
Digras APMC,3097.73,3150.0,2447.08,-1.7%,26.6%
Dondaicha APMC,2892.63,2974.49,2554.38,-2.8%,13.2%
Dound APMC,2901.69,2878.91,2593.24,0.8%,11.9%
Dudhani APMC,-,-,3200.0,-,-
Gangakhed APMC,2500.0,2484.62,2510.0,0.6%,-0.4%
Gangapur APMC,2863.54,3023.65,2485.31,-5.3%,15.2%
Gevrai APMC,2858.78,2974.25,2596.71,-3.9%,10.1%
Hinganghat APMC,2662.17,2908.7,2238.95,-8.5%,18.9%
Hingoli APMC,2789.24,2770.68,2354.74,0.7%,18.4%
Indapur APMC,-,-,2700.0,-,-
Indapur(Nimgaon Ketki) APMC,-,2911.0,-,-,-
Jafrabad APMC,2500.0,-,-,-,-
Jalana APMC,2871.09,2859.77,2475.5,0.4%,16.0%
Jalgaon APMC,3020.0,3065.22,2570.0,-1.5%,17.5%
Jalgaon Jamod(Aasalgaon) APMC,2610.69,2700.0,2491.3,-3.3%,4.8%
Jalgaon(Masawat) APMC,2888.99,-,2622.7,-,10.2%
Jamkhed APMC,2804.19,2853.53,2276.74,-1.7%,23.2%
Jawali APMC,-,2500.0,-,-,-
Jintur APMC,2800.0,-,2269.35,-,23.4%
Kada APMC,2900.0,2990.21,2900.0,-3.0%,-
Kalamb (Dharashiv) APMC,2859.28,3013.79,2838.88,-5.1%,0.7%
Kalamb APMC,2220.59,-,-,-,-
Kalvan APMC,2500.0,2409.45,2428.86,3.8%,2.9%
Kalyan APMC,3190.0,3018.97,2700.0,5.7%,18.1%
Kandhar APMC,2800.0,-,-,-,-
Kannad APMC,2761.34,2874.69,2537.22,-3.9%,8.8%
Karanja APMC,2868.02,2988.06,2439.44,-4.0%,17.6%
Karjat APMC,2751.84,2577.99,2469.23,6.7%,11.4%
Karjat(Raigad) APMC,-,-,2595.83,-,-
Karmala APMC,2755.82,2622.61,2708.66,5.1%,1.7%
Katol APMC,2760.04,2938.64,2336.85,-6.1%,18.1%
Khamgaon APMC,2612.91,2736.89,2290.37,-4.5%,14.1%
Kille Dharur APMC,2741.68,2703.67,3083.44,1.4%,-11.1%
Kisan Market Yard APMC,2787.9,2853.32,-,-2.3%,-
Kopargaon APMC,3023.64,3064.68,2586.28,-1.3%,16.9%
Kurdwadi APMC,-,-,2468.18,-,-
Kurdwadi(Modnimb) APMC,2872.74,2853.47,2842.72,0.7%,1.1%
Lasalgaon APMC,3063.93,3347.88,2680.29,-8.5%,14.3%
Lasalgaon(Niphad) APMC,2979.58,3069.67,2622.62,-2.9%,13.6%
Lasalgaon(Vinchur) APMC,2994.59,-,2572.09,-,16.4%
Lasur Station APMC,2940.57,2868.27,2573.21,2.5%,14.3%
Latur(Murud) APMC,-,2377.72,-,-,-
Loha APMC,2804.98,2707.14,2552.86,3.6%,9.9%
Lonar APMC,2715.77,2744.72,2291.9,-1.1%,18.5%
"Mahesh Krushi Utpanna Bazar, Digras APMC",2703.34,2550.0,-,6.0%,-
Majalgaon APMC,3029.55,2895.65,2555.3,4.6%,18.6%
Malegaon APMC,2908.82,3120.63,2774.93,-6.8%,4.8%
Malkapur APMC,2840.51,2906.86,2375.26,-2.3%,19.6%
Mangal Wedha APMC,3275.68,3160.57,3238.57,3.6%,1.1%
Mangrulpeer APMC,2878.72,2866.26,2449.36,0.4%,17.5%
Manmad APMC,2866.31,2930.45,2538.66,-2.2%,12.9%
Manora APMC,2711.7,2830.8,2204.95,-4.2%,23.0%
Mantha APMC,2623.39,2581.05,2000.0,1.6%,31.2%
Manwat APMC,2850.0,-,-,-,-
Mauda APMC,2525.0,-,-,-,-
Mehekar APMC,2678.9,2489.82,2653.12,7.6%,1.0%
Morshi APMC,2804.67,2620.07,2543.75,7.0%,10.3%
Motala APMC,2000.0,2000.0,-,-,-
Mudkhed APMC,-,1900.0,-,-,-
Mumbai APMC,4500.0,4437.62,-,1.4%,-
Murtizapur APMC,2737.3,2869.87,2383.89,-4.6%,14.8%
Murum APMC,2926.96,3365.82,2747.69,-13.0%,6.5%
Nagpur APMC,3152.84,3248.2,3014.34,-2.9%,4.6%
Nanded APMC,2925.55,3127.78,2541.39,-6.5%,15.1%
Nandgaon APMC,2794.78,3088.65,2779.02,-9.5%,0.6%
Nandgaon Khandeshwar APMC,2548.03,2403.89,2164.12,6.0%,17.7%
Nandura APMC,2662.5,2802.17,2539.14,-5.0%,4.9%
Nandurbar APMC,2814.64,2923.44,2424.74,-3.7%,16.1%
Navapur APMC,-,2610.3,2320.5,-,-
Newasa APMC,2650.0,2700.0,-,-1.9%,-
Nira(Saswad) APMC,-,3403.88,-,-,-
Om Chaitanya Multistate Agro Purpose CoOp Society  APMC,2877.33,2948.05,-,-2.4%,-
Pachora APMC,2750.66,2654.76,2438.41,3.6%,12.8%
Paithan APMC,2934.32,3249.66,2748.95,-9.7%,6.7%
Palam APMC,-,2851.0,-,-,-
Palghar APMC,3163.86,3195.18,3130.28,-1.0%,1.1%
Paranda APMC,2898.03,3150.0,2600.0,-8.0%,11.5%
Parbhani APMC,2695.61,2522.22,-,6.9%,-
Parola APMC,1983.79,-,2547.88,-,-22.1%
Partur APMC,2698.24,2745.26,2470.08,-1.7%,9.2%
Pathardi APMC,2404.52,2753.65,2629.17,-12.7%,-8.5%
Pathari APMC,2636.61,2276.59,2327.59,15.8%,13.3%
Patur APMC,2724.94,2612.5,2286.67,4.3%,19.2%
Phaltan APMC,2700.0,2650.0,-,1.9%,-
Pulgaon APMC,-,-,2106.15,-,-
Pune APMC,-,4441.16,-,-,-
Purna APMC,2840.2,2500.0,2465.0,13.6%,15.2%
Pusad APMC,3059.96,-,-,-,-
Rahata APMC,2919.41,3163.58,2570.57,-7.7%,13.6%
Rahuri APMC,2753.73,2884.17,2444.66,-4.5%,12.6%
Rahuri(Vambori) APMC,2595.64,2794.55,2437.82,-7.1%,6.5%
Raver APMC,2950.75,2984.48,2474.61,-1.1%,19.2%
Raver(Sauda) APMC,-,3000.0,-,-,-
Sakri APMC,-,-,2374.0,-,-
Sangamner APMC,2694.0,2911.21,2571.8,-7.5%,4.8%
Sangli APMC,4000.0,3983.17,3533.72,0.4%,13.2%
Sangrampur(Varvatbakal) APMC,-,2100.0,-,-,-
Satana APMC,2675.88,2891.45,2575.55,-7.5%,3.9%
Savner APMC,2819.9,2885.78,2446.28,-2.3%,15.3%
Selu APMC,2700.0,-,-,-,-
Shahada APMC,2873.65,2982.5,2566.31,-3.6%,12.0%
Shegaon APMC,2644.69,2652.5,2400.0,-0.3%,10.2%
Shevgaon APMC,2818.45,2789.67,2517.42,1.0%,12.0%
Shevgaon(Bodhegaon) APMC,2812.4,2778.05,2580.95,1.2%,9.0%
Shirpur APMC,2828.35,2793.19,2558.22,1.3%,10.6%
Shirur APMC,3000.0,2790.63,-,7.5%,-
Shrigonda APMC,2720.27,-,2563.64,-,6.1%
Shrigonda(Gogargaon) APMC,-,2800.0,2366.67,-,-
Shrirampur APMC,2719.29,2697.01,2465.68,0.8%,10.3%
Shrirampur(Belapur) APMC,-,2400.0,-,-,-
Sillod APMC,2788.5,2749.82,2622.68,1.4%,6.3%
Sillod(Bharadi) APMC,2646.15,2777.38,2514.29,-4.7%,5.2%
Sindi(Selu) APMC,2708.71,2753.65,2324.27,-1.6%,16.5%
Sindkhed Raja APMC,2003.45,-,-,-,-
Sinner APMC,2830.0,3043.66,2470.0,-7.0%,14.6%
Solapur APMC,3507.17,3669.63,2985.01,-4.4%,17.5%
Sonpeth APMC,-,3275.0,-,-,-
Tadkalas APMC,-,2400.0,2200.0,-,-
Taloda APMC,2850.0,3000.0,2462.5,-5.0%,15.7%
Tasgaon APMC,2880.08,2724.0,3338.75,5.7%,-13.7%
Telhara APMC,2957.46,2939.62,2461.79,0.6%,20.1%
Tuljapur APMC,2730.79,-,-,-,-
Tumsar APMC,2644.62,2730.06,-,-3.1%,-
Ulhasnagar APMC,3168.28,3248.13,3483.8,-2.5%,-9.1%
Umared APMC,3000.0,2885.57,2984.97,4.0%,0.5%
Umarga APMC,3208.11,2727.69,-,17.6%,-
Umarked(Danki) APMC,2800.0,-,2338.27,-,19.8%
Umarkhed APMC,2800.0,2650.0,-,5.7%,-
Vaduj APMC,2646.0,2617.86,2418.75,1.1%,9.4%
Vadvani APMC,2580.0,2660.58,-,-3.0%,-
Vaijpur APMC,-,2860.0,-,-,-
Vani APMC,2100.0,-,-,-,-
Varud(Rajura Bazar) APMC,2977.5,2647.6,-,12.5%,-
Vasai APMC,3440.86,3492.43,3388.79,-1.5%,1.5%
Wardha APMC,2742.83,2865.72,2275.91,-4.3%,20.5%
Washim APMC,2652.5,2748.73,2343.75,-3.5%,13.2%
Washim(Ansing) APMC,2836.99,2714.0,2324.63,4.5%,22.0%
Yawal APMC,-,-,2841.51,-,-
Yeola APMC,2824.85,2912.72,2466.97,-3.0%,14.5%
Yeotmal APMC,2769.29,2745.67,2270.6,0.9%,22.0%
Average,2807.71,2857.77,2551.3,-,-

Note:
