,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - January, 2025",,
Market,"Prices January, 2025 (Rs./Quintal)","Prices December, 2024 (Rs./Quintal)","Prices January, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,3066.08,2846.6,2563.18,7.7%,19.6%
Ahmednagar APMC,2884.88,2734.42,2668.29,5.5%,8.1%
Ahmedpur APMC,2906.35,2837.65,-,2.4%,-
Akhadabalapur APMC,-,2151.96,-,-,-
Akluj APMC,2500.0,-,-,-,-
Akola APMC,3144.43,2912.87,2531.9,8.0%,24.2%
Akot APMC,2735.71,2765.0,-,-1.1%,-
Amalner APMC,3175.3,3238.46,2894.47,-1.9%,9.7%
Amarawati APMC,2896.04,2901.23,2534.04,-0.2%,14.3%
Ambad (Vadigodri) APMC,2833.64,2833.6,2380.59,-,19.0%
Ambejaogai APMC,4000.0,-,-,-,-
Anajngaon APMC,3000.0,2800.25,2382.35,7.1%,25.9%
Ashti(Jalna) APMC,2700.0,-,2325.0,-,16.1%
Aurad Shahajani APMC,2453.42,3100.04,-,-20.9%,-
Ausa APMC,-,3700.67,-,-,-
BSK Krishi Bazar Private Ltd APMC,2399.33,2493.24,-,-3.8%,-
Balapur APMC,3090.0,3000.0,-,3.0%,-
Baramati APMC,3027.6,2889.36,2551.34,4.8%,18.7%
Barshi APMC,3480.77,3512.5,2658.75,-0.9%,30.9%
Barshi(Vairag) APMC,2850.0,2304.35,2650.0,23.7%,7.5%
Beed APMC,2733.04,2626.82,2581.42,4.0%,5.9%
Bhandara APMC,2482.16,2433.33,-,2.0%,-
Bhokar APMC,2601.5,2412.78,-,7.8%,-
Bhokardan APMC,2400.0,2377.04,2466.67,1.0%,-2.7%
Bhokardan(Pimpalgaon Renu) APMC,2417.65,2327.27,2420.0,3.9%,-0.1%
Buldhana(Dhad) APMC,2508.33,2414.29,3300.0,3.9%,-24.0%
Chalisgaon APMC,2793.92,2837.64,2624.49,-1.5%,6.5%
Chandur Bazar APMC,2621.16,2560.05,2323.44,2.4%,12.8%
Chattrapati Sambhajinagar APMC,2992.01,2897.65,2619.82,3.3%,14.2%
Chikali APMC,2610.42,2483.93,2517.83,5.1%,3.7%
Chopada APMC,2930.63,2717.56,2448.36,7.8%,19.7%
Daryapur APMC,2755.0,-,-,-,-
Deoulgaon Raja APMC,2678.26,2640.85,2520.17,1.4%,6.3%
Devala APMC,3102.46,2921.87,-,6.2%,-
Dhamngaon-Railway APMC,-,-,2200.0,-,-
Dharangaon APMC,-,-,2976.0,-,-
Dharni APMC,2450.0,-,-,-,-
Dhule APMC,2980.97,2964.98,2801.32,0.5%,6.4%
Digras APMC,3150.0,2860.19,3137.5,10.1%,0.4%
Dondaicha APMC,2974.49,2837.85,2735.02,4.8%,8.8%
Dound APMC,2878.91,2846.27,2618.55,1.1%,9.9%
Gangakhed APMC,2484.62,2500.0,2500.0,-0.6%,-0.6%
Gangapur APMC,3023.65,2949.85,2657.01,2.5%,13.8%
Gevrai APMC,2974.25,2871.07,2746.98,3.6%,8.3%
Hinganghat APMC,2908.7,2766.64,2297.24,5.1%,26.6%
Hingoli APMC,2770.68,2776.1,2732.55,-0.2%,1.4%
Indapur(Nimgaon Ketki) APMC,2911.0,-,-,-,-
Jalana APMC,2859.77,2781.77,2669.09,2.8%,7.1%
