Market,"Prices July, 2025 (Rs./Quintal)","Prices June, 2025 (Rs./Quintal)","Prices July, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,2525.54,2703.42,2637.29,-6.6%,-4.2%
Ahmednagar APMC,2623.35,2598.45,3067.02,1.0%,-14.5%
Ahmedpur APMC,2553.8974224027115,2581.7202564102563,2436.81,-,-
Akhadabalapur APMC,2650.0,2581.7202564102563,2250.0,-,17.8%
Akkalkot APMC,1923.21,2581.7202564102563,2580.7311184210525,-,-
Akluj APMC,2617.69,2649.86,2580.7311184210525,-1.2%,-
Akola APMC,2535.16,2726.69,2841.55,-7.0%,-10.8%
Akot APMC,2600.0,2509.76,2462.5,3.6%,5.6%
Amalner APMC,2624.12,2668.71,2607.2,-1.7%,0.7%
Amarawati APMC,2878.41,2901.58,2626.14,-0.8%,9.6%
Ambad (Vadigodri) APMC,2538.56,2587.29,2686.53,-1.9%,-5.5%
Ambejaogai APMC,2900.0,2581.7202564102563,2580.7311184210525,-,-
Anajngaon APMC,2162.89,2168.98,2400.0,-0.3%,-9.9%
Arvi APMC,2369.645800000001,2360.0,2580.7311184210525,-,-
Ashti(Karanja) APMC,2467.92,2521.63,2400.0,-2.1%,2.8%
Aurad Shahajani APMC,2288.28,2250.67,3117.46,1.7%,-26.6%
Ausa APMC,2409.56,2345.39,3336.2,2.7%,-27.8%
BSK Krishi Bazar Private Ltd APMC,2423.71,2357.54,2265.91,2.8%,7.0%
Babhulgaon APMC,2535.64,2518.36,2250.0,0.7%,12.7%
Balapur APMC,2486.03,2589.2,2580.7311184210525,-4.0%,-
Baramati APMC,2601.85,2590.81,2617.47,0.4%,-0.6%
Barshi APMC,2654.56,2798.15,2854.55,-5.1%,-7.0%
Barshi(Vairag) APMC,2593.39,2565.97,2322.67,1.1%,11.7%
Beed APMC,2619.44,2601.29,2516.88,0.7%,4.1%
Bhandara APMC,2379.84,2453.35,2392.31,-3.0%,-0.5%
Bhiwapur APMC,2458.637099999999,2450.75,2580.7311184210525,-,-
Bhokar APMC,2404.87,2579.82,2252.5,-6.8%,6.8%
Bhokardan APMC,2320.91,2266.6,2300.0,2.4%,0.9%
Bhokardan(Pimpalgaon Renu) APMC,2266.67,2164.0,2314.69,4.7%,-2.1%
Buldhana(Dhad) APMC,2445.3033029401113,2581.7202564102563,2286.52,-,-
Chakur APMC,2215.0,2235.46,2580.7311184210525,-0.9%,-
Chalisgaon APMC,2493.05,2498.42,2406.55,-0.2%,3.6%
Chandur Bazar APMC,2398.27,2493.08,2423.32,-3.8%,-1.0%
Chandur Railway APMC,2301.47,2392.31,2250.0,-3.8%,2.3%
Chattrapati Sambhajinagar APMC,2612.71,2548.17,2586.62,2.5%,1.0%
Chikali APMC,2248.72,2396.88,2338.43,-6.2%,-3.8%
Chopada APMC,2535.18,2467.6,2590.84,2.7%,-2.1%
Deoulgaon Raja APMC,2436.78,2478.21,2417.04,-1.7%,0.8%
Devala APMC,2519.66,2541.96,2605.0,-0.9%,-3.3%
Dhamngaon-Railway APMC,2531.57,2538.75,2160.53,-0.3%,17.2%
Dharangaon APMC,2440.7905029401113,2581.7202564102563,2300.0,-,-
Dharni APMC,2350.0,2350.0,2580.7311184210525,-,-
Dhule APMC,2387.81,2373.78,2756.05,0.6%,-13.4%
