,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - June, 2025",,
Market,"Prices June, 2025 (Rs./Quintal)","Prices May, 2025 (Rs./Quintal)","Prices June, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,2703.42,2735.7,2643.29,-1.2%,2.3%
Ahmednagar APMC,2598.45,2594.72,3205.89,0.1%,-18.9%
Ahmedpur APMC,-,2483.37,2658.93,-,-
Akluj APMC,2649.86,2693.69,-,-1.6%,-
Akola APMC,2726.69,2899.97,2851.97,-6.0%,-4.4%
Akot APMC,2509.76,2700.0,2612.34,-7.0%,-3.9%
Amalner APMC,2668.71,2653.59,2707.29,0.6%,-1.4%
Amarawati APMC,2901.58,2910.81,2622.08,-0.3%,10.7%
Ambad (Vadigodri) APMC,2587.29,2682.0,2551.63,-3.5%,1.4%
Ambejaogai APMC,-,2862.96,-,-,-
Anajngaon APMC,2168.98,2163.07,2200.0,0.3%,-1.4%
Arvi APMC,2360.0,2359.28,-,-,-
Ashti(Karanja) APMC,2521.63,2460.0,2334.59,2.5%,8.0%
Aurad Shahajani APMC,2250.67,2372.06,2958.87,-5.1%,-23.9%
Ausa APMC,2345.39,2565.21,2898.5,-8.6%,-19.1%
BSK Krishi Bazar Private Ltd APMC,2357.54,2497.83,2296.1,-5.6%,2.7%
Babhulgaon APMC,2518.36,-,-,-,-
Balapur APMC,2589.2,2619.21,2600.0,-1.1%,-0.4%
Baramati APMC,2590.81,2602.52,2541.91,-0.5%,1.9%
Barshi APMC,2798.15,2906.4,3117.65,-3.7%,-10.2%
Barshi(Vairag) APMC,2565.97,2536.14,1966.67,1.2%,30.5%
Beed APMC,2601.29,2669.64,2445.65,-2.6%,6.4%
Bhandara APMC,2453.35,2431.21,2522.67,0.9%,-2.8%
Bhiwapur APMC,2450.75,2425.0,2200.0,1.1%,11.4%
Bhokar APMC,2579.82,2607.2,2020.4,-1.1%,27.7%
Bhokardan APMC,2266.6,2444.19,2360.92,-7.3%,-4.0%
Bhokardan(Pimpalgaon Renu) APMC,2164.0,2447.5,2378.48,-11.6%,-9.0%
