,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - May, 2025",,
Market,"Prices May, 2025 (Rs./Quintal)","Prices April, 2025 (Rs./Quintal)","Prices May, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,2735.7,2663.16,2626.51,2.7%,4.2%
Ahmednagar APMC,2594.72,2593.1,2905.23,0.1%,-10.7%
Ahmedpur APMC,2483.37,2523.24,2522.13,-1.6%,-1.5%
Akhadabalapur APMC,-,-,2537.35,-,-
Akkalkot APMC,-,3400.0,-,-,-
Akkalkuwa APMC,-,2670.0,-,-,-
Akluj APMC,2693.69,2727.4,-,-1.2%,-
Akola APMC,2899.97,3021.03,2626.25,-4.0%,10.4%
Akot APMC,2700.0,2782.8,2555.49,-3.0%,5.7%
Amalner APMC,2653.59,2681.9,2772.27,-1.1%,-4.3%
Amarawati APMC,2910.81,2911.52,2596.46,-0.0%,12.1%
Ambad (Vadigodri) APMC,2682.0,2634.4,2694.6,1.8%,-0.5%
Ambejaogai APMC,2862.96,3020.59,-,-5.2%,-
Anajngaon APMC,2163.07,1982.44,2400.0,9.1%,-9.9%
Arvi APMC,2359.28,2470.06,-,-4.5%,-
Ashti(Karanja) APMC,2460.0,2485.42,2357.43,-1.0%,4.3%
Aurad Shahajani APMC,2372.06,2590.64,3004.48,-8.4%,-21.1%
Ausa APMC,2565.21,2602.65,2702.43,-1.4%,-5.1%
BSK Krishi Bazar Private Ltd APMC,2497.83,2524.99,2267.15,-1.1%,10.2%
Babhulgaon APMC,-,2450.0,2350.0,-,-
Balapur APMC,2619.21,-,-,-,-
Baramati APMC,2602.52,2660.07,2655.83,-2.2%,-2.0%
Barshi APMC,2906.4,2856.42,3366.19,1.8%,-13.7%
Barshi(Vairag) APMC,2536.14,2624.5,2088.17,-3.4%,21.4%
Beed APMC,2669.64,2731.86,2386.65,-2.3%,11.9%
Bhandara APMC,2431.21,2289.79,2681.3,6.2%,-9.3%
Bhiwapur APMC,2425.0,2382.79,2137.01,1.8%,13.5%
Bhokar APMC,2607.2,2592.0,2322.0,0.6%,12.3%
Bhokardan APMC,2444.19,2343.1,2400.0,4.3%,1.8%
Bhokardan(Pimpalgaon Renu) APMC,2447.5,2384.42,2377.66,2.6%,2.9%
Buldhana APMC,-,-,2000.0,-,-
Buldhana(Dhad) APMC,-,-,2309.09,-,-
Chakur APMC,-,2519.3,3186.43,-,-
Chalisgaon APMC,2620.5,2765.34,2420.31,-5.2%,8.3%
Chandur Bazar APMC,2623.46,2687.46,2626.27,-2.4%,-0.1%
Chandur Railway APMC,2455.93,2483.7,-,-1.1%,-
Chattrapati Sambhajinagar APMC,2461.36,2536.94,2454.26,-3.0%,0.3%
Chikali APMC,2482.96,2525.53,2324.13,-1.7%,6.8%
Chopada APMC,2559.29,2581.99,2482.38,-0.9%,3.1%
Daryapur APMC,-,-,2272.0,-,-
Deoulgaon Raja APMC,2568.89,2611.67,2504.03,-1.6%,2.6%
Devala APMC,2519.0,2589.74,2385.74,-2.7%,5.6%
Dhamngaon-Railway APMC,2493.03,2494.17,2001.74,-0.1%,24.5%
Dharangaon APMC,-,2607.57,2566.0,-,-
Dharni APMC,-,2434.21,2313.64,-,-
Dhule APMC,2420.1,2436.88,2760.36,-0.7%,-12.3%
Digras APMC,2632.74,2754.22,2596.69,-4.4%,1.4%
Dondaicha APMC,2552.68,2553.56,2769.89,-0.0%,-7.8%
Dondaicha(Sindhkheda) APMC,2625.0,-,2745.16,-,-4.4%
Dound APMC,2680.35,2736.42,2755.9,-2.0%,-2.7%
Dudhani APMC,2591.24,2854.27,3311.51,-9.2%,-21.8%
Fulmbri APMC,2640.2,2562.48,-,3.0%,-
Gangakhed APMC,3100.0,3007.74,2500.0,3.1%,24.0%
Gangapur APMC,2575.71,2559.23,2439.23,0.6%,5.6%
Gevrai APMC,2534.08,2568.11,2669.72,-1.3%,-5.1%
Ghansawangi APMC,2600.0,2500.0,-,4.0%,-
Himalyatnagar APMC,-,-,2100.0,-,-
Hinganghat APMC,2385.82,2420.67,2259.17,-1.4%,5.6%
Hingoli APMC,3119.89,3079.06,-,1.3%,-
Indapur APMC,-,2650.0,-,-,-
Indapur(Bhigwan) APMC,2226.56,2800.0,-,-20.5%,-
Jafrabad APMC,-,2121.05,-,-,-
Jalana APMC,2487.66,2583.1,2396.74,-3.7%,3.8%
Jalgaon APMC,2458.33,2474.76,2644.9,-0.7%,-7.0%
Jalgaon Jamod(Aasalgaon) APMC,2800.0,2800.0,2422.07,-,15.6%
Jalgaon(Masawat) APMC,2650.0,2713.21,-,-2.3%,-
Jamkhed APMC,2551.45,2706.18,2550.47,-5.7%,-
Jawali APMC,-,2400.0,2600.0,-,-
Jintur APMC,2773.0,2609.74,2446.58,6.3%,13.3%
Kada APMC,2800.0,2811.15,2500.0,-0.4%,12.0%
Kada(Ashti) APMC,2800.0,-,-,-,-
Kalamb (Dharashiv) APMC,-,2725.44,2985.42,-,-
Kalamb APMC,2400.0,2450.0,2300.0,-2.0%,4.3%
Kalvan APMC,2789.57,-,2200.0,-,26.8%
Kalyan APMC,3015.0,3011.9,3000.0,0.1%,0.5%
Kandhar APMC,2738.71,2744.26,2417.36,-0.2%,13.3%
Kannad APMC,2555.87,2638.85,2590.99,-3.1%,-1.4%
Karanja APMC,2570.61,2583.78,2569.79,-0.5%,-
Karjat APMC,2373.15,2525.04,2514.68,-6.0%,-5.6%
Karmala APMC,2456.42,2563.34,2634.94,-4.2%,-6.8%
Katol APMC,2503.32,2505.66,2320.78,-0.1%,7.9%
Khamgaon APMC,2397.42,2318.96,2282.12,3.4%,5.0%
Kille Dharur APMC,2687.56,2550.74,2854.15,5.4%,-5.8%
Kisan Market Yard APMC,2479.46,2602.16,2344.35,-4.7%,5.8%
Kopargaon APMC,2544.73,2528.82,2725.36,0.6%,-6.6%
Krushna Krishi Bazar  APMC,2495.73,-,-,-,-
Kurdwadi APMC,2600.5,2760.22,2675.17,-5.8%,-2.8%
Kurdwadi(Modnimb) APMC,2714.66,2780.86,2892.3,-2.4%,-6.1%
Lasalgaon APMC,2651.79,2793.48,2845.78,-5.1%,-6.8%
Lasalgaon(Niphad) APMC,2475.11,2439.29,2490.06,1.5%,-0.6%
Lasalgaon(Vinchur) APMC,2658.0,2650.54,2499.91,0.3%,6.3%
Lasur Station APMC,2600.0,2550.0,2523.1,2.0%,3.0%
Latur(Murud) APMC,-,2800.0,-,-,-
Loha APMC,2838.64,2861.92,2739.52,-0.8%,3.6%
Lonar APMC,2447.01,2401.91,2197.35,1.9%,11.4%
"Mahesh Krushi Utpanna Bazar, Digras APMC",2560.76,2523.52,2284.0,1.5%,12.1%
Majalgaon APMC,2583.23,2472.72,2684.31,4.5%,-3.8%
Malegaon APMC,2367.35,2431.21,2603.32,-2.6%,-9.1%
Malkapur APMC,2468.44,2583.85,2487.22,-4.5%,-0.8%
Mangal Wedha APMC,2736.29,2905.15,3121.58,-5.8%,-12.3%
Mangrulpeer APMC,2553.46,2726.11,2501.73,-6.3%,2.1%
Manmad APMC,2516.1,2442.73,2315.18,3.0%,8.7%
Manora APMC,2540.55,2589.18,2427.3,-1.9%,4.7%
Mantha APMC,2758.87,2624.31,2275.88,5.1%,21.2%
Manwat APMC,2766.09,2696.88,2453.19,2.6%,12.8%
Mauda APMC,2375.0,-,2410.0,-,-1.4%
Mehekar APMC,2857.74,2929.97,2496.05,-2.5%,14.5%
Morshi APMC,2544.0,2545.81,2438.37,-0.1%,4.3%
Motala APMC,-,2000.0,-,-,-
Mudkhed APMC,2300.0,2500.0,2380.0,-8.0%,-3.4%
Mumbai APMC,4453.99,4500.0,4550.0,-1.0%,-2.1%
Murtizapur APMC,2609.02,2656.4,2470.32,-1.8%,5.6%
Murum APMC,2480.51,2825.27,3070.73,-12.2%,-19.2%
Nagpur APMC,3111.64,2939.09,2955.74,5.9%,5.3%
