Market,"Prices November, 2025 (Rs./Quintal)","Prices October, 2025 (Rs./Quintal)","Prices November, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,2539.04,2541.4,2899.04,-0.1%,-12.4%
Ahmednagar APMC,2659.54,2644.07,2825.47,0.6%,-5.9%
Ahmedpur APMC,2735.42,2574.07,2868.94,6.3%,-4.7%
Akluj APMC,2600.0,2625.0,2797.305352112676,-0.9%,-
Akola APMC,2539.75,2576.17,2966.43,-1.4%,-14.4%
Akot APMC,2495.983499999999,2488.0,2717.54,-,-
Amalner APMC,2664.02,2636.95,3096.93,1.0%,-14.0%
Amarawati APMC,2762.06,2744.07,2854.96,0.7%,-3.2%
Ambad (Vadigodri) APMC,2569.020601060607,2574.1258389261743,3070.38,-,-
Anajngaon APMC,2223.88,2300.0,2794.98,-3.3%,-20.4%
Ashti(Jalna) APMC,3163.920836060607,2574.1258389261743,3700.0,-,-
Aurad Shahajani APMC,2428.92,2352.69,2558.52,3.2%,-5.1%
Ausa APMC,2370.57,2361.91,2400.0,0.4%,-1.2%
BSK Krishi Bazar Private Ltd APMC,2404.3831000000027,2355.45,2381.56,-,-
Balapur APMC,2460.0,2574.1258389261743,2500.0,-,-1.6%
Baramati APMC,2655.73,2646.92,2903.29,0.3%,-8.5%
Barshi APMC,2558.93,2609.43,2797.305352112676,-1.9%,-
Barshi(Vairag) APMC,2581.81,2575.14,2797.305352112676,0.3%,-
Beed APMC,2651.59,2576.93,2795.73,2.9%,-5.2%
Bhandara APMC,2472.22,2243.66,2367.86,10.2%,4.4%
Bhokar APMC,2774.6501000000003,2705.0,2360.42,-,-
Bhokardan APMC,2500.0,2488.84,2389.6,0.5%,4.6%
Bhokardan(Pimpalgaon Renu) APMC,2500.0,2500.0,2500.0,-,-
Bori APMC,2350.0,2200.0,2797.305352112676,6.8%,-
Buldhana(Dhad) APMC,2186.84,2150.0,2291.38,1.7%,-4.6%
Chakur APMC,2122.75,2250.21,2797.305352112676,-5.7%,-
Chalisgaon APMC,2472.44,2533.5,2780.44,-2.4%,-11.1%
Chandur Bazar APMC,2460.32,2486.85,2458.41,-1.1%,0.1%
Chandur Railway APMC,2400.0,2574.1258389261743,2411.0,-,-0.5%
Chattrapati Sambhajinagar APMC,2680.47,2553.48,3006.77,5.0%,-10.8%
Chikali APMC,2201.71,2435.99,2518.76,-9.6%,-12.6%
Chopada APMC,2351.0,2395.12,2627.46,-1.8%,-10.5%
Deoulgaon Raja APMC,2451.13,2403.51,2716.93,2.0%,-9.8%
Devala APMC,2602.16,2592.58,2984.74,0.4%,-12.8%
Dharangaon APMC,2523.53,2574.1258389261743,2797.305352112676,-,-
Dharni APMC,2350.0,2574.1258389261743,2797.305352112676,-,-
Dhule APMC,2339.31,2401.14,2969.02,-2.6%,-21.2%
Digras APMC,2599.73,2485.0,2925.94,4.6%,-11.2%
Dondaicha APMC,2568.09,2555.57,3000.91,0.5%,-14.4%
Dondaicha(Sindhkheda) APMC,2530.85,2523.52,2613.25,0.3%,-3.1%
Dound APMC,2617.96,2609.58,2792.43,0.3%,-6.2%
Dudhani APMC,2773.91,2682.39,2797.305352112676,3.4%,-
Gangakhed APMC,2588.44,2538.68,2500.0,2.0%,3.5%
Gangapur APMC,2534.45,2565.47,2985.46,-1.2%,-15.1%
Gevrai APMC,2552.68,2528.97,2884.06,0.9%,-11.5%
