,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - October, 2025",,
Market,"Prices October, 2025 (Rs./Quintal)","Prices September, 2025 (Rs./Quintal)","Prices October, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,2541.4,2634.39,2792.5,-3.5%,-9.0%
Ahmednagar APMC,2644.07,2680.36,2821.28,-1.4%,-6.3%
Ahmedpur APMC,2574.07,2655.12,3011.32,-3.0%,-14.5%
Akhadabalapur APMC,-,2723.68,-,-,-
Akluj APMC,2625.0,2639.5,-,-0.6%,-
Akola APMC,2576.17,2643.69,2840.68,-2.5%,-9.3%
Akot APMC,2488.0,2538.3,2666.82,-2.0%,-6.7%
Amalner APMC,2636.95,2662.08,2677.31,-0.9%,-1.5%
Amarawati APMC,2744.07,2816.22,2847.06,-2.6%,-3.6%
Ambad (Vadigodri) APMC,-,2658.26,2971.0,-,-
Anajngaon APMC,2300.0,2177.34,2588.56,5.6%,-11.2%
Ashti(Jalna) APMC,-,-,2460.0,-,-
Aurad Shahajani APMC,2352.69,2387.41,2245.0,-1.4%,4.8%
Ausa APMC,2361.91,2362.29,3068.24,-0.0%,-23.0%
BSK Krishi Bazar Private Ltd APMC,2355.45,2559.31,2284.05,-8.0%,3.1%
Babhulgaon APMC,-,2583.15,-,-,-
Balapur APMC,-,2525.74,-,-,-
Baramati APMC,2646.92,2621.05,2874.21,1.0%,-7.9%
Barshi APMC,2609.43,2595.71,2450.0,0.5%,6.5%
Barshi(Vairag) APMC,2575.14,2575.11,2755.56,-,-6.5%
Beed APMC,2576.93,2612.66,2773.49,-1.4%,-7.1%
Bhandara APMC,2243.66,2444.12,2477.66,-8.2%,-9.4%
Bhokar APMC,2705.0,2422.29,2290.5,11.7%,18.1%
Bhokardan APMC,2488.84,2408.55,2283.95,3.3%,9.0%
Bhokardan(Pimpalgaon Renu) APMC,2500.0,2413.83,2321.0,3.6%,7.7%
Bori APMC,2200.0,-,-,-,-
Buldhana(Dhad) APMC,2150.0,2200.0,2308.33,-2.3%,-6.9%
Chakur APMC,2250.21,2389.0,2391.0,-5.8%,-5.9%
Chalisgaon APMC,2533.5,2597.89,2736.58,-2.5%,-7.4%
Chandur Bazar APMC,2486.85,2466.8,2432.27,0.8%,2.2%
Chattrapati Sambhajinagar APMC,2553.48,2609.31,2769.7,-2.1%,-7.8%
Chikali APMC,2435.99,2441.37,2457.09,-0.2%,-0.9%
Chopada APMC,2395.12,2655.73,2704.86,-9.8%,-11.4%
Deoulgaon Raja APMC,2403.51,2430.09,2487.07,-1.1%,-3.4%
Devala APMC,2592.58,2654.81,2776.82,-2.3%,-6.6%
Dhamngaon-Railway APMC,-,2497.57,2400.0,-,-
Dharangaon APMC,-,2637.24,2838.88,-,-
Dharni APMC,-,-,2350.0,-,-
Dhule APMC,2401.14,2403.45,2800.91,-0.1%,-14.3%
Digras APMC,2485.0,2599.44,2759.53,-4.4%,-9.9%
Dondaicha APMC,2555.57,2631.94,2850.01,-2.9%,-10.3%
Dondaicha(Sindhkheda) APMC,2523.52,2617.82,2785.21,-3.6%,-9.4%
Dound APMC,2609.58,2566.91,2787.29,1.7%,-6.4%
Dudhani APMC,2682.39,2636.0,-,1.8%,-
Gangakhed APMC,2538.68,2587.83,2500.0,-1.9%,1.6%
Gangapur APMC,2565.47,2570.07,2770.44,-0.2%,-7.4%
Gevrai APMC,2528.97,2556.59,2790.35,-1.1%,-9.4%
Himalyatnagar APMC,-,2200.0,-,-,-
Hinganghat APMC,2379.29,2414.78,2738.07,-1.5%,-13.1%
Hingoli APMC,2798.85,2725.74,2365.34,2.7%,18.3%
Indapur(Bhigwan) APMC,-,2525.0,-,-,-
Indapur(Nimgaon Ketki) APMC,2403.51,2657.94,2830.25,-9.6%,-15.1%
Jafrabad APMC,2200.0,2166.67,-,1.5%,-
Jalana APMC,2551.36,2592.58,2765.96,-1.6%,-7.8%
Jalgaon APMC,2525.0,2681.58,2593.33,-5.8%,-2.6%
