Market,"Prices September, 2025 (Rs./Quintal)","Prices August, 2025 (Rs./Quintal)","Prices September, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,2634.39,2629.82,2689.13,0.2%,-2.0%
Ahmednagar APMC,2680.36,2692.44,2924.15,-0.5%,-8.3%
Ahmedpur APMC,2655.12,2619.82,2776.93,1.4%,-4.4%
Akhadabalapur APMC,2723.68,2650.0,2400.0,2.8%,13.5%
Akkalkot APMC,2131.6554000000006,1900.0,2647.0096794871797,-,-
Akluj APMC,2639.5,2627.86,2647.0096794871797,0.4%,-
Akola APMC,2643.69,2574.11,2948.07,2.7%,-10.3%
Akot APMC,2538.3,2629.1546451612903,2590.0,-,-2.0%
Amalner APMC,2662.08,2713.28,2790.83,-1.9%,-4.6%
Amarawati APMC,2816.22,2906.13,2832.44,-3.1%,-0.6%
Ambad (Vadigodri) APMC,2658.26,2645.72,2748.22,0.5%,-3.3%
Ambejaogai APMC,2863.6332999999972,2953.85,2647.0096794871797,-,-
Anajngaon APMC,2177.34,2285.27,2527.54,-4.7%,-13.9%
Ashti(Jalna) APMC,2614.045399999998,2629.1546451612903,2893.64,-,-
Ashti(Karanja) APMC,2531.4429999999998,2582.31,2647.0096794871797,-,-
Aurad Shahajani APMC,2387.41,2461.24,2437.3,-3.0%,-2.0%
Ausa APMC,2362.29,2391.23,3252.14,-1.2%,-27.4%
BSK Krishi Bazar Private Ltd APMC,2559.31,2414.2,2374.47,6.0%,7.8%
Babhulgaon APMC,2583.15,2594.17,2600.0,-0.4%,-0.7%
Balapur APMC,2525.74,2532.62,2500.0,-0.3%,1.0%
Baramati APMC,2621.05,2681.85,2765.57,-2.3%,-5.2%
Barshi APMC,2595.71,2717.71,2819.51,-4.5%,-7.9%
Barshi(Vairag) APMC,2575.11,2576.05,2927.64,-0.0%,-12.0%
Beed APMC,2612.66,2629.66,2693.14,-0.7%,-3.0%
Bhandara APMC,2444.12,2486.32,2519.63,-1.7%,-3.0%
Bhiwapur APMC,2482.5896999999977,2500.0,2647.0096794871797,-,-
Bhokar APMC,2422.29,2430.0,2284.55,-0.3%,6.0%
Bhokardan APMC,2408.55,2300.0,2337.77,4.7%,3.0%
Bhokardan(Pimpalgaon Renu) APMC,2413.83,2300.0,2322.38,5.0%,3.9%
Bori APMC,2416.152900000001,2330.0,2647.0096794871797,-,-
Buldhana(Dhad) APMC,2200.0,2186.36,2441.72,0.6%,-9.9%
Chakur APMC,2389.0,2385.56,2647.0096794871797,0.1%,-
Chalisgaon APMC,2597.89,2621.63,2497.57,-0.9%,4.0%
Chandur Bazar APMC,2466.8,2436.86,2409.63,1.2%,2.4%
Chandur Railway APMC,2426.8861000000015,2422.2,2647.0096794871797,-,-
Chattrapati Sambhajinagar APMC,2609.31,2732.92,2743.28,-4.5%,-4.9%
Chikali APMC,2441.37,2450.0,2401.65,-0.3%,1.6%
Chopada APMC,2655.73,2612.26,2704.89,1.7%,-1.8%
Deoulgaon Raja APMC,2430.09,2483.44,2475.63,-2.1%,-1.8%
Devala APMC,2654.81,2697.98,2692.92,-1.6%,-1.4%
Dhamngaon-Railway APMC,2497.57,2566.03,2300.0,-2.7%,8.6%
Dharangaon APMC,2637.24,2629.1546451612903,2867.5,-,-8.0%
Dharni APMC,2417.168900000001,2350.0,2647.0096794871797,-,-
Dhule APMC,2403.45,2510.95,2805.39,-4.3%,-14.3%
Digras APMC,2599.44,2623.93,2683.86,-0.9%,-3.1%
Dondaicha APMC,2631.94,2657.71,2770.45,-1.0%,-5.0%
Dondaicha(Sindhkheda) APMC,2617.82,2629.1546451612903,2570.15,-,1.9%
Dound APMC,2566.91,2612.6,2768.91,-1.8%,-7.3%
Dudhani APMC,2636.0,2634.1,2647.0096794871797,0.1%,-
Gangakhed APMC,2587.83,2800.0,2500.0,-7.6%,3.5%
Gangapur APMC,2570.07,2672.24,2699.81,-3.8%,-4.8%
Gevrai APMC,2556.59,2634.81,2788.62,-3.0%,-8.3%
Himalyatnagar APMC,2200.0,2629.1546451612903,2647.0096794871797,-,-
Hinganghat APMC,2414.78,2413.71,2463.55,-,-2.0%
Hingoli APMC,2725.74,2721.07,2339.62,0.2%,16.5%
Indapur(Bhigwan) APMC,2525.0,2614.88,2647.0096794871797,-3.4%,-
Indapur(Nimgaon Ketki) APMC,2657.94,2629.1546451612903,2300.0,-,15.6%
Jafrabad APMC,2166.67,2100.0,2500.0,3.2%,-13.3%
Jalana APMC,2592.58,2672.29,2647.2,-3.0%,-2.1%
Jalgaon APMC,2681.58,2558.93,2590.0,4.8%,3.5%
Jalgaon Jamod(Aasalgaon) APMC,2700.0,2700.0,2500.0,-,8.0%
Jalgaon(Masawat) APMC,2555.56,2726.32,2800.0,-6.3%,-8.7%
Jamkhed APMC,2576.29,2566.33,2470.98,0.4%,4.3%
Jaykissan Krushi Uttpan Khajgi Bazar  APMC,2642.1553000000013,2629.1546451612903,2373.0,-,-
Jintur APMC,2527.5,2505.0,2647.0096794871797,0.9%,-
Kada APMC,2900.0,2900.0,2900.0,-,-
Kaij APMC,2387.25,2629.1546451612903,2726.19,-,-12.4%
Kalamb (Dharashiv) APMC,2482.39,2514.37,2681.67,-1.3%,-7.4%
Kalvan APMC,2660.082099999996,2800.0,2647.0096794871797,-,-
